source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[developmental stage]	characteristics[disease]	characteristics[ancestry category]	characteristics[sex]	characteristics[age]	characteristics[biological replicate]	Material Type	assay name	Technology Type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD020192-Sample-6	Homo sapiens	spinal cord	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 11	proteomic profiling by mass spectrometry	S11_SpinalCord_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S11_SpinalCord_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	spinalcord
PXD020192-Sample-6	Homo sapiens	spinal cord	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 12	proteomic profiling by mass spectrometry	S12_SpinalCord_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S12_SpinalCord_2.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	spinalcord
PXD020192-Sample-7	Homo sapiens	brain	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 13	proteomic profiling by mass spectrometry	S13_Brain_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S13_Brain_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	brain
PXD020192-Sample-7	Homo sapiens	brain	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 14	proteomic profiling by mass spectrometry	S14_Brain_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S14_Brain_2.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	brain
PXD020192-Sample-8	Homo sapiens	medulla oblongata	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 15	proteomic profiling by mass spectrometry	S15_MedullaOblongata_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S15_MedullaOblongata_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	medulla oblongata
PXD020192-Sample-8	Homo sapiens	medulla oblongata	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 16	proteomic profiling by mass spectrometry	S16_MedullaOblongata_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S16_MedullaOblongata_2.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	medulla oblongata
PXD020192-Sample-9	Homo sapiens	placenta	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 17	proteomic profiling by mass spectrometry	S17_Placenta_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S17_Placenta_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	placenta
PXD020192-Sample-9	Homo sapiens	placenta	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 18	proteomic profiling by mass spectrometry	S18_Placenta_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S18_Placenta_2.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	placenta
PXD020192-Sample-10	Homo sapiens	endometrium	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 19	proteomic profiling by mass spectrometry	S19_Endometrium_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S19_Endometrium_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	endometrium
PXD020192-Sample-10	Homo sapiens	endometrium	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 20	proteomic profiling by mass spectrometry	S20_Endometrium_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S20_Endometrium_2.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	endometrium
PXD020192-Sample-11	Homo sapiens	adrenalgland	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 21	proteomic profiling by mass spectrometry	S21_AdrenalGland_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S21_AdrenalGland_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	adrenalgland
PXD020192-Sample-11	Homo sapiens	adrenalgland	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 22	proteomic profiling by mass spectrometry	S22_AdrenalGland_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S22_AdrenalGland_2.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	adrenalgland
PXD020192-Sample-12	Homo sapiens	appendix	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 23	proteomic profiling by mass spectrometry	S23_Appendix_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S23_Appendix_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	appendix
PXD020192-Sample-12	Homo sapiens	appendix	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 24	proteomic profiling by mass spectrometry	S24_Appendix_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S24_Appendix_2.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	appendix
PXD020192-Sample-13	Homo sapiens	lung	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 25	proteomic profiling by mass spectrometry	S25_Lung_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S25_Lung_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	lung
PXD020192-Sample-13	Homo sapiens	lung	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 26	proteomic profiling by mass spectrometry	S26_Lung_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S26_Lung_2.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	lung
PXD020192-Sample-14	Homo sapiens	liver	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 27	proteomic profiling by mass spectrometry	S27_Liver_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S27_Liver_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	liver
PXD020192-Sample-14	Homo sapiens	liver	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 28	proteomic profiling by mass spectrometry	S28_Liver_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S28_Liver_2.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	liver
PXD020192-Sample-15	Homo sapiens	heart	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 29	proteomic profiling by mass spectrometry	S29_Heart_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S29_Heart_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	heart
PXD020192-Sample-15	Homo sapiens	heart	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 30	proteomic profiling by mass spectrometry	S30_Heart_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S30_Heart_2.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	heart
PXD020192-Sample-16	Homo sapiens	colon	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 31	proteomic profiling by mass spectrometry	S31_Colon_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S31_Colon_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	colon
PXD020192-Sample-16	Homo sapiens	colon	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 32	proteomic profiling by mass spectrometry	S32_Colon_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S32_Colon_2.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	colon
PXD020192-Sample-17	Homo sapiens	esophagus	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 33	proteomic profiling by mass spectrometry	S33_Esophagus_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S33_Esophagus_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	esophagus
PXD020192-Sample-17	Homo sapiens	esophagus	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 34	proteomic profiling by mass spectrometry	S34_Esophagus_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S34_Esophagus_2.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	esophagus
PXD020192-Sample-18	Homo sapiens	stomach	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 35	proteomic profiling by mass spectrometry	S35_Stomach_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S35_Stomach_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	stomach
PXD020192-Sample-18	Homo sapiens	stomach	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 36	proteomic profiling by mass spectrometry	S36_Stomach_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S36_Stomach_2.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	stomach
PXD020192-Sample-19	Homo sapiens	small intestine	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 37	proteomic profiling by mass spectrometry	S37_SmallIntestine_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S37_SmallIntestine_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	small intestine
PXD020192-Sample-19	Homo sapiens	small intestine	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 38	proteomic profiling by mass spectrometry	S38_SmallIntestine_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S38_SmallIntestine_2.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	small intestine
