source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[age]	characteristics[ancestry category]	characteristics[sex]	characteristics[disease]	characteristics[developmental stage]	characteristics[biological replicate]	Material Type	assay name	Technology Type	comment[proteomexchange accession number]	comment[data file]	comment[file url]	comment[technical replicate]	comment[fraction identifier]	comment[Fractionation method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[cleavage agent details]	factor value[organism part]
PXD004332-Sample-1	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 11	proteomic profiling by mass spectrometry	PXD004332	PG_Ingel_11.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/PG_Ingel_11.raw	1	11	NT=SDS PAGE;AC=PRIDE:0000568	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-1	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 12	proteomic profiling by mass spectrometry	PXD004332	PG_Ingel_12.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/PG_Ingel_12.raw	1	12	NT=SDS PAGE;AC=PRIDE:0000568	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-1	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 13	proteomic profiling by mass spectrometry	PXD004332	PG_Ingel_13_150219231949.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/PG_Ingel_13_150219231949.raw	1	13	NT=SDS PAGE;AC=PRIDE:0000568	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-1	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 14	proteomic profiling by mass spectrometry	PXD004332	PG_Ingel_14.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/PG_Ingel_14.raw	1	14	NT=SDS PAGE;AC=PRIDE:0000568	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-1	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 15	proteomic profiling by mass spectrometry	PXD004332	PG_Ingel_15.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/PG_Ingel_15.raw	1	15	NT=SDS PAGE;AC=PRIDE:0000568	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-1	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 16	proteomic profiling by mass spectrometry	PXD004332	PG_Ingel_16.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/PG_Ingel_16.raw	1	16	NT=SDS PAGE;AC=PRIDE:0000568	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-1	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 17	proteomic profiling by mass spectrometry	PXD004332	PG_Ingel_17.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/PG_Ingel_17.raw	1	17	NT=SDS PAGE;AC=PRIDE:0000568	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-1	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 18	proteomic profiling by mass spectrometry	PXD004332	PG_Ingel_18.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/PG_Ingel_18.raw	1	18	NT=SDS PAGE;AC=PRIDE:0000568	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-1	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 19	proteomic profiling by mass spectrometry	PXD004332	PG_Ingel_19.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/PG_Ingel_19.raw	1	19	NT=SDS PAGE;AC=PRIDE:0000568	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-1	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 20	proteomic profiling by mass spectrometry	PXD004332	PG_Ingel_20.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/PG_Ingel_20.raw	1	20	NT=SDS PAGE;AC=PRIDE:0000568	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-1	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 21	proteomic profiling by mass spectrometry	PXD004332	PG_Ingel_21.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/PG_Ingel_21.raw	1	21	NT=SDS PAGE;AC=PRIDE:0000568	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-1	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 22	proteomic profiling by mass spectrometry	PXD004332	PG_Ingel_22_Re.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/PG_Ingel_22_Re.raw	1	22	NT=SDS PAGE;AC=PRIDE:0000568	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-1	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 23	proteomic profiling by mass spectrometry	PXD004332	PG_Ingel_23.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/PG_Ingel_23.raw	1	23	NT=SDS PAGE;AC=PRIDE:0000568	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-1	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 24	proteomic profiling by mass spectrometry	PXD004332	PG_Ingel_24.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/PG_Ingel_24.raw	1	24	NT=SDS PAGE;AC=PRIDE:0000568	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-1	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 25	proteomic profiling by mass spectrometry	PXD004332	PG_Ingel_25.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/PG_Ingel_25.raw	1	25	NT=SDS PAGE;AC=PRIDE:0000568	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-2	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 26	proteomic profiling by mass spectrometry	PXD004332	Pineal_gland_bRPLC_Velos_01.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/Pineal_gland_bRPLC_Velos_01.raw	1	1	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-2	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 27	proteomic profiling by mass spectrometry	PXD004332	Pineal_gland_bRPLC_Velos_02.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/Pineal_gland_bRPLC_Velos_02.raw	1	2	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-2	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 28	proteomic profiling by mass spectrometry	PXD004332	Pineal_gland_bRPLC_Velos_03.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/Pineal_gland_bRPLC_Velos_03.raw	1	3	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-2	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 29	proteomic profiling by mass spectrometry	PXD004332	Pineal_gland_bRPLC_Velos_04.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/Pineal_gland_bRPLC_Velos_04.raw	1	4	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-2	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 30	proteomic profiling by mass spectrometry	PXD004332	Pineal_gland_bRPLC_Velos_05.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/Pineal_gland_bRPLC_Velos_05.raw	1	5	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-2	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 31	proteomic profiling by mass spectrometry	PXD004332	Pineal_gland_bRPLC_Velos_06.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/Pineal_gland_bRPLC_Velos_06.raw	1	6	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-2	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 32	proteomic profiling by mass spectrometry	PXD004332	Pineal_gland_bRPLC_Velos_07.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/Pineal_gland_bRPLC_Velos_07.raw	1	7	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-2	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 33	proteomic profiling by mass spectrometry	PXD004332	Pineal_gland_bRPLC_Velos_08.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/Pineal_gland_bRPLC_Velos_08.raw	1	8	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-2	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 34	proteomic profiling by mass spectrometry	PXD004332	Pineal_gland_bRPLC_Velos_09_150105153740.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/Pineal_gland_bRPLC_Velos_09_150105153740.raw	1	9	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-2	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 35	proteomic profiling by mass spectrometry	PXD004332	Pineal_gland_bRPLC_Velos_10.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/Pineal_gland_bRPLC_Velos_10.raw	1	10	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-2	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 36	proteomic profiling by mass spectrometry	PXD004332	Pineal_gland_bRPLC_Velos_11.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/Pineal_gland_bRPLC_Velos_11.raw	1	11	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
