source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[developmental stage]	characteristics[disease]	characteristics[ancestry category]	characteristics[sex]	characteristics[age]	characteristics[biological replicate]	characteristics[phenotype]	Material Type	assay name	Technology Type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[phenotype]
PXD014458-Sample-11	Homo sapiens	breast	epithelial	MCF 10A	adult	breast cancer	Caucasian	female	36Y	11	nontumorigenic	cell	run 11	proteomic profiling by mass spectrometer	MCF10_SN1_2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF10_SN1_2.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	nontumorigenic
PXD014458-Sample-12	Homo sapiens	breast	epithelial	MCF 10A	adult	breast cancer	Caucasian	female	36Y	12	nontumorigenic	cell	run 12	proteomic profiling by mass spectrometer	MCF10_SN2_1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF10_SN2_1.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	nontumorigenic
PXD014458-Sample-13	Homo sapiens	breast	epithelial	MCF 10A	adult	breast cancer	Caucasian	female	36Y	13	nontumorigenic	cell	run 13	proteomic profiling by mass spectrometer	MCF10_SN3_1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF10_SN3_1.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	nontumorigenic
PXD014458-Sample-14	Homo sapiens	breast	epithelial	MCF 10A	adult	breast cancer	Caucasian	female	36Y	14	nontumorigenic	cell	run 14	proteomic profiling by mass spectrometer	MCF10_SN3_3.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF10_SN3_3.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	nontumorigenic
PXD014458-Sample-15	Homo sapiens	breast	epithelial	MCF7	adult	breast cancer	Caucasian	female	69Y	1	breast cancer	cell	run 15	proteomic profiling by mass spectrometer	MCF7_G1C1_3.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF7_G1C1_3.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	breast cancer
PXD014458-Sample-16	Homo sapiens	breast	epithelial	MCF7	adult	breast cancer	Caucasian	female	69Y	2	breast cancer	cell	run 16	proteomic profiling by mass spectrometer	MCF7_G1C2_4.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF7_G1C2_4.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	breast cancer
PXD014458-Sample-17	Homo sapiens	breast	epithelial	MCF7	adult	breast cancer	Caucasian	female	69Y	3	breast cancer	cell	run 17	proteomic profiling by mass spectrometer	MCF7_G1N1_1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF7_G1N1_1.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	breast cancer
PXD014458-Sample-18	Homo sapiens	breast	epithelial	MCF7	adult	breast cancer	Caucasian	female	69Y	4	breast cancer	cell	run 18	proteomic profiling by mass spectrometer	MCF7_G1N2_1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF7_G1N2_1.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	breast cancer
PXD014458-Sample-19	Homo sapiens	breast	epithelial	MCF7	adult	breast cancer	Caucasian	female	69Y	5	breast cancer	cell	run 19	proteomic profiling by mass spectrometer	MCF7_G1N2_3.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF7_G1N2_3.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	breast cancer
PXD014458-Sample-20	Homo sapiens	breast	epithelial	MCF7	adult	breast cancer	Caucasian	female	69Y	6	breast cancer	cell	run 20	proteomic profiling by mass spectrometer	MCF7_G1N2_5.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF7_G1N2_5.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	breast cancer
PXD014458-Sample-21	Homo sapiens	breast	epithelial	MCF7	adult	breast cancer	Caucasian	female	69Y	7	breast cancer	cell	run 21	proteomic profiling by mass spectrometer	MCF7_G1N3_2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF7_G1N3_2.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	breast cancer
PXD014458-Sample-22	Homo sapiens	breast	epithelial	MCF7	adult	breast cancer	Caucasian	female	69Y	8	breast cancer	cell	run 22	proteomic profiling by mass spectrometer	MCF7_SC1_3.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF7_SC1_3.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	breast cancer
PXD014458-Sample-23	Homo sapiens	breast	epithelial	MCF7	adult	breast cancer	Caucasian	female	69Y	9	breast cancer	cell	run 23	proteomic profiling by mass spectrometer	MCF7_SC1_5.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF7_SC1_5.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	breast cancer
PXD014458-Sample-24	Homo sapiens	breast	epithelial	MCF7	adult	breast cancer	Caucasian	female	69Y	10	breast cancer	cell	run 24	proteomic profiling by mass spectrometer	MCF7_SC2_1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF7_SC2_1.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	breast cancer
PXD014458-Sample-25	Homo sapiens	breast	epithelial	MCF7	adult	breast cancer	Caucasian	female	69Y	11	breast cancer	cell	run 25	proteomic profiling by mass spectrometer	MCF7_SC2_5.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF7_SC2_5.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	breast cancer
PXD014458-Sample-26	Homo sapiens	breast	epithelial	MCF7	adult	breast cancer	Caucasian	female	69Y	12	breast cancer	cell	run 26	proteomic profiling by mass spectrometer	MCF7_SC3_1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF7_SC3_1.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	breast cancer
PXD014458-Sample-27	Homo sapiens	breast	epithelial	MCF7	adult	breast cancer	Caucasian	female	69Y	13	breast cancer	cell	run 27	proteomic profiling by mass spectrometer	MCF7_SC3_3.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF7_SC3_3.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	breast cancer
PXD014458-Sample-28	Homo sapiens	breast	epithelial	MCF7	adult	breast cancer	Caucasian	female	69Y	14	breast cancer	cell	run 28	proteomic profiling by mass spectrometer	MCF7_SN1_1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF7_SN1_1.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	breast cancer
PXD014458-Sample-29	Homo sapiens	breast	epithelial	MCF7	adult	breast cancer	Caucasian	female	69Y	15	breast cancer	cell	run 29	proteomic profiling by mass spectrometer	MCF7_SN1_2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF7_SN1_2.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	breast cancer
PXD014458-Sample-30	Homo sapiens	breast	epithelial	MCF7	adult	breast cancer	Caucasian	female	69Y	16	breast cancer	cell	run 30	proteomic profiling by mass spectrometer	MCF7_SN1_3.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF7_SN1_3.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	breast cancer
PXD014458-Sample-31	Homo sapiens	breast	epithelial	MCF7	adult	breast cancer	Caucasian	female	69Y	17	breast cancer	cell	run 31	proteomic profiling by mass spectrometer	MCF7_SN1_4.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF7_SN1_4.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	breast cancer
PXD014458-Sample-32	Homo sapiens	breast	epithelial	MCF7	adult	breast cancer	Caucasian	female	69Y	18	breast cancer	cell	run 32	proteomic profiling by mass spectrometer	MCF7_SN2_5.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF7_SN2_5.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	breast cancer
PXD014458-Sample-33	Homo sapiens	breast	epithelial	MCF7	adult	breast cancer	Caucasian	female	69Y	19	breast cancer	cell	run 33	proteomic profiling by mass spectrometer	MCF7_SN3_3.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/MCF7_SN3_3.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	breast cancer
PXD014458-Sample-34	Homo sapiens	breast	epithelial	SKBR3	adult	breast cancer	Caucasian	female	43Y	20	breast cancer	cell	run 34	proteomic profiling by mass spectrometer	SKBR3_G1C2_6.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/SKBR3_G1C2_6.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	breast cancer
PXD014458-Sample-35	Homo sapiens	breast	epithelial	SKBR3	adult	breast cancer	Caucasian	female	43Y	21	breast cancer	cell	run 35	proteomic profiling by mass spectrometer	SKBR3_G1N2_1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/SKBR3_G1N2_1.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	breast cancer
PXD014458-Sample-36	Homo sapiens	breast	epithelial	SKBR3	adult	breast cancer	Caucasian	female	43Y	22	breast cancer	cell	run 36	proteomic profiling by mass spectrometer	SKBR3_SC1_4.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/SKBR3_SC1_4.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	breast cancer
PXD014458-Sample-37	Homo sapiens	breast	epithelial	SKBR3	adult	breast cancer	Caucasian	female	43Y	23	breast cancer	cell	run 37	proteomic profiling by mass spectrometer	SKBR3_SC2_2_5.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/SKBR3_SC2_2_5.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	breast cancer
PXD014458-Sample-38	Homo sapiens	breast	epithelial	SKBR3	adult	breast cancer	Caucasian	female	43Y	24	breast cancer	cell	run 38	proteomic profiling by mass spectrometer	SKBR3_SC3_1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/SKBR3_SC3_1.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	breast cancer
PXD014458-Sample-39	Homo sapiens	breast	epithelial	SKBR3	adult	breast cancer	Caucasian	female	43Y	25	breast cancer	cell	run 39	proteomic profiling by mass spectrometer	SKBR3_SN1_1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/SKBR3_SN1_1.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	breast cancer
PXD014458-Sample-40	Homo sapiens	breast	epithelial	SKBR3	adult	breast cancer	Caucasian	female	43Y	26	breast cancer	cell	run 40	proteomic profiling by mass spectrometer	SKBR3_SN1_7.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/SKBR3_SN1_7.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	breast cancer
PXD014458-Sample-41	Homo sapiens	breast	epithelial	SKBR3	adult	breast cancer	Caucasian	female	43Y	27	breast cancer	cell	run 41	proteomic profiling by mass spectrometer	SKBR3_SN2_1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/SKBR3_SN2_1.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	breast cancer
PXD014458-Sample-42	Homo sapiens	breast	epithelial	SKBR3	adult	breast cancer	Caucasian	female	43Y	28	breast cancer	cell	run 42	proteomic profiling by mass spectrometer	SKBR3_SN2_2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/SKBR3_SN2_2.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	breast cancer
PXD014458-Sample-43	Homo sapiens	breast	epithelial	SKBR3	adult	breast cancer	Caucasian	female	43Y	29	breast cancer	cell	run 43	proteomic profiling by mass spectrometer	SKBR3_SN2_3.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/SKBR3_SN2_3.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	breast cancer
PXD014458-Sample-44	Homo sapiens	breast	epithelial	SKBR3	adult	breast cancer	Caucasian	female	43Y	30	breast cancer	cell	run 44	proteomic profiling by mass spectrometer	SKBR3_SN3_6.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD014458/SKBR3_SN3_6.RAW	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ;AC=MS:1000447	35% NCE	2 Da	1 Da	breast cancer
