source name	characteristics[organism]	characteristics[organism part]	characteristics[organism part]	characteristics[developmental stage]	characteristics[disease]	characteristics[ancestry category]	characteristics[sex]	characteristics[age]	characteristics[cell type]	characteristics[cell line]	material type	assay name	technology type	comment[data file]	comment[fraction identifier]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[label]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[file uri]	factor value[organism part]
PXD010271-Sample-164	Homo sapiens	blood plasma	blood serum	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 164	proteomic profiling by mass spectrometry	HURN_09_run1_9May13_Leopard_13-05-02.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/HURN_09_run1_9May13_Leopard_13-05-02.raw	blood plasma
PXD010271-Sample-165	Homo sapiens	blood plasma	blood serum	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 165	proteomic profiling by mass spectrometry	HURN_10_run1_13May13_Leopard_13-05-02.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/HURN_10_run1_13May13_Leopard_13-05-02.raw	blood plasma
PXD010271-Sample-166	Homo sapiens	blood plasma	blood serum	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 166	proteomic profiling by mass spectrometry	HURN_C_01_run1_9May13_Leopard_13-05-02.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/HURN_C_01_run1_9May13_Leopard_13-05-02.raw	blood plasma
PXD010271-Sample-167	Homo sapiens	blood plasma	blood serum	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 167	proteomic profiling by mass spectrometry	HURN_C_02_run1_13May13_Leopard_13-05-02.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/HURN_C_02_run1_13May13_Leopard_13-05-02.raw	blood plasma
PXD010271-Sample-168	Homo sapiens	blood plasma	blood serum	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 168	proteomic profiling by mass spectrometry	HURN_C_03_run1_9May13_Leopard_13-05-02.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/HURN_C_03_run1_9May13_Leopard_13-05-02.raw	blood plasma
PXD010271-Sample-169	Homo sapiens	blood plasma	blood serum	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 169	proteomic profiling by mass spectrometry	HURN_C_04_run1_13May13_Leopard_13-05-02.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/HURN_C_04_run1_13May13_Leopard_13-05-02.raw	blood plasma
PXD010271-Sample-170	Homo sapiens	blood plasma	blood serum	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 170	proteomic profiling by mass spectrometry	HURN_C_05_run1_13May13_Leopard_13-05-02.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/HURN_C_05_run1_13May13_Leopard_13-05-02.raw	blood plasma
PXD010271-Sample-171	Homo sapiens	blood plasma	blood serum	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 171	proteomic profiling by mass spectrometry	HURN_C_06_run1_13May13_Leopard_13-05-02.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/HURN_C_06_run1_13May13_Leopard_13-05-02.raw	blood plasma
PXD010271-Sample-172	Homo sapiens	blood plasma	blood serum	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 172	proteomic profiling by mass spectrometry	HURN_C_07_run1_9May13_Leopard_13-05-02.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/HURN_C_07_run1_9May13_Leopard_13-05-02.raw	blood plasma
PXD010271-Sample-173	Homo sapiens	blood plasma	blood serum	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 173	proteomic profiling by mass spectrometry	HURN_C_08_run1_13May13_Leopard_13-05-02.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/HURN_C_08_run1_13May13_Leopard_13-05-02.raw	blood plasma
PXD010271-Sample-174	Homo sapiens	blood plasma	blood serum	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 174	proteomic profiling by mass spectrometry	HURN_C_09_run1_13May13_Leopard_13-05-02.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/HURN_C_09_run1_13May13_Leopard_13-05-02.raw	blood plasma
PXD010271-Sample-175	Homo sapiens	blood plasma	blood serum	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 175	proteomic profiling by mass spectrometry	HURN_C_10_run1_13May13_Leopard_13-05-02.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/HURN_C_10_run1_13May13_Leopard_13-05-02.raw	blood plasma
PXD010271-Sample-206	Homo sapiens	blood plasma	blood serum	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 206	proteomic profiling by mass spectrometry	LSDF2_10-0005-05_Velo_B_15Sep11_Jaguar_11-06-28.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/LSDF2_10-0005-05_Velo_B_15Sep11_Jaguar_11-06-28.raw	blood plasma
PXD010271-Sample-207	Homo sapiens	blood plasma	blood serum	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 207	proteomic profiling by mass spectrometry	LSDF2_10-0013-09_Velo_A_12Sep11_Jaguar_11-06-28.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/LSDF2_10-0013-09_Velo_A_12Sep11_Jaguar_11-06-28.raw	blood plasma
PXD010271-Sample-208	Homo sapiens	blood plasma	blood serum	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 208	proteomic profiling by mass spectrometry	LSDF2_10-0013-09_Velo_B_12Sep11_Jaguar_11-06-28.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/LSDF2_10-0013-09_Velo_B_12Sep11_Jaguar_11-06-28.raw	blood plasma
PXD010271-Sample-209	Homo sapiens	blood plasma	blood serum	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 209	proteomic profiling by mass spectrometry	LSDF2_10-0032-02_Velo_A_12Sep11_Jaguar_11-06-28.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/LSDF2_10-0032-02_Velo_A_12Sep11_Jaguar_11-06-28.raw	blood plasma
PXD010271-Sample-210	Homo sapiens	blood plasma	blood serum	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 210	proteomic profiling by mass spectrometry	LSDF2_10-0196-09_Velo_A_12Sep11_Jaguar_11-06-28.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/LSDF2_10-0196-09_Velo_A_12Sep11_Jaguar_11-06-28.raw	blood plasma
PXD010271-Sample-211	Homo sapiens	blood plasma	blood serum	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 211	proteomic profiling by mass spectrometry	LSDF2_10-0457-03_Velo_A_15Sep11_Jaguar_11-06-28.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/LSDF2_10-0457-03_Velo_A_15Sep11_Jaguar_11-06-28.raw	blood plasma
PXD010271-Sample-212	Homo sapiens	blood plasma	blood serum	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 212	proteomic profiling by mass spectrometry	LSDF2_10-0523-08_Velo_A_20Sep11_Jaguar_11-06-28.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/LSDF2_10-0523-08_Velo_A_20Sep11_Jaguar_11-06-28.raw	blood plasma
PXD010271-Sample-213	Homo sapiens	blood plasma	blood serum	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 213	proteomic profiling by mass spectrometry	LSDF2_10-0543-07_Velo_A_12Sep11_Jaguar_11-06-28.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/LSDF2_10-0543-07_Velo_A_12Sep11_Jaguar_11-06-28.raw	blood plasma
PXD010271-Sample-214	Homo sapiens	blood plasma	blood serum	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 214	proteomic profiling by mass spectrometry	LSDF2_10-0718-05_Velo_A_20Sep11_Jaguar_11-06-28.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/LSDF2_10-0718-05_Velo_A_20Sep11_Jaguar_11-06-28.raw	blood plasma
PXD010271-Sample-215	Homo sapiens	blood plasma	blood serum	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 215	proteomic profiling by mass spectrometry	LSDF2_10-1165-06_Velo_A_12Sep11_Jaguar_11-06-28.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/LSDF2_10-1165-06_Velo_A_12Sep11_Jaguar_11-06-28.raw	blood plasma
