source name	characteristics[organism]	characteristics[organism part]	characteristics[organism part]	characteristics[developmental stage]	characteristics[disease]	characteristics[ancestry category]	characteristics[sex]	characteristics[age]	characteristics[cell type]	characteristics[cell line]	material type	assay name	technology type	comment[data file]	comment[fraction identifier]	comment[instrument]	comment [cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[label]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[file uri]	factor value[organism part]
PXD010271-Sample-12	Homo sapiens	pancreas	pancreas	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 12	proteomic profiling by mass spectrometry	61928_PT_S3_6051_A_30Nov13_Samwise_13-07-28.raw	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/61928_PT_S3_6051_A_30Nov13_Samwise_13-07-28.raw	pancreas
PXD010271-Sample-13	Homo sapiens	pancreas	pancreas	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 13	proteomic profiling by mass spectrometry	61928_PT_S3_6057_A_30Nov13_Samwise_13-07-28.raw	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/61928_PT_S3_6057_A_30Nov13_Samwise_13-07-28.raw	pancreas
PXD010271-Sample-14	Homo sapiens	pancreas	pancreas	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 14	proteomic profiling by mass spectrometry	61928_PT_S3_6096_A_30Nov13_Samwise_13-07-28.raw	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/61928_PT_S3_6096_A_30Nov13_Samwise_13-07-28.raw	pancreas
PXD010271-Sample-15	Homo sapiens	pancreas	pancreas	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 15	proteomic profiling by mass spectrometry	61928_PT_S3_6172_A_30Nov13_Samwise_13-07-28.raw	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/61928_PT_S3_6172_A_30Nov13_Samwise_13-07-28.raw	pancreas
PXD010271-Sample-16	Homo sapiens	pancreas	pancreas	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 16	proteomic profiling by mass spectrometry	61928_PT_S3_6174_A_30Nov13_Samwise_13-07-28.raw	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/61928_PT_S3_6174_A_30Nov13_Samwise_13-07-28.raw	pancreas
PXD010271-Sample-21	Homo sapiens	pancreas	pancreas	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 21	proteomic profiling by mass spectrometry	62276_AC_1_5May14_Samwise_13-07-17.raw	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/62276_AC_1_5May14_Samwise_13-07-17.raw	pancreas
PXD010271-Sample-22	Homo sapiens	pancreas	pancreas	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 22	proteomic profiling by mass spectrometry	62276_AC_2_5May14_Samwise_13-07-17.raw	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/62276_AC_2_5May14_Samwise_13-07-17.raw	pancreas
PXD010271-Sample-23	Homo sapiens	pancreas	pancreas	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 23	proteomic profiling by mass spectrometry	62276_AC_3_5May14_Samwise_13-07-17.raw	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/62276_AC_3_5May14_Samwise_13-07-17.raw	pancreas
PXD010271-Sample-24	Homo sapiens	pancreas	pancreas	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 24	proteomic profiling by mass spectrometry	62276_PI_1_5May14_Samwise_13-07-17.raw	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/62276_PI_1_5May14_Samwise_13-07-17.raw	pancreas
PXD010271-Sample-25	Homo sapiens	pancreas	pancreas	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 25	proteomic profiling by mass spectrometry	62276_PI_2_5May14_Samwise_13-07-17.raw	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/62276_PI_2_5May14_Samwise_13-07-17.raw	pancreas
PXD010271-Sample-26	Homo sapiens	pancreas	pancreas	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 26	proteomic profiling by mass spectrometry	62276_PI_3_5May14_Samwise_13-07-17.raw	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/62276_PI_3_5May14_Samwise_13-07-17.raw	pancreas
PXD010271-Sample-152	Homo sapiens	pancreas	pancreas	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 152	proteomic profiling by mass spectrometry	Human_Pancreas_OCT_6227_17Apr15_Frodo_15-02-07.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/Human_Pancreas_OCT_6227_17Apr15_Frodo_15-02-07.raw	pancreas
PXD010271-Sample-153	Homo sapiens	pancreas	pancreas	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 153	proteomic profiling by mass spectrometry	Human_Pancreas_OCT_6229_17Apr15_Frodo_15-02-07.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/Human_Pancreas_OCT_6229_17Apr15_Frodo_15-02-07.raw	pancreas
PXD010271-Sample-154	Homo sapiens	pancreas	pancreas	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 154	proteomic profiling by mass spectrometry	Human_Pancreas_Vial_6227_17Apr15_Frodo_15-02-07.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/Human_Pancreas_Vial_6227_17Apr15_Frodo_15-02-07.raw	pancreas
PXD010271-Sample-155	Homo sapiens	pancreas	pancreas	not available	Normal	not available	not available	not available	not applicable	not applicable	tissue	run 155	proteomic profiling by mass spectrometry	Human_Pancreas_Vial_6229_17Apr15_Frodo_15-02-07.raw	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	AC=MS:1002038;NT=label free sample	20 ppm	20 ppm	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD010271/Human_Pancreas_Vial_6229_17Apr15_Frodo_15-02-07.raw	pancreas
