source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[developmental stage]	characteristics[disease]	characteristics[ancestry category]	characteristics[sex]	characteristics[age]	characteristics[biological replicate]	assay name	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD020192-Sample-11	Homo sapiens	spinal cord	not applicable	not applicable	adult	none	not available	not available	not available	1	run 11	S11_SpinalCord_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S11_SpinalCord_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	spinalcord
PXD020192-Sample-12	Homo sapiens	spinal cord	not applicable	not applicable	adult	none	not available	not available	not available	2	run 12	S12_SpinalCord_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S12_SpinalCord_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	spinalcord
PXD020192-Sample-13	Homo sapiens	brain	not applicable	not applicable	adult	none	not available	not available	not available	1	run 13	S13_Brain_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S13_Brain_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	brain
PXD020192-Sample-14	Homo sapiens	brain	not applicable	not applicable	adult	none	not available	not available	not available	2	run 14	S14_Brain_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S14_Brain_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	brain
PXD020192-Sample-15	Homo sapiens	medulla oblongata	not applicable	not applicable	adult	none	not available	not available	not available	1	run 15	S15_MedullaOblongata_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S15_MedullaOblongata_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	medulla oblongata
PXD020192-Sample-16	Homo sapiens	medulla oblongata	not applicable	not applicable	adult	none	not available	not available	not available	2	run 16	S16_MedullaOblongata_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S16_MedullaOblongata_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	medulla oblongata
PXD020192-Sample-17	Homo sapiens	placenta	not applicable	not applicable	adult	none	not available	not available	not available	1	run 17	S17_Placenta_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S17_Placenta_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	placenta
PXD020192-Sample-18	Homo sapiens	placenta	not applicable	not applicable	adult	none	not available	not available	not available	2	run 18	S18_Placenta_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S18_Placenta_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	placenta
PXD020192-Sample-19	Homo sapiens	endometrium	not applicable	not applicable	adult	none	not available	not available	not available	1	run 19	S19_Endometrium_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S19_Endometrium_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	endometrium
PXD020192-Sample-20	Homo sapiens	endometrium	not applicable	not applicable	adult	none	not available	not available	not available	2	run 20	S20_Endometrium_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S20_Endometrium_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	endometrium
PXD020192-Sample-21	Homo sapiens	adrenalgland	not applicable	not applicable	adult	none	not available	not available	not available	1	run 21	S21_AdrenalGland_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S21_AdrenalGland_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	adrenalgland
PXD020192-Sample-22	Homo sapiens	adrenalgland	not applicable	not applicable	adult	none	not available	not available	not available	2	run 22	S22_AdrenalGland_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S22_AdrenalGland_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	adrenalgland
PXD020192-Sample-23	Homo sapiens	appendix	not applicable	not applicable	adult	none	not available	not available	not available	1	run 23	S23_Appendix_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S23_Appendix_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	appendix
PXD020192-Sample-24	Homo sapiens	appendix	not applicable	not applicable	adult	none	not available	not available	not available	2	run 24	S24_Appendix_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S24_Appendix_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	appendix
PXD020192-Sample-25	Homo sapiens	lung	not applicable	not applicable	adult	none	not available	not available	not available	1	run 25	S25_Lung_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S25_Lung_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	lung
PXD020192-Sample-26	Homo sapiens	lung	not applicable	not applicable	adult	none	not available	not available	not available	2	run 26	S26_Lung_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S26_Lung_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	lung
PXD020192-Sample-27	Homo sapiens	liver	not applicable	not applicable	adult	none	not available	not available	not available	1	run 27	S27_Liver_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S27_Liver_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	liver
PXD020192-Sample-28	Homo sapiens	liver	not applicable	not applicable	adult	none	not available	not available	not available	2	run 28	S28_Liver_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S28_Liver_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	liver
PXD020192-Sample-29	Homo sapiens	heart	not applicable	not applicable	adult	none	not available	not available	not available	1	run 29	S29_Heart_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S29_Heart_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	heart
PXD020192-Sample-30	Homo sapiens	heart	not applicable	not applicable	adult	none	not available	not available	not available	2	run 30	S30_Heart_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S30_Heart_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	heart
PXD020192-Sample-31	Homo sapiens	colon	not applicable	not applicable	adult	none	not available	not available	not available	1	run 31	S31_Colon_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S31_Colon_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	colon
PXD020192-Sample-32	Homo sapiens	colon	not applicable	not applicable	adult	none	not available	not available	not available	2	run 32	S32_Colon_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S32_Colon_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	colon
PXD020192-Sample-33	Homo sapiens	esophagus	not applicable	not applicable	adult	none	not available	not available	not available	1	run 33	S33_Esophagus_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S33_Esophagus_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	esophagus
PXD020192-Sample-34	Homo sapiens	esophagus	not applicable	not applicable	adult	none	not available	not available	not available	2	run 34	S34_Esophagus_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S34_Esophagus_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	esophagus
PXD020192-Sample-35	Homo sapiens	stomach	not applicable	not applicable	adult	none	not available	not available	not available	1	run 35	S35_Stomach_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S35_Stomach_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	stomach
PXD020192-Sample-36	Homo sapiens	stomach	not applicable	not applicable	adult	none	not available	not available	not available	2	run 36	S36_Stomach_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S36_Stomach_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	stomach
PXD020192-Sample-37	Homo sapiens	small intestine	not applicable	not applicable	adult	none	not available	not available	not available	1	run 37	S37_SmallIntestine_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S37_SmallIntestine_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	small intestine
PXD020192-Sample-38	Homo sapiens	small intestine	not applicable	not applicable	adult	none	not available	not available	not available	2	run 38	S38_SmallIntestine_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S38_SmallIntestine_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	small intestine
PXD020192-Sample-39	Homo sapiens	trachea	not applicable	not applicable	adult	none	not available	not available	not available	1	run 39	S39_Trachea_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S39_Trachea_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	trachea
PXD020192-Sample-40	Homo sapiens	trachea	not applicable	not applicable	adult	none	not available	not available	not available	2	run 40	S40_Trachea_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S40_Trachea_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	trachea
PXD020192-Sample-41	Homo sapiens	kidney	not applicable	not applicable	adult	none	not available	not available	not available	1	run 41	S41_Kidney_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S41_Kidney_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	kidney
PXD020192-Sample-42	Homo sapiens	kidney	not applicable	not applicable	adult	none	not available	not available	not available	2	run 42	S42_Kidney_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S42_Kidney_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	kidney
PXD020192-Sample-43	Homo sapiens	cervix	not applicable	not applicable	adult	none	not available	not available	not available	1	run 43	S43_Cervix_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S43_Cervix_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	cervix
PXD020192-Sample-44	Homo sapiens	cervix	not applicable	not applicable	adult	none	not available	not available	not available	2	run 44	S44_Cervix_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S44_Cervix_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	cervix
PXD020192-Sample-45	Homo sapiens	bladder	not applicable	not applicable	adult	none	not available	not available	not available	1	run 45	S45_Bladder_1_20200129213259.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S45_Bladder_1_20200129213259.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	bladder
PXD020192-Sample-46	Homo sapiens	bladder	not applicable	not applicable	adult	none	not available	not available	not available	2	run 46	S46_Bladder_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020192/S46_Bladder_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	7 ppm	0.02 Da	bladder
