Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[cell line]	Characteristics[cell type]	Characteristics[sex]	Characteristics[disease]	Characteristics[biological replicate]	Material Type	assay name	Characteristics[technology type]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[precursor mass tolerance]
Sample 12	Homo sapiens	Cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 12	proteomic profiling by mass spectrometry	Cornea_bRPLC_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_bRPLC_10.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da
Sample 13	Homo sapiens	Cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 13	proteomic profiling by mass spectrometry	Cornea_bRPLC_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_bRPLC_5.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da
Sample 14	Homo sapiens	Cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 14	proteomic profiling by mass spectrometry	Cornea_bRPLC_6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_bRPLC_6.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da
Sample 15	Homo sapiens	Cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 15	proteomic profiling by mass spectrometry	Cornea_bRPLC_7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_bRPLC_7.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da
Sample 16	Homo sapiens	Cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 16	proteomic profiling by mass spectrometry	Cornea_bRPLC_8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_bRPLC_8.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da
Sample 17	Homo sapiens	Cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 17	proteomic profiling by mass spectrometry	Cornea_bRPLC_9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_bRPLC_9.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da
Sample 18	Homo sapiens	Cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 18	proteomic profiling by mass spectrometry	Cornea_IG_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_IG_1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da
Sample 19	Homo sapiens	Cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 19	proteomic profiling by mass spectrometry	Cornea_IG_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_IG_10.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da
Sample 20	Homo sapiens	Cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 20	proteomic profiling by mass spectrometry	Cornea_IG_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_IG_11.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da
Sample 21	Homo sapiens	Cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 21	proteomic profiling by mass spectrometry	Cornea_IG_12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_IG_12.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da
Sample 22	Homo sapiens	Cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 22	proteomic profiling by mass spectrometry	Cornea_IG_13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_IG_13.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da
Sample 23	Homo sapiens	Cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 23	proteomic profiling by mass spectrometry	Cornea_bRPLC_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_bRPLC_11.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da
Sample 24	Homo sapiens	Cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 24	proteomic profiling by mass spectrometry	Cornea_IG_14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_IG_14.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da
Sample 25	Homo sapiens	Cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 25	proteomic profiling by mass spectrometry	Cornea_IG_15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_IG_15.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da
Sample 26	Homo sapiens	Cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 26	proteomic profiling by mass spectrometry	Cornea_IG_16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_IG_16.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da
Sample 27	Homo sapiens	Cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 27	proteomic profiling by mass spectrometry	Cornea_IG_17.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_IG_17.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da
Sample 28	Homo sapiens	Cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 28	proteomic profiling by mass spectrometry	Cornea_IG_18.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_IG_18.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da
Sample 29	Homo sapiens	Cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 29	proteomic profiling by mass spectrometry	Cornea_IG_19.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_IG_19.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da
Sample 30	Homo sapiens	Cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 30	proteomic profiling by mass spectrometry	Cornea_IG_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_IG_2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da
Sample 31	Homo sapiens	Cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 31	proteomic profiling by mass spectrometry	Cornea_IG_20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_IG_20.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da
Sample 32	Homo sapiens	Cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 32	proteomic profiling by mass spectrometry	Cornea_IG_21.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_IG_21.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da
Sample 33	Homo sapiens	Cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 33	proteomic profiling by mass spectrometry	Cornea_IG_22.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_IG_22.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da
Sample 34	Homo sapiens	Cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 34	proteomic profiling by mass spectrometry	Cornea_bRPLC_12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_bRPLC_12.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da
Sample 35	Homo sapiens	Cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 35	proteomic profiling by mass spectrometry	Cornea_IG_23.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_IG_23.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da
Sample 36	Homo sapiens	Cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 36	proteomic profiling by mass spectrometry	Cornea_IG_24.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_IG_24.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da
Sample 37	Homo sapiens	Cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 37	proteomic profiling by mass spectrometry	Cornea_IG_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_IG_3.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da
Sample 38	Homo sapiens	Cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 38	proteomic profiling by mass spectrometry	Cornea_IG_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_IG_4.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da
Sample 39	Homo sapiens	Cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 39	proteomic profiling by mass spectrometry	Cornea_IG_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_IG_5.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da
Sample 40	Homo sapiens	Cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 40	proteomic profiling by mass spectrometry	Cornea_IG_6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_IG_6.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da
Sample 41	Homo sapiens	Cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 41	proteomic profiling by mass spectrometry	Cornea_IG_7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_IG_7.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da
Sample 42	Homo sapiens	Cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 42	proteomic profiling by mass spectrometry	Cornea_IG_8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_IG_8.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da
Sample 43	Homo sapiens	Cornea	not available	not available	not available	not available	not available	not available	1	organism part	run 43	proteomic profiling by mass spectrometry	Cornea_IG_9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009261/Cornea_IG_9.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap;AC=CHMO:0000966	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	NT=Carbamidomethyl;MT=fixed;AC=UNIMOD:4;TA=C	AC=MS:1001313;NT=Trypsin	10 ppm	0.05 Da
