source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[sex]	characteristics[cell type]	characteristics[phenotype]	characteristics[developmental stage]	characteristics[ancestry category]	characteristics[disease]	characteristics[individual]	characteristics[biological replicate]	Material Type	assay name	Technology Type	comment[label]	comment[file uri]	comment[instrument]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD006675-Sample-SingleShot-11	Homo sapiens	heart	not available	male	not available	RA	adult	not available	trauma victims	not available	1	tissue	run 19	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160321_QEp4_SoDo_SA_test_RA2.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160321_QEp4_SoDo_SA_test_RA2.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-12	Homo sapiens	heart	not available	male	not available	RV	adult	not available	trauma victims	not available	1	tissue	run 21	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160321_QEp4_SoDo_SA_test_RV1_160401101340.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160321_QEp4_SoDo_SA_test_RV1_160401101340.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-13	Homo sapiens	heart	not available	male	not available	RV	adult	not available	trauma victims	not available	1	tissue	run 20	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160321_QEp4_SoDo_SA_test_RV1.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160321_QEp4_SoDo_SA_test_RV1.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-14	Homo sapiens	heart	not available	male	not available	RV	adult	not available	trauma victims	not available	1	tissue	run 22	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160321_QEp4_SoDo_SA_test_RV2.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160321_QEp4_SoDo_SA_test_RV2.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-15	Homo sapiens	heart	not available	male	not available	RV	adult	not available	trauma victims	not available	1	tissue	run 23	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160321_QEp4_SoDo_SA_test_SV1.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160321_QEp4_SoDo_SA_test_SV1.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-16	Homo sapiens	heart	not available	male	not available	RV	adult	not available	trauma victims	not available	1	tissue	run 24	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160321_QEp4_SoDo_SA_test_SV2.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160321_QEp4_SoDo_SA_test_SV2.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-17	Homo sapiens	heart	not available	male	not available	A17	adult	not available	trauma victims	A17	1	tissue	run 25	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160408_QEp4_GeBo_SA_A17_test.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160408_QEp4_GeBo_SA_A17_test.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-18	Homo sapiens	heart	not available	not available	not available	AV	adult	not available	trauma victims	not available	1	tissue	run 574	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160425_QEp4_SoDo_SA_LC12_AV.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160425_QEp4_SoDo_SA_LC12_AV.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-19	Homo sapiens	heart	not available	male	not available	RV	adult	not available	trauma victims	not available	1	tissue	run 575	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160425_QEp4_SoDo_SA_LC12_PulAr.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160425_QEp4_SoDo_SA_LC12_PulAr.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-20	Homo sapiens	heart	not available	male	not available	RV	adult	not available	trauma victims	not available	1	tissue	run 576	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160425_QEp4_SoDo_SA_LC12_PulKl.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160425_QEp4_SoDo_SA_LC12_PulKl.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-21	Homo sapiens	heart	not available	male	not available	RA	adult	not available	trauma victims	not available	1	tissue	run 577	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160425_QEp4_SoDo_SA_LC12_RA-test100min250-1.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160425_QEp4_SoDo_SA_LC12_RA-test100min250-1.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-22	Homo sapiens	heart	not available	male	not available	RA	adult	not available	trauma victims	not available	1	tissue	run 578	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160425_QEp4_SoDo_SA_LC12_RA-test100min250-2.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160425_QEp4_SoDo_SA_LC12_RA-test100min250-2.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-23	Homo sapiens	heart	not available	male	not available	RA	adult	not available	trauma victims	not available	1	tissue	run 579	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160425_QEp4_SoDo_SA_LC12_RA-test100min450-2.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160425_QEp4_SoDo_SA_LC12_RA-test100min450-2.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-24	Homo sapiens	heart	not available	male	not available	RA	adult	not available	trauma victims	not available	1	tissue	run 580	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160425_QEp4_SoDo_SA_LC12_RA-test100min450-74max-1.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160425_QEp4_SoDo_SA_LC12_RA-test100min450-74max-1.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-25	Homo sapiens	heart	not available	male	not available	RA	adult	not available	trauma victims	not available	1	tissue	run 581	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160425_QEp4_SoDo_SA_LC12_RA-test100min450-74max-2.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160425_QEp4_SoDo_SA_LC12_RA-test100min450-74max-2.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-26	Homo sapiens	heart	not available	male	not available	RA	adult	not available	trauma victims	not available	1	tissue	run 582	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160425_QEp4_SoDo_SA_LC12_RA-test100min450-74maxAddGradient-1.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160425_QEp4_SoDo_SA_LC12_RA-test100min450-74maxAddGradient-1.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-27	Homo sapiens	heart	not available	male	not available	RA	adult	not available	trauma victims	not available	1	tissue	run 583	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160425_QEp4_SoDo_SA_LC12_RA-test100min450-74maxAddGradient-2.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160425_QEp4_SoDo_SA_LC12_RA-test100min450-74maxAddGradient-2.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-28	Homo sapiens	heart	not available	male	not available	RV	adult	not available	trauma victims	not available	1	tissue	run 584	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160425_QEp4_SoDo_SA_LC12_SA.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160425_QEp4_SoDo_SA_LC12_SA.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-29	Homo sapiens	heart	not available	male	not available	RV	adult	not available	trauma victims	not available	1	tissue	run 585	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160425_QEp4_SoDo_SA_LC12_Tri_160504005348.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160425_QEp4_SoDo_SA_LC12_Tri_160504005348.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-30	Homo sapiens	heart	not available	male	not available	AV	adult	not available	trauma victims	not available	1	tissue	run 586	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160502_QEp4_SoDo_SA_LC12_AV.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160502_QEp4_SoDo_SA_LC12_AV.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-31	Homo sapiens	heart	not available	male	not available	RV	adult	not available	trauma victims	not available	1	tissue	run 587	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160502_QEp4_SoDo_SA_LC12_PulAr.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160502_QEp4_SoDo_SA_LC12_PulAr.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-32	Homo sapiens	heart	not available	male	not available	RV	adult	not available	trauma victims	not available	1	tissue	run 588	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160502_QEp4_SoDo_SA_LC12_PulKl.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160502_QEp4_SoDo_SA_LC12_PulKl.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-33	Homo sapiens	heart	not available	male	not available	RA	adult	not available	trauma victims	not available	1	tissue	run 589	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160502_QEp4_SoDo_SA_LC12_RA1bisfirstexp.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160502_QEp4_SoDo_SA_LC12_RA1bisfirstexp.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-34	Homo sapiens	heart	not available	male	not available	RA	adult	not available	trauma victims	not available	1	tissue	run 590	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160502_QEp4_SoDo_SA_LC12_RA2firstexp.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160502_QEp4_SoDo_SA_LC12_RA2firstexp.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-35	Homo sapiens	heart	not available	male	not available	RA	adult	not available	trauma victims	not available	1	tissue	run 599	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160502_QEp4_SoDo_SA_LC12_RAsingle.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160502_QEp4_SoDo_SA_LC12_RAsingle.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-36	Homo sapiens	heart	not available	male	not available	RA	adult	not available	trauma victims	not available	1	tissue	run 600	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160502_QEp4_SoDo_SA_LC12_RAurea.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160502_QEp4_SoDo_SA_LC12_RAurea.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
