Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[age]	Characteristics[strain]	Characteristics[developmental stage]	Characteristics[cell line]	Characteristics[sample type]	Characteristics[cell type]	Characteristics[sex]	Characteristics[disease]	Characteristics[phenotype]	Characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[cell line]	Factor Value[sample type]
PXD006439-Sample-3	Mus musculus	skin	not available	C57BL/6J	not available	B16-F1	Cell Lysate	not available	not available	low metastatic potential	Benign	3	cell	run 11	proteomic profiling by mass spectrometry	QE2_160128_OPL4022_SCS_EVs_and_LYS_E1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD006439/QE2_160128_OPL4022_SCS_EVs_and_LYS_E1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25% NCE	4.5 ppm	20 ppm	B16-F1	Cell Lysate
PXD006439-Sample-3	Mus musculus	skin	not available	C57BL/6J	not available	B16-F1	Cell Lysate	not available	not available	low metastatic potential	Benign	3	cell	run 12	proteomic profiling by mass spectrometry	QE2_160128_OPL4022_SCS_EVs_and_LYS_E2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD006439/QE2_160128_OPL4022_SCS_EVs_and_LYS_E2.raw	1	2	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25% NCE	4.5 ppm	20 ppm	B16-F1	Cell Lysate
PXD006439-Sample-3	Mus musculus	skin	not available	C57BL/6J	not available	B16-F1	Cell Lysate	not available	not available	low metastatic potential	Benign	3	cell	run 13	proteomic profiling by mass spectrometry	QE2_160128_OPL4022_SCS_EVs_and_LYS_E3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD006439/QE2_160128_OPL4022_SCS_EVs_and_LYS_E3.raw	1	3	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25% NCE	4.5 ppm	20 ppm	B16-F1	Cell Lysate
PXD006439-Sample-3	Mus musculus	skin	not available	C57BL/6J	not available	B16-F1	Cell Lysate	not available	not available	low metastatic potential	Benign	3	cell	run 14	proteomic profiling by mass spectrometry	QE2_160128_OPL4022_SCS_EVs_and_LYS_E4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD006439/QE2_160128_OPL4022_SCS_EVs_and_LYS_E4.raw	1	4	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25% NCE	4.5 ppm	20 ppm	B16-F1	Cell Lysate
PXD006439-Sample-3	Mus musculus	skin	not available	C57BL/6J	not available	B16-F1	Cell Lysate	not available	not available	low metastatic potential	Benign	3	cell	run 15	proteomic profiling by mass spectrometry	QE2_160128_OPL4022_SCS_EVs_and_LYS_E5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD006439/QE2_160128_OPL4022_SCS_EVs_and_LYS_E5.raw	1	5	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25% NCE	4.5 ppm	20 ppm	B16-F1	Cell Lysate
PXD006439-Sample-4	Mus musculus	skin	not available	C57BL/6J	not available	B16-F10	Cell Lysate	not available	not available	high metastatic potential	Malignant	1	cell	run 16	proteomic profiling by mass spectrometry	QE2_160128_OPL4022_SCS_EVs_and_LYS_B1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD006439/QE2_160128_OPL4022_SCS_EVs_and_LYS_B1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25% NCE	4.5 ppm	20 ppm	B16-F10	Cell Lysate
PXD006439-Sample-4	Mus musculus	skin	not available	C57BL/6J	not available	B16-F10	Cell Lysate	not available	not available	high metastatic potential	Malignant	1	cell	run 17	proteomic profiling by mass spectrometry	QE2_160128_OPL4022_SCS_EVs_and_LYS_B2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD006439/QE2_160128_OPL4022_SCS_EVs_and_LYS_B2.raw	1	2	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25% NCE	4.5 ppm	20 ppm	B16-F10	Cell Lysate
PXD006439-Sample-4	Mus musculus	skin	not available	C57BL/6J	not available	B16-F10	Cell Lysate	not available	not available	high metastatic potential	Malignant	1	cell	run 18	proteomic profiling by mass spectrometry	QE2_160128_OPL4022_SCS_EVs_and_LYS_B3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD006439/QE2_160128_OPL4022_SCS_EVs_and_LYS_B3.raw	1	3	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25% NCE	4.5 ppm	20 ppm	B16-F10	Cell Lysate
PXD006439-Sample-4	Mus musculus	skin	not available	C57BL/6J	not available	B16-F10	Cell Lysate	not available	not available	high metastatic potential	Malignant	1	cell	run 19	proteomic profiling by mass spectrometry	QE2_160128_OPL4022_SCS_EVs_and_LYS_B4_160202110509.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD006439/QE2_160128_OPL4022_SCS_EVs_and_LYS_B4_160202110509.raw	1	4	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25% NCE	4.5 ppm	20 ppm	B16-F10	Cell Lysate
PXD006439-Sample-4	Mus musculus	skin	not available	C57BL/6J	not available	B16-F10	Cell Lysate	not available	not available	high metastatic potential	Malignant	1	cell	run 20	proteomic profiling by mass spectrometry	QE2_160128_OPL4022_SCS_EVs_and_LYS_B5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD006439/QE2_160128_OPL4022_SCS_EVs_and_LYS_B5.raw	1	5	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25% NCE	4.5 ppm	20 ppm	B16-F10	Cell Lysate
PXD006439-Sample-5	Mus musculus	skin	not available	C57BL/6J	not available	B16-F10	Cell Lysate	not available	not available	high metastatic potential	Malignant	2	cell	run 21	proteomic profiling by mass spectrometry	QE2_160128_OPL4022_SCS_EVs_and_LYS_D1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD006439/QE2_160128_OPL4022_SCS_EVs_and_LYS_D1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25% NCE	4.5 ppm	20 ppm	B16-F10	Cell Lysate
PXD006439-Sample-5	Mus musculus	skin	not available	C57BL/6J	not available	B16-F10	Cell Lysate	not available	not available	high metastatic potential	Malignant	2	cell	run 22	proteomic profiling by mass spectrometry	QE2_160128_OPL4022_SCS_EVs_and_LYS_D2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD006439/QE2_160128_OPL4022_SCS_EVs_and_LYS_D2.raw	1	2	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25% NCE	4.5 ppm	20 ppm	B16-F10	Cell Lysate
PXD006439-Sample-5	Mus musculus	skin	not available	C57BL/6J	not available	B16-F10	Cell Lysate	not available	not available	high metastatic potential	Malignant	2	cell	run 23	proteomic profiling by mass spectrometry	QE2_160128_OPL4022_SCS_EVs_and_LYS_D3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD006439/QE2_160128_OPL4022_SCS_EVs_and_LYS_D3.raw	1	3	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25% NCE	4.5 ppm	20 ppm	B16-F10	Cell Lysate
PXD006439-Sample-5	Mus musculus	skin	not available	C57BL/6J	not available	B16-F10	Cell Lysate	not available	not available	high metastatic potential	Malignant	2	cell	run 24	proteomic profiling by mass spectrometry	QE2_160128_OPL4022_SCS_EVs_and_LYS_D4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD006439/QE2_160128_OPL4022_SCS_EVs_and_LYS_D4.raw	1	4	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25% NCE	4.5 ppm	20 ppm	B16-F10	Cell Lysate
PXD006439-Sample-5	Mus musculus	skin	not available	C57BL/6J	not available	B16-F10	Cell Lysate	not available	not available	high metastatic potential	Malignant	2	cell	run 25	proteomic profiling by mass spectrometry	QE2_160128_OPL4022_SCS_EVs_and_LYS_D5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD006439/QE2_160128_OPL4022_SCS_EVs_and_LYS_D5.raw	1	5	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25% NCE	4.5 ppm	20 ppm	B16-F10	Cell Lysate
PXD006439-Sample-6	Mus musculus	skin	not available	C57BL/6J	not available	B16-F10	Cell Lysate	not available	not available	high metastatic potential	Malignant	3	cell	run 26	proteomic profiling by mass spectrometry	QE2_160128_OPL4022_SCS_EVs_and_LYS_F1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD006439/QE2_160128_OPL4022_SCS_EVs_and_LYS_F1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25% NCE	4.5 ppm	20 ppm	B16-F10	Cell Lysate
PXD006439-Sample-6	Mus musculus	skin	not available	C57BL/6J	not available	B16-F10	Cell Lysate	not available	not available	high metastatic potential	Malignant	3	cell	run 27	proteomic profiling by mass spectrometry	QE2_160128_OPL4022_SCS_EVs_and_LYS_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD006439/QE2_160128_OPL4022_SCS_EVs_and_LYS_F2.raw	1	2	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25% NCE	4.5 ppm	20 ppm	B16-F10	Cell Lysate
PXD006439-Sample-6	Mus musculus	skin	not available	C57BL/6J	not available	B16-F10	Cell Lysate	not available	not available	high metastatic potential	Malignant	3	cell	run 28	proteomic profiling by mass spectrometry	QE2_160128_OPL4022_SCS_EVs_and_LYS_F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD006439/QE2_160128_OPL4022_SCS_EVs_and_LYS_F3.raw	1	3	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25% NCE	4.5 ppm	20 ppm	B16-F10	Cell Lysate
PXD006439-Sample-6	Mus musculus	skin	not available	C57BL/6J	not available	B16-F10	Cell Lysate	not available	not available	high metastatic potential	Malignant	3	cell	run 29	proteomic profiling by mass spectrometry	QE2_160128_OPL4022_SCS_EVs_and_LYS_F4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD006439/QE2_160128_OPL4022_SCS_EVs_and_LYS_F4.raw	1	4	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25% NCE	4.5 ppm	20 ppm	B16-F10	Cell Lysate
PXD006439-Sample-6	Mus musculus	skin	not available	C57BL/6J	not available	B16-F10	Cell Lysate	not available	not available	high metastatic potential	Malignant	3	cell	run 30	proteomic profiling by mass spectrometry	QE2_160128_OPL4022_SCS_EVs_and_LYS_F5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD006439/QE2_160128_OPL4022_SCS_EVs_and_LYS_F5.raw	1	5	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25% NCE	4.5 ppm	20 ppm	B16-F10	Cell Lysate
PXD006439-Sample-7	Mus musculus	skin	not available	C57BL/6J	not available	B16-F1	16K EV	not available	not available	low metastatic potential	Benign	1	cell	run 31	proteomic profiling by mass spectrometry	QE2_160128_OPL4022_SCS_EVs_and_LYS_G1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD006439/QE2_160128_OPL4022_SCS_EVs_and_LYS_G1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	25% NCE	4.5 ppm	20 ppm	B16-F1	16K EV
