Number 1,Dataset,Pnumber,Cellline,Rawfile,Name,PX Accession,intrument,,00523_D02_P003815_B0L_A00_R1.RAW,PXD005940
11,full proteome of 59 cell lines,P0001563,H522,000261_F04_P0001563_A00_B00F_R1.RAW,NCI-H522 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_C10_P003814_B0C_A00_R1.RAW,PXD005940
12,full proteome of 59 cell lines,P0001563,H522,000261_G04_P0001563_A00_B00G_R1.RAW,NCI-H522 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_H03_P003815_B0X_A00_R1.RAW,PXD005940
13,full proteome of 59 cell lines,P0001563,H522,000261_D04_P0001563_A00_B00D_R1.RAW,NCI-H522 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00524_A03_P003819_B0Q_A00_R1.RAW,PXD005940
14,full proteome of 59 cell lines,P0001563,H522,000261_A05_P0001563_A00_B00I_R1.RAW,NCI-H522 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_D05_P003816_B0L_A00_R1.RAW,PXD005940
15,full proteome of 59 cell lines,P0001563,H522,000261_D05_P0001563_A00_B00L_R1.RAW,NCI-H522 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_A01_P003815_B0A_A00_R1.RAW,PXD005940
16,full proteome of 59 cell lines,P0001563,H522,000261_A04_P0001563_A00_B00A_R1.RAW,NCI-H522 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_F01_P003815_B0F_A00_R1.RAW,PXD005940
17,full proteome of 59 cell lines,P0001563,H522,000261_E04_P0001563_A00_B00E_R1.RAW,NCI-H522 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_E12_P003818_B0U_A00_R1.RAW,PXD005940
18,full proteome of 59 cell lines,P0001568,HCC-2998,000256_B05_P0001568_A00_B00J_R1.RAW,HCC-2998 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_F04_P003816_B0F_A00_R1.RAW,PXD005940
19,full proteome of 59 cell lines,P0001568,HCC-2998,000256_B04_P0001568_A00_B00B_R1.RAW,HCC-2998 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00524_B02_P003819_B0J_A00_R2.RAW,PXD005940
20,full proteome of 59 cell lines,P0001568,HCC-2998,000256_F04_P0001568_A00_B00F_R1.RAW,HCC-2998 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_B04_P003812_B0B_A00_R1.RAW,PXD005940
21,full proteome of 59 cell lines,P0001568,HCC-2998,000256_C04_P0001568_A00_B00C_R1.RAW,HCC-2998 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_A07_P003817_B0A_A00_R1.RAW,PXD005940
22,full proteome of 59 cell lines,P0001568,HCC-2998,000256_D04_P0001568_A00_B00D_R1.RAW,HCC-2998 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_E10_P003818_B0E_A00_R1.RAW,PXD005940
23,full proteome of 59 cell lines,P0001568,HCC-2998,000256_H04_P0001568_A00_B00H_R1.RAW,HCC-2998 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_B11_P003818_B0J_A00_R1.RAW,PXD005940
24,full proteome of 59 cell lines,P0001568,HCC-2998,000256_C05_P0001568_A00_B00K_R1.RAW,HCC-2998 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_G10_P003818_B0G_A00_R1.RAW,PXD005940
25,full proteome of 59 cell lines,P0001568,HCC-2998,000256_E04_P0001568_A00_B00E_R1.RAW,HCC-2998 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_G09_P003817_B0W_A00_R1.RAW,PXD005940
26,full proteome of 59 cell lines,P0001568,HCC-2998,000256_G04_P0001568_A00_B00G_R1.RAW,HCC-2998 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00524_F03_P003819_B0V_A00_R1.RAW,PXD005940
27,full proteome of 59 cell lines,P0001568,HCC-2998,000256_A04_P0001568_A00_B00A_R1.RAW,HCC-2998 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_E11_P003814_B0M_A00_R1.RAW,PXD005940
28,full proteome of 59 cell lines,P0001568,HCC-2998,000256_A05_P0001568_A00_B00I_R1.RAW,HCC-2998 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00524_F01_P003819_B0F_A00_R2.RAW,PXD005940
29,full proteome of 59 cell lines,P0001568,HCC-2998,000256_D05_P0001568_A00_B00L_R1.RAW,HCC-2998 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_H02_P003811_B0P_A00_R1.RAW,PXD005940
30,full proteome of 59 cell lines,P0001751,SN12C,000287_C01_P0001751_A00_B00C_R1.RAW,SN-12C cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_B07_P003817_B0B_A00_R1.RAW,PXD005940
31,full proteome of 59 cell lines,P0001751,SN12C,000287_D01_P0001751_A00_B00D_R1.RAW,SN-12C cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_C02_P003815_B0K_A00_R1.RAW,PXD005940
32,full proteome of 59 cell lines,P0001751,SN12C,000287_B02_P0001751_A00_B00J_R1.RAW,SN-12C cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_A02_P003811_B0I_A00_R1.RAW,PXD005940
33,full proteome of 59 cell lines,P0001751,SN12C,000287_H01_P0001751_A00_B00H_R1.RAW,SN-12C cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_E02_P003811_B0M_A00_R1.RAW,PXD005940
34,full proteome of 59 cell lines,P0001751,SN12C,000287_E01_P0001751_A00_B00E_R1.RAW,SN-12C cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_A03_P003811_B0Q_A00_R1.RAW,PXD005940
35,full proteome of 59 cell lines,P0001751,SN12C,000287_A01_P0001751_A00_B00A_R2.RAW,SN-12C cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_D08_P003813_B0L_A00_R1.RAW,PXD005940
36,full proteome of 59 cell lines,P0001751,SN12C,000287_D02_P0001751_A00_B00L_R1.RAW,SN-12C cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_G01_P003815_B0G_A00_R1.RAW,PXD005940
37,full proteome of 59 cell lines,P0001751,SN12C,000287_A01_P0001751_A00_B00A_R1.RAW,SN-12C cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00524_D02_P003819_B0L_A00_R2.RAW,PXD005940
38,full proteome of 59 cell lines,P0001751,SN12C,000287_G01_P0001751_A00_B00G_R1.RAW,SN-12C cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00524_C03_P003819_B0S_A00_R1.RAW,PXD005940
39,full proteome of 59 cell lines,P0001751,SN12C,000287_F01_P0001751_A00_B00F_R1.RAW,SN-12C cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_C01_P003815_B0C_A00_R1.RAW,PXD005940
40,full proteome of 59 cell lines,P0001751,SN12C,000287_C02_P0001751_A00_B00K_R1.RAW,SN-12C cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_F10_P003814_B0F_A00_R1.RAW,PXD005940
41,full proteome of 59 cell lines,P0001751,SN12C,000287_A02_P0001751_A00_B00I_R1.RAW,SN-12C cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_E05_P003816_B0M_A00_R1.RAW,PXD005940
42,full proteome of 59 cell lines,P0001751,SN12C,000287_B01_P0001751_A00_B00B_R1.RAW,SN-12C cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_F12_P003814_B0V_A00_R1.RAW,PXD005940
43,kinome,P000698,HL-60,000120_A02_P000698_B00_A00_R1.RAW,HL-60 cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_E11_P003818_B0M_A00_R1.RAW,PXD005940
44,kinome,P000699,T47D,000120_H01_P000699_B00_A00_R1.RAW,T-47D cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_G03_P003815_B0W_A00_R1.RAW,PXD005940
45,kinome,P000700,MDA-MB-453,000120_G01_P000700_B00_A00_R1.RAW,MDA-MB-453 cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00524_E03_P003819_B0U_A00_R1.RAW,PXD005940
46,kinome,P000701,A-549,000120_F01_P000701_B00_A00_R1.RAW,A-549 cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_C02_P003811_B0K_A00_R1.RAW,PXD005940
47,kinome,P000702,Hs-578T,000120_E01_P000702_B00_A00_R1.RAW,Hs-578T cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00524_H01_P003819_B0H_A00_R2.RAW,PXD005940
48,kinome,P000703,BT-549,000120_D01_P000703_B00_A00_R1.RAW,BT-549 cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_H02_P003815_B0P_A00_R1.RAW,PXD005940
49,kinome,P000704,SK-MEL-28,000120_C01_P000704_B00_A00_R1.RAW,SK-MEL-28 cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00524_D03_P003819_B0T_A00_R1.RAW,PXD005940
50,kinome,P000705,MDA-MB-231,000120_B01_P000705_B00_A00_R1.RAW,MDA-MB-231 cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_C03_P003815_B0S_A00_R1.RAW,PXD005940
51,kinome,P000706,SW620,000120_A01_P000706_B00_A00_R1.RAW,SW-620 cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_G02_P003815_B0O_A00_R1.RAW,PXD005940
52,kinome,P000707,UACC-257,000120_B03_P000707_B00_A00_R1.RAW,UACC-257 cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_B09_P003813_B0R_A00_R1.RAW,PXD005940
53,kinome,P000708,LOX IMVI,000120_A03_P000708_B00_A00_R1.RAW,LOX-IMVI cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_A10_P003814_B0A_A00_R1.RAW,PXD005940
54,kinome,P000709,UO-31,000120_H02_P000709_B00_A00_R1.RAW,UO-31 cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_G01_P003811_B0G_A00_R1.RAW,PXD005940
55,kinome,P000710,OVCAR-5,000120_G02_P000710_B00_A00_R1.RAW,OVCAR-5 cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_F08_P003813_B0N_A00_R1.RAW,PXD005940
56,kinome,P000711,786-O,000120_F02_P000711_B00_A00_R1.RAW,RCC 786-O cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_B08_P003813_B0J_A00_R1.RAW,PXD005940
57,kinome,P000712,UACC-62,000120_E02_P000712_B00_A00_R1.RAW,UACC-62 cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_B12_P003814_B0R_A00_R1.RAW,PXD005940
58,kinome,P000713,H460,000120_D02_P000713_B00_A00_R1.RAW,NCI-H460 cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_F08_P003817_B0N_A00_R1.RAW,PXD005940
59,kinome,P000714,SN12C,000120_C02_P000714_B00_A00_R2.RAW,SN-12C cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_G02_P003811_B0O_A00_R1.RAW,PXD005940
60,kinome,P000715,IGROV-1,000120_B02_P000715_B00_A00_R2.RAW,IGROV-1 cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00524_H03_P003819_B0X_A00_R1.RAW,PXD005940
61,kinome,P000746,H23,000124_A01_P000746_B00_A00_R1.RAW,NCI-H23 cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_H05_P003812_B0P_A00_R1.RAW,PXD005940
62,kinome,P000747,PC-3,000124_B01_P000747_B00_A00_R1.RAW,PC-3 cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00524_A02_P003819_B0I_A00_R2.RAW,PXD005940
63,kinome,P000748,SF-295,000124_C01_P000748_B00_A00_R1.RAW,SF-295 cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_B12_P003818_B0R_A00_R1.RAW,PXD005940
64,kinome,P000749,SR,000124_D01_P000749_B00_A00_R1.RAW,SR cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_H07_P003817_B0H_A00_R1.RAW,PXD005940
65,kinome,P000750,SK-MEL-2,000124_E01_P000750_B00_A00_R1.RAW,SK-MEL-2 cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_D06_P003816_B0T_A00_R1.RAW,PXD005940
66,kinome,P000751,OVCAR-3,000124_F01_P000751_B00_A00_R1.RAW,OVCAR-3 cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_G08_P003813_B0O_A00_R1.RAW,PXD005940
67,kinome,P000752,HCT 116,000124_G01_P000752_B00_A00_R1.RAW,HTC-116 cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00524_G01_P003819_B0G_A00_R2.RAW,PXD005940
68,kinome,P000753,CCRF-CEM,000124_H01_P000753_B00_A00_R1.RAW,CCRF-CEM cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_A04_P003812_B0A_A00_R1.RAW,PXD005940
69,kinome,P000754,SKOV-3,000124_A02_P000754_B00_A00_R1.RAW,SKOV-3 cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_G07_P003813_B0G_A00_R1.RAW,PXD005940
70,kinome,P000755,MOLT-4,000124_A03_P000755_B00_A00_R3.RAW,MOLT-4 cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_H06_P003816_B0X_A00_R1.RAW,PXD005940
71,kinome,P000756,DU-145,000124_H02_P000756_B00_A00_R1.RAW,DU-145 cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_D09_P003813_B0T_A00_R1.RAW,PXD005940
72,kinome,P000757,RPMI 8226,000124_G02_P000757_B00_A00_R1.RAW,RPMI-8226 cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_F12_P003818_B0V_A00_R1.RAW,PXD005940
73,kinome,P000803,HT29,000132_G01_P000803_B00_A00_R1.RAW,HT-29 cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_F05_P003816_B0N_A00_R1.RAW,PXD005940
74,kinome,P000804,TK-10,000132_F01_P000804_B00_A00_R1.RAW,TK-10 cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_G11_P003818_B0O_A00_R1.RAW,PXD005940
75,kinome,P000805,H322M,000132_E01_P000805_B00_A00_R1.RAW,NCI-H322M cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_A11_P003814_B0I_A00_R1.RAW,PXD005940
76,kinome,P000806,H226,000132_D01_P000806_B00_A00_R1.RAW,NCI-H226 cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_E07_P003813_B0E_A00_R1.RAW,PXD005940
77,kinome,P000807,RXF-393,000132_C01_P000807_B00_A00_R1.RAW,RXF-393 cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_D03_P003811_B0T_A00_R1.RAW,PXD005940
78,kinome,P000808,Malme-3M,000132_B01_P000808_B00_A00_R1.RAW,MALME-3M cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_A09_P003813_B0Q_A00_R1.RAW,PXD005940
79,kinome,P000809,KM12,000132_A01_P000809_B00_A00_R1.RAW,KM-12 cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_D01_P003811_B0D_A00_R1.RAW,PXD005940
80,kinome,P000810,SNB-19,000132_G02_P000810_B00_A00_R1.RAW,SNB-19 cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_C12_P003818_B0S_A00_R1.RAW,PXD005940
81,kinome,P000811,COLO 205,000132_F02_P000811_B00_A00_R1.RAW,Colo-205 cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_B02_P003815_B0J_A00_R1.RAW,PXD005940
82,kinome,P000812,Caki-1,000132_E02_P000812_B00_A00_R1.RAW,Caki-1 cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_A05_P003812_B0I_A00_R1.RAW,PXD005940
83,kinome,P000813,MCF-7/AdrR,000132_D02_P000813_B00_A00_R1.RAW,MCF-7/adr cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_E08_P003813_B0M_A00_R1.RAW,PXD005940
84,kinome,P000814,ACHN,000132_C02_P000814_B00_A00_R1.RAW,ACHN cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_C09_P003813_B0S_A00_R1.RAW,PXD005940
85,kinome,P000815,HCT 15,000132_B02_P000815_B00_A00_R1.RAW,HCT-15 cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_F04_P003812_B0F_A00_R1.RAW,PXD005940
86,kinome,P000816,U-251,000132_A02_P000816_B00_A00_R1.RAW,U-251 MG cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_A07_P003817_B0I_A00_R1.RAW,PXD005940
87,kinome,P000817,HCC-2998,000132_H01_P000817_B00_A00_R1.RAW,HCC-2998 cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00524_C02_P003819_B0K_A00_R2.RAW,PXD005940
88,kinome,P000818,SNB-75,000132_H03_P000818_B00_A00_R1.RAW,SNB-75 cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_A06_P003812_B0Q_A00_R1.RAW,PXD005940
89,kinome,P000819,OVCAR-8,000132_G03_P000819_B00_A00_R1.RAW,OVCAR-8/ADR cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_B01_P003811_B0B_A00_R1.RAW,PXD005940
90,kinome,P000820,H522,000132_F03_P000820_B00_A00_R1.RAW,NCI-H522 cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_H09_P003813_B0X_A00_R1.RAW,PXD005940
91,kinome,P000821,MCF-7,000132_E03_P000821_B00_A00_R1.RAW,MCF-7 cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_A10_P003818_B0A_A00_R1.RAW,PXD005940
92,kinome,P000822,A-498,000132_D03_P000822_B00_A00_R1.RAW,A-498 cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_C03_P003811_B0S_A00_R1.RAW,PXD005940
93,kinome,P000823,OVCAR-4,000132_C03_P000823_B00_A00_R1.RAW,OVCAR-4 cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_B06_P003812_B0R_A00_R1.RAW,PXD005940
94,kinome,P000824,SF-539,000132_B03_P000824_B00_A00_R1.RAW,SF-539 cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_G06_P003812_B0W_A00_R1.RAW,PXD005940
95,kinome,P000825,M14,000132_A03_P000825_B00_A00_R1.RAW,M14 cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_G09_P003813_B0W_A00_R1.RAW,PXD005940
96,kinome,P000826,SK-MEL-5,000132_H02_P000826_B00_A00_R1.RAW,SK-MEL-5 cell,PXD005942,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_B01_P003815_B0B_A00_R1.RAW,PXD005940
97,full proteome of 59 cell lines,P001355,Hs-578T,000228_A09_P001355_B00E_A00_R1.RAW,Hs-578T cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_D04_P003812_B0D_A00_R1.RAW,PXD005940
98,full proteome of 59 cell lines,P001355,Hs-578T,000228_E08_P001355_B00A_A00_R1.RAW,Hs-578T cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_C11_P003814_B0K_A00_R1.RAW,PXD005940
99,full proteome of 59 cell lines,P001355,Hs-578T,000228_C09_P001355_B00G_A00_R1.RAW,Hs-578T cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_B03_P003815_B0R_A00_R1.RAW,PXD005940
100,full proteome of 59 cell lines,P001355,Hs-578T,000228_G09_P001355_B00K_A00_R1.RAW,Hs-578T cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_D10_P003814_B0D_A00_R1.RAW,PXD005940
101,full proteome of 59 cell lines,P001355,Hs-578T,000228_F09_P001355_B00J_A00_R1.RAW,Hs-578T cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_E02_P003815_B0M_A00_R1.RAW,PXD005940
102,full proteome of 59 cell lines,P001355,Hs-578T,000228_H09_P001355_B00L_A00_R1.RAW,Hs-578T cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_F05_P003812_B0N_A00_R1.RAW,PXD005940
103,full proteome of 59 cell lines,P001355,Hs-578T,000228_H08_P001355_B00D_A00_R1.RAW,Hs-578T cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_C11_P003818_B0K_A00_R1.RAW,PXD005940
104,full proteome of 59 cell lines,P001355,Hs-578T,000228_G08_P001355_B00C_A00_R1.RAW,Hs-578T cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00524_G02_P003819_B0O_A00_R2.RAW,PXD005940
105,full proteome of 59 cell lines,P001355,Hs-578T,000228_E09_P001355_B00I_A00_R1.RAW,Hs-578T cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_A02_P003815_B0I_A00_R1.RAW,PXD005940
106,full proteome of 59 cell lines,P001355,Hs-578T,000228_B09_P001355_B00F_A00_R1.RAW,Hs-578T cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_F11_P003818_B0N_A00_R1.RAW,PXD005940
107,full proteome of 59 cell lines,P001355,Hs-578T,000228_F08_P001355_B00B_A00_R1.RAW,Hs-578T cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_D12_P003818_B0T_A00_R1.RAW,PXD005940
108,full proteome of 59 cell lines,P001355,Hs-578T,000228_D09_P001355_B00H_A00_R1.RAW,Hs-578T cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_H08_P003813_B0P_A00_R1.RAW,PXD005940
109,full proteome of 59 cell lines,P001356,K-562,000228_B08_P001356_B00J_A00_R1.RAW,K-562 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_A01_P003811_B0A_A00_R1.RAW,PXD005940
110,full proteome of 59 cell lines,P001356,K-562,000228_H07_P001356_B00H_A00_R1.RAW,K-562 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_A12_P003818_B0Q_A00_R1.RAW,PXD005940
111,full proteome of 59 cell lines,P001356,K-562,000228_G07_P001356_B00G_A00_R1.RAW,K-562 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_E05_P003812_B0M_A00_R1.RAW,PXD005940
112,full proteome of 59 cell lines,P001356,K-562,000228_B07_P001356_B00B_A00_R1.RAW,K-562 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00523_C05_P003816_B0K_A00_R1.RAW,PXD005940
113,full proteome of 59 cell lines,P001356,K-562,000228_C07_P001356_B00C_A00_R1.RAW,K-562 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_H06_P003812_B0X_A00_R1.RAW,PXD005940
114,full proteome of 59 cell lines,P001356,K-562,000228_D07_P001356_B00D_A00_R1.RAW,K-562 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_C05_P003812_B0K_A00_R1.RAW,PXD005940
115,full proteome of 59 cell lines,P001356,K-562,000228_E07_P001356_B00E_A00_R1.RAW,K-562 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_B05_P003812_B0J_A00_R1.RAW,PXD005940
116,full proteome of 59 cell lines,P001356,K-562,000228_A07_P001356_B00A_A00_R1.RAW,K-562 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00522_B11_P003814_B0J_A00_R1.RAW,PXD005940
