Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[age]	Characteristics[ancestry category]	Characteristics[developmental stage]	Characteristics[cell line]	Characteristics[cell type]	Characteristics[sex]	Characteristics[disease]	Characteristics[biological replicate]	Characteristics[individual]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[disease]
Sample 3	Homo sapiens	prostate gland	not available	not available	not available	not applicable	not applicable	not available	Nonmalignant	1	23	tissue	run 6	proteomic profiling by mass spectrometry	20110715_EXQ1_TaGe_SA_PC11_1.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD013455/Iglesias-Gato_EurUrology_2016.zip	1	1	none	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	AC=MS:1001313;NT=Trypsin/P	NT=HCD;AC=PRIDE:0000590	4.5 ppm	20 ppm	Nonmalignant
Sample 4	Homo sapiens	prostate gland	not available	not available	not available	not applicable	not applicable	not available	not applicable	1	Super-SILAC_Mixture	cell	run 6	proteomic profiling by mass spectrometry	20110715_EXQ1_TaGe_SA_PC11_1.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD013455/Iglesias-Gato_EurUrology_2016.zip	1	1	SILAC heavy	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	AC=MS:1001313;NT=Trypsin/P	NT=HCD;AC=PRIDE:0000590	4.5 ppm	20 ppm	not applicable
Sample 3	Homo sapiens	prostate gland	not available	not available	not available	not applicable	not applicable	not available	Nonmalignant	1	23	tissue	run 7	proteomic profiling by mass spectrometry	20110715_EXQ1_TaGe_SA_PC11_2.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD013455/Iglesias-Gato_EurUrology_2016.zip	1	2	none	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	AC=MS:1001313;NT=Trypsin/P	NT=HCD;AC=PRIDE:0000590	4.5 ppm	20 ppm	Nonmalignant
Sample 4	Homo sapiens	prostate gland	not available	not available	not available	not applicable	not applicable	not available	not applicable	1	Super-SILAC_Mixture	cell	run 7	proteomic profiling by mass spectrometry	20110715_EXQ1_TaGe_SA_PC11_2.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD013455/Iglesias-Gato_EurUrology_2016.zip	1	2	SILAC heavy	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	AC=MS:1001313;NT=Trypsin/P	NT=HCD;AC=PRIDE:0000590	4.5 ppm	20 ppm	not applicable
Sample 3	Homo sapiens	prostate gland	not available	not available	not available	not applicable	not applicable	not available	Nonmalignant	1	23	tissue	run 8	proteomic profiling by mass spectrometry	20110715_EXQ1_TaGe_SA_PC11_3.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD013455/Iglesias-Gato_EurUrology_2016.zip	1	3	none	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	AC=MS:1001313;NT=Trypsin/P	NT=HCD;AC=PRIDE:0000590	4.5 ppm	20 ppm	Nonmalignant
Sample 4	Homo sapiens	prostate gland	not available	not available	not available	not applicable	not applicable	not available	not applicable	1	Super-SILAC_Mixture	cell	run 8	proteomic profiling by mass spectrometry	20110715_EXQ1_TaGe_SA_PC11_3.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD013455/Iglesias-Gato_EurUrology_2016.zip	1	3	SILAC heavy	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	AC=MS:1001313;NT=Trypsin/P	NT=HCD;AC=PRIDE:0000590	4.5 ppm	20 ppm	not applicable
Sample 3	Homo sapiens	prostate gland	not available	not available	not available	not applicable	not applicable	not available	Nonmalignant	1	23	tissue	run 9	proteomic profiling by mass spectrometry	20110715_EXQ1_TaGe_SA_PC11_4.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD013455/Iglesias-Gato_EurUrology_2016.zip	1	4	none	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	AC=MS:1001313;NT=Trypsin/P	NT=HCD;AC=PRIDE:0000590	4.5 ppm	20 ppm	Nonmalignant
Sample 4	Homo sapiens	prostate gland	not available	not available	not available	not applicable	not applicable	not available	not applicable	1	Super-SILAC_Mixture	cell	run 9	proteomic profiling by mass spectrometry	20110715_EXQ1_TaGe_SA_PC11_4.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD013455/Iglesias-Gato_EurUrology_2016.zip	1	4	SILAC heavy	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	AC=MS:1001313;NT=Trypsin/P	NT=HCD;AC=PRIDE:0000590	4.5 ppm	20 ppm	not applicable
Sample 3	Homo sapiens	prostate gland	not available	not available	not available	not applicable	not applicable	not available	Nonmalignant	1	23	tissue	run 10	proteomic profiling by mass spectrometry	20110715_EXQ1_TaGe_SA_PC11_5.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD013455/Iglesias-Gato_EurUrology_2016.zip	1	5	none	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	AC=MS:1001313;NT=Trypsin/P	NT=HCD;AC=PRIDE:0000590	4.5 ppm	20 ppm	Nonmalignant
Sample 4	Homo sapiens	prostate gland	not available	not available	not available	not applicable	not applicable	not available	not applicable	1	Super-SILAC_Mixture	cell	run 10	proteomic profiling by mass spectrometry	20110715_EXQ1_TaGe_SA_PC11_5.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD013455/Iglesias-Gato_EurUrology_2016.zip	1	5	SILAC heavy	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	AC=MS:1001313;NT=Trypsin/P	NT=HCD;AC=PRIDE:0000590	4.5 ppm	20 ppm	not applicable
Sample 3	Homo sapiens	prostate gland	not available	not available	not available	not applicable	not applicable	not available	Nonmalignant	1	23	tissue	run 11	proteomic profiling by mass spectrometry	20110715_EXQ1_TaGe_SA_PC11_6.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD013455/Iglesias-Gato_EurUrology_2016.zip	1	6	none	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	AC=MS:1001313;NT=Trypsin/P	NT=HCD;AC=PRIDE:0000590	4.5 ppm	20 ppm	Nonmalignant
Sample 4	Homo sapiens	prostate gland	not available	not available	not available	not applicable	not applicable	not available	not applicable	1	Super-SILAC_Mixture	cell	run 11	proteomic profiling by mass spectrometry	20110715_EXQ1_TaGe_SA_PC11_6.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD013455/Iglesias-Gato_EurUrology_2016.zip	1	6	SILAC heavy	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	AC=MS:1001313;NT=Trypsin/P	NT=HCD;AC=PRIDE:0000590	4.5 ppm	20 ppm	not applicable
Sample 5	Homo sapiens	prostate gland	not available	not available	not available	not applicable	not applicable	not available	Tumour	1	1	tissue	run 12	proteomic profiling by mass spectrometry	20110715_EXQ1_TaGe_SA_PC1_1.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD013455/Iglesias-Gato_EurUrology_2016.zip	1	1	none	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	AC=MS:1001313;NT=Trypsin/P	NT=HCD;AC=PRIDE:0000590	4.5 ppm	20 ppm	Tumour
Sample 6	Homo sapiens	prostate gland	not available	not available	not available	not applicable	not applicable	not available	not applicable	1	Super-SILAC_Mixture	cell	run 12	proteomic profiling by mass spectrometry	20110715_EXQ1_TaGe_SA_PC1_1.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD013455/Iglesias-Gato_EurUrology_2016.zip	1	1	SILAC heavy	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	AC=MS:1001313;NT=Trypsin/P	NT=HCD;AC=PRIDE:0000590	4.5 ppm	20 ppm	not applicable
Sample 5	Homo sapiens	prostate gland	not available	not available	not available	not applicable	not applicable	not available	Tumour	1	1	tissue	run 13	proteomic profiling by mass spectrometry	20110715_EXQ1_TaGe_SA_PC1_2.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD013455/Iglesias-Gato_EurUrology_2016.zip	1	2	none	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	AC=MS:1001313;NT=Trypsin/P	NT=HCD;AC=PRIDE:0000590	4.5 ppm	20 ppm	Tumour
Sample 6	Homo sapiens	prostate gland	not available	not available	not available	not applicable	not applicable	not available	not applicable	1	Super-SILAC_Mixture	cell	run 13	proteomic profiling by mass spectrometry	20110715_EXQ1_TaGe_SA_PC1_2.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD013455/Iglesias-Gato_EurUrology_2016.zip	1	2	SILAC heavy	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	AC=MS:1001313;NT=Trypsin/P	NT=HCD;AC=PRIDE:0000590	4.5 ppm	20 ppm	not applicable
Sample 5	Homo sapiens	prostate gland	not available	not available	not available	not applicable	not applicable	not available	Tumour	1	1	tissue	run 14	proteomic profiling by mass spectrometry	20110715_EXQ1_TaGe_SA_PC1_3.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD013455/Iglesias-Gato_EurUrology_2016.zip	1	3	none	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	AC=MS:1001313;NT=Trypsin/P	NT=HCD;AC=PRIDE:0000590	4.5 ppm	20 ppm	Tumour
Sample 6	Homo sapiens	prostate gland	not available	not available	not available	not applicable	not applicable	not available	not applicable	1	Super-SILAC_Mixture	cell	run 14	proteomic profiling by mass spectrometry	20110715_EXQ1_TaGe_SA_PC1_3.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD013455/Iglesias-Gato_EurUrology_2016.zip	1	3	SILAC heavy	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	AC=MS:1001313;NT=Trypsin/P	NT=HCD;AC=PRIDE:0000590	4.5 ppm	20 ppm	not applicable
Sample 5	Homo sapiens	prostate gland	not available	not available	not available	not applicable	not applicable	not available	Tumour	1	1	tissue	run 15	proteomic profiling by mass spectrometry	20110715_EXQ1_TaGe_SA_PC1_4.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD013455/Iglesias-Gato_EurUrology_2016.zip	1	4	none	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	AC=MS:1001313;NT=Trypsin/P	NT=HCD;AC=PRIDE:0000590	4.5 ppm	20 ppm	Tumour
Sample 6	Homo sapiens	prostate gland	not available	not available	not available	not applicable	not applicable	not available	not applicable	1	Super-SILAC_Mixture	cell	run 15	proteomic profiling by mass spectrometry	20110715_EXQ1_TaGe_SA_PC1_4.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD013455/Iglesias-Gato_EurUrology_2016.zip	1	4	SILAC heavy	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	AC=MS:1001313;NT=Trypsin/P	NT=HCD;AC=PRIDE:0000590	4.5 ppm	20 ppm	not applicable
