source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[ancestry category]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[cell line]	characteristics[cell type]	characteristics[depletion]	characteristics[biological replicate]	Material Type	assay name	comment[label]	comment[file uri]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[data file]	factor value[cell line]
PXD019263-Sample-1	Homo sapiens	not available	Hepatoblastoma	not available	15Y	not available	Male	HepG2	epithelial-like	no depletion	1	cell	run 11	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019263/HepG2_12_191221002536.raw	NT=Reversed-phase chromatography (RP);AC=PRIDE:PRIDE:0000563	12	2	AC=MS:1002523; NT=Q Exactive HF	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	0.05 Da	5 ppm	HepG2_12_191221002536.raw	HepG2
PXD019263-Sample-1	Homo sapiens	not available	Hepatoblastoma	not available	15Y	not available	Male	HepG2	epithelial-like	no depletion	1	cell	run 12	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019263/HepG2_12_191221012807.raw	NT=Reversed-phase chromatography (RP);AC=PRIDE:PRIDE:0000563	12	3	AC=MS:1002523; NT=Q Exactive HF	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	0.05 Da	5 ppm	HepG2_12_191221012807.raw	HepG2
PXD019263-Sample-1	Homo sapiens	not available	Hepatoblastoma	not available	15Y	not available	Male	HepG2	epithelial-like	no depletion	1	cell	run 13	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019263/HepG2_13.raw	NT=Reversed-phase chromatography (RP);AC=PRIDE:PRIDE:0000563	13	1	AC=MS:1002523; NT=Q Exactive HF	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	0.05 Da	5 ppm	HepG2_13.raw	HepG2
PXD019263-Sample-1	Homo sapiens	not available	Hepatoblastoma	not available	15Y	not available	Male	HepG2	epithelial-like	no depletion	1	cell	run 14	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019263/HepG2_13_191221023036.raw	NT=Reversed-phase chromatography (RP);AC=PRIDE:PRIDE:0000563	13	2	AC=MS:1002523; NT=Q Exactive HF	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	0.05 Da	5 ppm	HepG2_13_191221023036.raw	HepG2
PXD019263-Sample-1	Homo sapiens	not available	Hepatoblastoma	not available	15Y	not available	Male	HepG2	epithelial-like	no depletion	1	cell	run 15	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019263/HepG2_13_191221033307.raw	NT=Reversed-phase chromatography (RP);AC=PRIDE:PRIDE:0000563	13	3	AC=MS:1002523; NT=Q Exactive HF	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	0.05 Da	5 ppm	HepG2_13_191221033307.raw	HepG2
PXD019263-Sample-1	Homo sapiens	not available	Hepatoblastoma	not available	15Y	not available	Male	HepG2	epithelial-like	no depletion	1	cell	run 16	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019263/HepG2_14.raw	NT=Reversed-phase chromatography (RP);AC=PRIDE:PRIDE:0000563	14	1	AC=MS:1002523; NT=Q Exactive HF	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	0.05 Da	5 ppm	HepG2_14.raw	HepG2
PXD019263-Sample-1	Homo sapiens	not available	Hepatoblastoma	not available	15Y	not available	Male	HepG2	epithelial-like	no depletion	1	cell	run 17	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019263/HepG2_14_191221043537.raw	NT=Reversed-phase chromatography (RP);AC=PRIDE:PRIDE:0000563	14	2	AC=MS:1002523; NT=Q Exactive HF	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	0.05 Da	5 ppm	HepG2_14_191221043537.raw	HepG2
PXD019263-Sample-1	Homo sapiens	not available	Hepatoblastoma	not available	15Y	not available	Male	HepG2	epithelial-like	no depletion	1	cell	run 18	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019263/HepG2_14_191221053810.raw	NT=Reversed-phase chromatography (RP);AC=PRIDE:PRIDE:0000563	14	3	AC=MS:1002523; NT=Q Exactive HF	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	0.05 Da	5 ppm	HepG2_14_191221053810.raw	HepG2
PXD019263-Sample-1	Homo sapiens	not available	Hepatoblastoma	not available	15Y	not available	Male	HepG2	epithelial-like	no depletion	1	cell	run 19	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019263/HepG2_15.raw	NT=Reversed-phase chromatography (RP);AC=PRIDE:PRIDE:0000563	15	1	AC=MS:1002523; NT=Q Exactive HF	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	0.05 Da	5 ppm	HepG2_15.raw	HepG2
PXD019263-Sample-1	Homo sapiens	not available	Hepatoblastoma	not available	15Y	not available	Male	HepG2	epithelial-like	no depletion	1	cell	run 20	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019263/HepG2_15_191221064039.raw	NT=Reversed-phase chromatography (RP);AC=PRIDE:PRIDE:0000563	15	2	AC=MS:1002523; NT=Q Exactive HF	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	0.05 Da	5 ppm	HepG2_15_191221064039.raw	HepG2
PXD019263-Sample-1	Homo sapiens	not available	Hepatoblastoma	not available	15Y	not available	Male	HepG2	epithelial-like	no depletion	1	cell	run 21	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019263/HepG2_15_191221074308.raw	NT=Reversed-phase chromatography (RP);AC=PRIDE:PRIDE:0000563	15	3	AC=MS:1002523; NT=Q Exactive HF	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	0.05 Da	5 ppm	HepG2_15_191221074308.raw	HepG2
PXD019263-Sample-1	Homo sapiens	not available	Hepatoblastoma	not available	15Y	not available	Male	HepG2	epithelial-like	no depletion	1	cell	run 22	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019263/HepG2_16.raw	NT=Reversed-phase chromatography (RP);AC=PRIDE:PRIDE:0000563	16	1	AC=MS:1002523; NT=Q Exactive HF	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	0.05 Da	5 ppm	HepG2_16.raw	HepG2
PXD019263-Sample-1	Homo sapiens	not available	Hepatoblastoma	not available	15Y	not available	Male	HepG2	epithelial-like	no depletion	1	cell	run 23	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019263/HepG2_16_191221084539.raw	NT=Reversed-phase chromatography (RP);AC=PRIDE:PRIDE:0000563	16	2	AC=MS:1002523; NT=Q Exactive HF	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	0.05 Da	5 ppm	HepG2_16_191221084539.raw	HepG2
PXD019263-Sample-1	Homo sapiens	not available	Hepatoblastoma	not available	15Y	not available	Male	HepG2	epithelial-like	no depletion	1	cell	run 24	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019263/HepG2_16_191221094810.raw	NT=Reversed-phase chromatography (RP);AC=PRIDE:PRIDE:0000563	16	3	AC=MS:1002523; NT=Q Exactive HF	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	0.05 Da	5 ppm	HepG2_16_191221094810.raw	HepG2
PXD019263-Sample-1	Homo sapiens	not available	Hepatoblastoma	not available	15Y	not available	Male	HepG2	epithelial-like	no depletion	1	cell	run 25	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019263/HepG2_17.raw	NT=Reversed-phase chromatography (RP);AC=PRIDE:PRIDE:0000563	17	1	AC=MS:1002523; NT=Q Exactive HF	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	0.05 Da	5 ppm	HepG2_17.raw	HepG2
PXD019263-Sample-1	Homo sapiens	not available	Hepatoblastoma	not available	15Y	not available	Male	HepG2	epithelial-like	no depletion	1	cell	run 26	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019263/HepG2_17_191221105039.raw	NT=Reversed-phase chromatography (RP);AC=PRIDE:PRIDE:0000563	17	2	AC=MS:1002523; NT=Q Exactive HF	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	0.05 Da	5 ppm	HepG2_17_191221105039.raw	HepG2
PXD019263-Sample-1	Homo sapiens	not available	Hepatoblastoma	not available	15Y	not available	Male	HepG2	epithelial-like	no depletion	1	cell	run 27	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019263/HepG2_17_191221115311.raw	NT=Reversed-phase chromatography (RP);AC=PRIDE:PRIDE:0000563	17	3	AC=MS:1002523; NT=Q Exactive HF	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	0.05 Da	5 ppm	HepG2_17_191221115311.raw	HepG2
PXD019263-Sample-1	Homo sapiens	not available	Hepatoblastoma	not available	15Y	not available	Male	HepG2	epithelial-like	no depletion	1	cell	run 28	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019263/HepG2_18.raw	NT=Reversed-phase chromatography (RP);AC=PRIDE:PRIDE:0000563	18	1	AC=MS:1002523; NT=Q Exactive HF	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	0.05 Da	5 ppm	HepG2_18.raw	HepG2
PXD019263-Sample-1	Homo sapiens	not available	Hepatoblastoma	not available	15Y	not available	Male	HepG2	epithelial-like	no depletion	1	cell	run 29	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019263/HepG2_18_191221125540.raw	NT=Reversed-phase chromatography (RP);AC=PRIDE:PRIDE:0000563	18	2	AC=MS:1002523; NT=Q Exactive HF	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	0.05 Da	5 ppm	HepG2_18_191221125540.raw	HepG2
PXD019263-Sample-1	Homo sapiens	not available	Hepatoblastoma	not available	15Y	not available	Male	HepG2	epithelial-like	no depletion	1	cell	run 30	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019263/HepG2_18_191221135809.raw	NT=Reversed-phase chromatography (RP);AC=PRIDE:PRIDE:0000563	18	3	AC=MS:1002523; NT=Q Exactive HF	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	0.05 Da	5 ppm	HepG2_18_191221135809.raw	HepG2
PXD019263-Sample-1	Homo sapiens	not available	Hepatoblastoma	not available	15Y	not available	Male	HepG2	epithelial-like	no depletion	1	cell	run 31	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019263/HepG2_19.raw	NT=Reversed-phase chromatography (RP);AC=PRIDE:PRIDE:0000563	19	1	AC=MS:1002523; NT=Q Exactive HF	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	0.05 Da	5 ppm	HepG2_19.raw	HepG2
PXD019263-Sample-1	Homo sapiens	not available	Hepatoblastoma	not available	15Y	not available	Male	HepG2	epithelial-like	no depletion	1	cell	run 32	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/11/PXD019263/HepG2_19_191221150038.raw	NT=Reversed-phase chromatography (RP);AC=PRIDE:PRIDE:0000563	19	2	AC=MS:1002523; NT=Q Exactive HF	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7"	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	0.05 Da	5 ppm	HepG2_19_191221150038.raw	HepG2
