Source Name	Characteristics [CellLine]	Term Source REF	Term Accession Number	Characteristics [CellLineage]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [CellMassMorphology]	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [CellLine]	Term Source REF	Term Accession Number	Factor Value [GrowthCondition]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
T47D	T47D	EFO	EFO_0001247	Luminal	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Mass	P-TABM-1451	T47D	P-TABM-1453	T47D	total_RNA	P-TABM-1454	T47D biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	T47D_3D_HTA12_G05	A-AFFY-76	P-AFFY-6	T47D	EFO	EFO_0001247	3D gel	T47D_3D_HTA12_G05	05113724012696080305.G05.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
MDAMB436	MDAMB436	EFO	EFO_0001214	Basal B	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Stellate	P-TABM-1451	MDAMB436	P-TABM-1453	MDAMB436	total_RNA	P-TABM-1454	MDAMB436 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	cl51_MDAMB436	A-AFFY-33	P-AFFY-6	MDAMB436	EFO	EFO_0001214	2D gel	cl51_MDAMB436	032.MDA.MB436.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
T4-2	T4-2	  	  	Basal B	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Mass	P-TABM-1452	T4-2	P-TABM-1453	T4-2	total_RNA	P-TABM-1454	T4-2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	T4_3D_POP0_C10	A-AFFY-76	P-AFFY-6	T4-2	  	  	3D gel	T4_3D_POP0_C10	031004_LBLPOP_321521.C10_v3.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
T4-2	T4-2	  	  	Basal B	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Mass	P-TABM-1452	T4-2	P-TABM-1453	T4-2	total_RNA	P-TABM-1454	T4-2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	T4_2D_HTA12_E10	A-AFFY-76	P-AFFY-6	T4-2	  	  	2D gel	T4_2D_HTA12_E10	05113724012696080305.E10.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
BT483	BT483	EFO	EFO_0001095	Luminal	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Mass	P-TABM-1452	BT483	P-TABM-1453	BT483	total_RNA	P-TABM-1454	BT483 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	cl51_BT483	A-AFFY-33	P-AFFY-6	BT483	EFO	EFO_0001095	2D gel	cl51_BT483	11.BT483.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
SKBR3	SKBR3	EFO	EFO_0001236	Luminal	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Grape-Like	P-TABM-1451	SKBR3	P-TABM-1453	SKBR3	total_RNA	P-TABM-1454	SKBR3 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	SKBR3_3D_HTA12_E09	A-AFFY-76	P-AFFY-6	SKBR3	EFO	EFO_0001236	3D gel	SKBR3_3D_HTA12_E09	05113724012696080305.E09.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
MDAMB453	MDAMB453	EFO	EFO_0001215	Luminal	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Grape-Like	P-TABM-1451	MDAMB453	P-TABM-1453	MDAMB453	total_RNA	P-TABM-1454	MDAMB453 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	cl51_MDAMB453	A-AFFY-33	P-AFFY-6	MDAMB453	EFO	EFO_0001215	2D gel	cl51_MDAMB453	06.MDA.MB453.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
ZR75B	ZR75B	EFO	EFO_0001264	Luminal	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Grape-Like	P-TABM-1451	ZR75B	P-TABM-1453	ZR75B	total_RNA	P-TABM-1454	ZR75B biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	cl51_ZR75B	A-AFFY-33	P-AFFY-6	ZR75B	EFO	EFO_0001264	2D gel	cl51_ZR75B	10.ZR.75.B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
MDAMB436	MDAMB436	EFO	EFO_0001214	Basal B	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Stellate	P-TABM-1451	MDAMB436	P-TABM-1453	MDAMB436	total_RNA	P-TABM-1454	MDAMB436 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	MDAMB436_3D_POP3_E07	A-AFFY-76	P-AFFY-6	MDAMB436	EFO	EFO_0001214	3D gel	MDAMB436_3D_POP3_E07	So_A120604_412315_96_3.E07_v4.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
BT549	BT549	EFO	EFO_0001096	Basal B	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Stellate	P-TABM-1451	BT549	P-TABM-1453	BT549	total_RNA	P-TABM-1454	BT549 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	cl51_BT549	A-AFFY-33	P-AFFY-6	BT549	EFO	EFO_0001096	2D gel	cl51_BT549	05.BT549.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
T47D	T47D	EFO	EFO_0001247	Luminal	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Mass	P-TABM-1451	T47D	P-TABM-1453	T47D	total_RNA	P-TABM-1454	T47D biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	cl51_T47D	A-AFFY-33	P-AFFY-6	T47D	EFO	EFO_0001247	2D gel	cl51_T47D	036.T47D.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
T4-2	T4-2	  	  	Basal B	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Mass	P-TABM-1452	T4-2	P-TABM-1453	T4-2	total_RNA	P-TABM-1454	T4-2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	mb_T4	A-AFFY-33	P-AFFY-6	T4-2	  	  	3D gel	mb_T4	60_3D.T4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
AU565	AU565	EFO	EFO_0001087	Luminal	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	  	P-TABM-1451	AU565	P-TABM-1453	AU565	total_RNA	P-TABM-1454	AU565 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	cl51_AU565	A-AFFY-33	P-AFFY-6	AU565	EFO	EFO_0001087	2D gel	cl51_AU565	01.AU565.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
T4-2	T4-2	  	  	Basal B	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Mass	P-TABM-1452	T4-2	P-TABM-1453	T4-2	total_RNA	P-TABM-1454	T4-2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	T4_3D_HTA12_E11	A-AFFY-76	P-AFFY-6	T4-2	  	  	3D gel	T4_3D_HTA12_E11	05113724012696080305.E11.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
MDAMB231	MDAMB231	EFO	EFO_0001209	Basal B	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Stellate	P-TABM-1451	MDAMB231	P-TABM-1453	MDAMB231	total_RNA	P-TABM-1454	MDAMB231 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	MDAMB231_3D_HTA12_G03	A-AFFY-76	P-AFFY-6	MDAMB231	EFO	EFO_0001209	3D gel	MDAMB231_3D_HTA12_G03	05113724012696080305.G03.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
AU565	AU565	EFO	EFO_0001087	Luminal	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	  	P-TABM-1451	AU565	P-TABM-1453	AU565	total_RNA	P-TABM-1454	AU565 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	AU565_2D_POP0_H12	A-AFFY-76	P-AFFY-6	AU565	EFO	EFO_0001087	2D gel	AU565_2D_POP0_H12	031004_LBLPOP_321521.H12_v3.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
SKBR3	SKBR3	EFO	EFO_0001236	Luminal	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Grape-Like	P-TABM-1451	SKBR3	P-TABM-1453	SKBR3	total_RNA	P-TABM-1454	SKBR3 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	SKBR3_2D_POP6_D01	A-AFFY-76	P-AFFY-6	SKBR3	EFO	EFO_0001236	2D gel	SKBR3_2D_POP6_D01	So_A032305_4006409_284_96_LBNL.D01_v4.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
600MPE	600MPE	EFO	EFO_0001085	Luminal	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Round	P-TABM-1452	600MPE	P-TABM-1453	600MPE	total_RNA	P-TABM-1454	600MPE biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	cl51_600MPE	A-AFFY-33	P-AFFY-6	600MPE	EFO	EFO_0001085	2D gel	cl51_600MPE	08.600MPE.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
MCF12A	MCF12A	EFO	EFO_0001202	Basal B	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Round	P-TABM-1451	MCF12A	P-TABM-1453	MCF12A	total_RNA	P-TABM-1454	MCF12A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	MCF12A_3D_HTA12_D07	A-AFFY-76	P-AFFY-6	MCF12A	EFO	EFO_0001202	3D gel	MCF12A_3D_HTA12_D07	05113724012696080305.D07.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
BT474	BT474	EFO	EFO_0001093	Luminal	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Mass	P-TABM-1451	BT474	P-TABM-1453	BT474	total_RNA	P-TABM-1454	BT474 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	BT474_2D_POP6_F04	A-AFFY-76	P-AFFY-6	BT474	EFO	EFO_0001093	2D gel	BT474_2D_POP6_F04	So_A032305_4006409_284_96_LBNL.F04_v4.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
HCC70	HCC70	EFO	EFO_0001181	Basal A	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Mass	P-TABM-1451	HCC70	P-TABM-1453	HCC70	total_RNA	P-TABM-1454	HCC70 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	HCC70_3D_HTA12_H06	A-AFFY-76	P-AFFY-6	HCC70	EFO	EFO_0001181	3D gel	HCC70_3D_HTA12_H06	05113724012696080305.H06.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
S1	S1	EFO	EFO_0002078	Basal B	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Round	P-TABM-1452	S1	P-TABM-1453	S1	total_RNA	P-TABM-1454	S1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	S1_2D_POP0_D01	A-AFFY-76	P-AFFY-6	S1	EFO	EFO_0002078	2D gel	S1_2D_POP0_D01	031004_LBLPOP_321521.D01_v3.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
T4-2	T4-2	  	  	Basal B	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Mass	P-TABM-1452	T4-2	P-TABM-1453	T4-2	total_RNA	P-TABM-1454	T4-2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	T4_2D_HTA7_G05	A-AFFY-76	P-AFFY-6	T4-2	  	  	2D gel	T4_2D_HTA7_G05	05202784005645111904241083.G05.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
