source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	Characteristics[age]	characteristics[ancestry category]	Characteristics[sex]	characteristics[disease]	characteristics[protocol]	characteristics[biological replicate]	characteristics[technical replicate]	Characteristics[individual]	Material Type	assay name	Technology Type	comment[technical replicate]	comment[fraction identifier]	comment[proteomexchange accession number]	comment[data file]	comment[file uri]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	Factor Value[protocol]
PXD002029-Sample-11	homo sapiens	colonic mucosa	not available	not available	not available	not available	normal	sFFPE	2	1	A	tissue	run 11	proteomic profiling by mass spectrometry	1	1	PXD002029	Colon_ParticipantA_sFFPE_2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2015/11/PXD002029/Colon_ParticipantA_sFFPE_2.raw	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Formyl;AC=UNIMOD:122;PP=Any N-term;MT=Variable	not available	not available	sFFPE
PXD002029-Sample-12	homo sapiens	colonic mucosa	not available	not available	not available	not available	normal	sFFPE	3	1	A	tissue	run 12	proteomic profiling by mass spectrometry	1	1	PXD002029	Colon_ParticipantA_sFFPE_3.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2015/11/PXD002029/Colon_ParticipantA_sFFPE_3.raw	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Formyl;AC=UNIMOD:122;PP=Any N-term;MT=Variable	not available	not available	sFFPE
PXD002029-Sample-13	homo sapiens	colonic mucosa	not available	not available	not available	not available	normal	DF	1	1	B	tissue	run 13	proteomic profiling by mass spectrometry	1	1	PXD002029	Colon_ParticipantB_DF_1.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2015/11/PXD002029/Colon_ParticipantB_DF_1.raw	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Formyl;AC=UNIMOD:122;PP=Any N-term;MT=Variable	not available	not available	DF
PXD002029-Sample-14	homo sapiens	colonic mucosa	not available	not available	not available	not available	normal	DF	2	1	B	tissue	run 14	proteomic profiling by mass spectrometry	1	1	PXD002029	Colon_ParticipantB_DF_2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2015/11/PXD002029/Colon_ParticipantB_DF_2.raw	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Formyl;AC=UNIMOD:122;PP=Any N-term;MT=Variable	not available	not available	DF
PXD002029-Sample-15	homo sapiens	colonic mucosa	not available	not available	not available	not available	normal	DF	3	1	B	tissue	run 15	proteomic profiling by mass spectrometry	1	1	PXD002029	Colon_ParticipantB_DF_3.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2015/11/PXD002029/Colon_ParticipantB_DF_3.raw	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Formyl;AC=UNIMOD:122;PP=Any N-term;MT=Variable	not available	not available	DF
PXD002029-Sample-16	homo sapiens	colonic mucosa	not available	not available	not available	not available	normal	RNAlater	1	1	B	tissue	run 16	proteomic profiling by mass spectrometry	1	1	PXD002029	Colon_ParticipantB_RNAlater_1.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2015/11/PXD002029/Colon_ParticipantB_RNAlater_1.raw	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Formyl;AC=UNIMOD:122;PP=Any N-term;MT=Variable	not available	not available	RNAlater
PXD002029-Sample-17	homo sapiens	colonic mucosa	not available	not available	not available	not available	normal	RNAlater	2	1	B	tissue	run 17	proteomic profiling by mass spectrometry	1	1	PXD002029	Colon_ParticipantB_RNAlater_2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2015/11/PXD002029/Colon_ParticipantB_RNAlater_2.raw	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Formyl;AC=UNIMOD:122;PP=Any N-term;MT=Variable	not available	not available	RNAlater
PXD002029-Sample-18	homo sapiens	colonic mucosa	not available	not available	not available	not available	normal	RNAlater	3	1	B	tissue	run 18	proteomic profiling by mass spectrometry	1	1	PXD002029	Colon_ParticipantB_RNAlater_3.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2015/11/PXD002029/Colon_ParticipantB_RNAlater_3.raw	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Formyl;AC=UNIMOD:122;PP=Any N-term;MT=Variable	not available	not available	RNAlater
PXD002029-Sample-19	homo sapiens	colonic mucosa	not available	not available	not available	not available	normal	iFFPE	1	1	B	tissue	run 19	proteomic profiling by mass spectrometry	1	1	PXD002029	Colon_ParticipantB_iFFPE_1.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2015/11/PXD002029/Colon_ParticipantB_iFFPE_1.raw	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Formyl;AC=UNIMOD:122;PP=Any N-term;MT=Variable	not available	not available	iFFPE
PXD002029-Sample-20	homo sapiens	colonic mucosa	not available	not available	not available	not available	normal	iFFPE	2	1	B	tissue	run 20	proteomic profiling by mass spectrometry	1	1	PXD002029	Colon_ParticipantB_iFFPE_2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2015/11/PXD002029/Colon_ParticipantB_iFFPE_2.raw	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Formyl;AC=UNIMOD:122;PP=Any N-term;MT=Variable	not available	not available	iFFPE
PXD002029-Sample-21	homo sapiens	colonic mucosa	not available	not available	not available	not available	normal	iFFPE	3	1	B	tissue	run 21	proteomic profiling by mass spectrometry	1	1	PXD002029	Colon_ParticipantB_iFFPE_3.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2015/11/PXD002029/Colon_ParticipantB_iFFPE_3.raw	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Formyl;AC=UNIMOD:122;PP=Any N-term;MT=Variable	not available	not available	iFFPE
PXD002029-Sample-22	homo sapiens	colonic mucosa	not available	not available	not available	not available	normal	sFFPE	1	1	B	tissue	run 22	proteomic profiling by mass spectrometry	1	1	PXD002029	Colon_ParticipantB_sFFPE_1.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2015/11/PXD002029/Colon_ParticipantB_sFFPE_1.raw	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Formyl;AC=UNIMOD:122;PP=Any N-term;MT=Variable	not available	not available	sFFPE
PXD002029-Sample-23	homo sapiens	colonic mucosa	not available	not available	not available	not available	normal	sFFPE	2	1	B	tissue	run 23	proteomic profiling by mass spectrometry	1	1	PXD002029	Colon_ParticipantB_sFFPE_2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2015/11/PXD002029/Colon_ParticipantB_sFFPE_2.raw	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Formyl;AC=UNIMOD:122;PP=Any N-term;MT=Variable	not available	not available	sFFPE
PXD002029-Sample-24	homo sapiens	colonic mucosa	not available	not available	not available	not available	normal	sFFPE	3	1	B	tissue	run 24	proteomic profiling by mass spectrometry	1	1	PXD002029	Colon_ParticipantB_sFFPE_3.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2015/11/PXD002029/Colon_ParticipantB_sFFPE_3.raw	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Formyl;AC=UNIMOD:122;PP=Any N-term;MT=Variable	not available	not available	sFFPE
