source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[label]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[cleavage agent details]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[fractionation method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]
PXD003539-Sample-7	Homo sapiens	not available	not available	not available	CO_KM12	1	run 14	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130623_003_SW.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130623_003_SW.wiff	2	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=SWATH MS;AC=PRIDE:0000447	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.1Da	30% NCE
PXD003539-Sample-8	Homo sapiens	not available	not available	not available	CNS_SF539	1	run 15	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130611_012_SW.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130611_012_SW.wiff	1	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=SWATH MS;AC=PRIDE:0000447	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.1Da	30% NCE
PXD003539-Sample-8	Homo sapiens	not available	not available	not available	CNS_SF539	1	run 16	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130623_004_SW.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130623_004_SW.wiff	2	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=SWATH MS;AC=PRIDE:0000447	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.1Da	30% NCE
PXD003539-Sample-9	Homo sapiens	not available	not available	not available	ME_SKMEL2	1	run 17	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130611_013_SW.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130611_013_SW.wiff	1	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=SWATH MS;AC=PRIDE:0000447	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.1Da	30% NCE
PXD003539-Sample-9	Homo sapiens	not available	not available	not available	ME_SKMEL2	1	run 18	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130623_005_SW.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130623_005_SW.wiff	2	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=SWATH MS;AC=PRIDE:0000447	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.1Da	30% NCE
PXD003539-Sample-10	Homo sapiens	not available	not available	not available	OV_SKOV3	1	run 19	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130611_014_SW.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130611_014_SW.wiff	1	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=SWATH MS;AC=PRIDE:0000447	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.1Da	30% NCE
PXD003539-Sample-10	Homo sapiens	not available	not available	not available	OV_SKOV3	1	run 20	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130623_006_SW.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130623_006_SW.wiff	2	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=SWATH MS;AC=PRIDE:0000447	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.1Da	30% NCE
PXD003539-Sample-11	Homo sapiens	not available	not available	not available	RE_7860	1	run 21	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130612_002_SW.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130612_002_SW.wiff	1	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=SWATH MS;AC=PRIDE:0000447	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.1Da	30% NCE
PXD003539-Sample-11	Homo sapiens	not available	not available	not available	RE_7860	1	run 22	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130624_002_SW.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130624_002_SW.wiff	2	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=SWATH MS;AC=PRIDE:0000447	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.1Da	30% NCE
PXD003539-Sample-12	Homo sapiens	not available	not available	not available	CO_HT29	1	run 23	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130612_003_SW.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130612_003_SW.wiff	1	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=SWATH MS;AC=PRIDE:0000447	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.1Da	30% NCE
PXD003539-Sample-12	Homo sapiens	not available	not available	not available	CO_HT29	1	run 24	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130624_003_SW.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130624_003_SW.wiff	2	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=SWATH MS;AC=PRIDE:0000447	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.1Da	30% NCE
PXD003539-Sample-13	Homo sapiens	not available	not available	not available	LE_K562	1	run 25	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130612_004_SW.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130612_004_SW.wiff	1	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=SWATH MS;AC=PRIDE:0000447	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.1Da	30% NCE
PXD003539-Sample-13	Homo sapiens	not available	not available	not available	LE_K562	1	run 26	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130624_004_SW.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130624_004_SW.wiff	2	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=SWATH MS;AC=PRIDE:0000447	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.1Da	30% NCE
PXD003539-Sample-14	Homo sapiens	not available	not available	not available	BR_MDAMB231	1	run 27	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130612_005_SW.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130612_005_SW.wiff	1	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=SWATH MS;AC=PRIDE:0000447	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.1Da	30% NCE
PXD003539-Sample-14	Homo sapiens	not available	not available	not available	BR_MDAMB231	1	run 28	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130624_005_SW.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130624_005_SW.wiff	2	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=SWATH MS;AC=PRIDE:0000447	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.1Da	30% NCE
PXD003539-Sample-15	Homo sapiens	not available	not available	not available	ME_SKMEL5	1	run 29	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130612_006_SW.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130612_006_SW.wiff	1	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=SWATH MS;AC=PRIDE:0000447	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.1Da	30% NCE
PXD003539-Sample-15	Homo sapiens	not available	not available	not available	ME_SKMEL5	1	run 30	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130624_006_SW.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130624_006_SW.wiff	2	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=SWATH MS;AC=PRIDE:0000447	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.1Da	30% NCE
PXD003539-Sample-16	Homo sapiens	not available	not available	not available	LE_HL60	1	run 31	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130613_002_SW.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130613_002_SW.wiff	1	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=SWATH MS;AC=PRIDE:0000447	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.1Da	30% NCE
PXD003539-Sample-16	Homo sapiens	not available	not available	not available	LE_HL60	1	run 32	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130625_002_SW.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130625_002_SW.wiff	2	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=SWATH MS;AC=PRIDE:0000447	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.1Da	30% NCE
PXD003539-Sample-17	Homo sapiens	not available	not available	not available	BR_MCF7	1	run 33	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130613_003_SW.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130613_003_SW.wiff	1	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=SWATH MS;AC=PRIDE:0000447	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.1Da	30% NCE
PXD003539-Sample-17	Homo sapiens	not available	not available	not available	BR_MCF7	1	run 34	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130625_003_SW.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130625_003_SW.wiff	2	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=SWATH MS;AC=PRIDE:0000447	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.1Da	30% NCE
PXD003539-Sample-18	Homo sapiens	not available	not available	not available	CNS_SF295	1	run 35	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130613_004_SW.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130613_004_SW.wiff	1	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=SWATH MS;AC=PRIDE:0000447	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.1Da	30% NCE
PXD003539-Sample-18	Homo sapiens	not available	not available	not available	CNS_SF295	1	run 36	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	guot_L130625_004_SW.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD003539/guot_L130625_004_SW.wiff	2	1	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=TripleTOF 5600;AC=MS:1000932	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=SWATH MS;AC=PRIDE:0000447	NT=High-performance liquid chromatography;AC=PRIDE:0000565	NT=HCD;AC=PRIDE:0000590	50 ppm	0.1Da	30% NCE
