Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[ancestry category]	Characteristics[sex]	Characteristics[age]	Characteristics[histologic subtype]	Characteristics[biological replicate]	Characteristics[individual]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[histologic subtype]	Factor Value[instrument]
Sample 11	Homo sapiens	ovary	not applicable	not applicable	not available	ovarian carcinomas	not available	not available	not available	endometrioid carcinoma	1	EC-1	tissue	run 11	proteomic profiling by mass spectrometry	dc_07282017_T6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012998/dc_07282017_T6.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=CID;AC=PRIDE:0000591	35 NCE	4.5 ppm	20 ppm	endometrioid carcinoma	NT=Orbitrap Elite;AC=MS:1001910
Sample 12	Homo sapiens	ovary	not applicable	not applicable	not available	ovarian carcinomas	not available	not available	not available	endometrioid carcinoma	1	EC-2	tissue	run 12	proteomic profiling by mass spectrometry	dc_07282017_T7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012998/dc_07282017_T7.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=CID;AC=PRIDE:0000591	35 NCE	4.5 ppm	20 ppm	endometrioid carcinoma	NT=Orbitrap Elite;AC=MS:1001910
Sample 13	Homo sapiens	ovary	not applicable	not applicable	not available	ovarian carcinomas	not available	not available	not available	endometrioid carcinoma	1	EC-3	tissue	run 13	proteomic profiling by mass spectrometry	dc_07282017_T8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012998/dc_07282017_T8.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=CID;AC=PRIDE:0000591	35 NCE	4.5 ppm	20 ppm	endometrioid carcinoma	NT=Orbitrap Elite;AC=MS:1001910
Sample 14	Homo sapiens	ovary	not applicable	not applicable	not available	ovarian carcinomas	not available	not available	not available	endometrioid carcinoma	1	EC-4	tissue	run 14	proteomic profiling by mass spectrometry	dc_07282017_T9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012998/dc_07282017_T9.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=CID;AC=PRIDE:0000591	35 NCE	4.5 ppm	20 ppm	endometrioid carcinoma	NT=Orbitrap Elite;AC=MS:1001910
Sample 15	Homo sapiens	ovary	not applicable	not applicable	not available	ovarian carcinomas	not available	not available	not available	endometrioid carcinoma	1	EC-5	tissue	run 15	proteomic profiling by mass spectrometry	dc_07282017_T10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012998/dc_07282017_T10.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=CID;AC=PRIDE:0000591	35 NCE	4.5 ppm	20 ppm	endometrioid carcinoma	NT=Orbitrap Elite;AC=MS:1001910
Sample 16	Homo sapiens	ovary	not applicable	not applicable	not available	ovarian carcinomas	not available	not available	not available	endometrioid carcinoma	1	EC-6	tissue	run 16	proteomic profiling by mass spectrometry	dc_07282017_T11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012998/dc_07282017_T11.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=CID;AC=PRIDE:0000591	35 NCE	4.5 ppm	20 ppm	endometrioid carcinoma	NT=Orbitrap Elite;AC=MS:1001910
Sample 17	Homo sapiens	ovary	not applicable	not applicable	not available	ovarian carcinomas	not available	not available	not available	endometrioid carcinoma	1	EC-7	tissue	run 17	proteomic profiling by mass spectrometry	dc_07282017_T12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012998/dc_07282017_T12.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=CID;AC=PRIDE:0000591	35 NCE	4.5 ppm	20 ppm	endometrioid carcinoma	NT=Orbitrap Elite;AC=MS:1001910
Sample 18	Homo sapiens	ovary	not applicable	not applicable	not available	ovarian carcinomas	not available	not available	not available	endometrioid carcinoma	1	EC-8	tissue	run 18	proteomic profiling by mass spectrometry	dc_07282017_T13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012998/dc_07282017_T13.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=CID;AC=PRIDE:0000591	35 NCE	4.5 ppm	20 ppm	endometrioid carcinoma	NT=Orbitrap Elite;AC=MS:1001910
Sample 19	Homo sapiens	ovary	not applicable	not applicable	not available	ovarian carcinomas	not available	not available	not available	endometrioid carcinoma	1	EC-9	tissue	run 19	proteomic profiling by mass spectrometry	dc_07282017_T14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012998/dc_07282017_T14.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=CID;AC=PRIDE:0000591	35 NCE	4.5 ppm	20 ppm	endometrioid carcinoma	NT=Orbitrap Elite;AC=MS:1001910
Sample 20	Homo sapiens	ovary	not applicable	not applicable	not available	ovarian carcinomas	not available	not available	not available	endometrioid carcinoma	1	EC-10	tissue	run 20	proteomic profiling by mass spectrometry	dc_08252017_T14_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012998/dc_08252017_T14_2.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=CID;AC=PRIDE:0000591	35 NCE	4.5 ppm	20 ppm	endometrioid carcinoma	NT=Orbitrap Elite;AC=MS:1001910
Sample 1	Homo sapiens	ovary	not applicable	not applicable	not available	ovarian carcinomas	not available	not available	not available	high-grade serous carcinoma	1	HGSC-1	tissue	run 21	proteomic profiling by mass spectrometry	dc_07282017_T15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012998/dc_07282017_T15.raw	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=HCD;AC=PRIDE:0000590	25 NCE	4.5 ppm	20 ppm	high-grade serous carcinoma	NT=Q Exactive Plus;AC=MS:1002634
Sample 2	Homo sapiens	ovary	not applicable	not applicable	not available	ovarian carcinomas	not available	not available	not available	high-grade serous carcinoma	1	HGSC-2	tissue	run 22	proteomic profiling by mass spectrometry	dc_07282017_T16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012998/dc_07282017_T16.raw	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=HCD;AC=PRIDE:0000590	25 NCE	4.5 ppm	20 ppm	high-grade serous carcinoma	NT=Q Exactive Plus;AC=MS:1002634
Sample 3	Homo sapiens	ovary	not applicable	not applicable	not available	ovarian carcinomas	not available	not available	not available	high-grade serous carcinoma	1	HGSC-3	tissue	run 23	proteomic profiling by mass spectrometry	dc_07282017_T17.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012998/dc_07282017_T17.raw	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=HCD;AC=PRIDE:0000590	25 NCE	4.5 ppm	20 ppm	high-grade serous carcinoma	NT=Q Exactive Plus;AC=MS:1002634
Sample 4	Homo sapiens	ovary	not applicable	not applicable	not available	ovarian carcinomas	not available	not available	not available	high-grade serous carcinoma	1	HGSC-4	tissue	run 24	proteomic profiling by mass spectrometry	dc_07282017_T18.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012998/dc_07282017_T18.raw	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=HCD;AC=PRIDE:0000590	25 NCE	4.5 ppm	20 ppm	high-grade serous carcinoma	NT=Q Exactive Plus;AC=MS:1002634
Sample 5	Homo sapiens	ovary	not applicable	not applicable	not available	ovarian carcinomas	not available	not available	not available	high-grade serous carcinoma	1	HGSC-5	tissue	run 25	proteomic profiling by mass spectrometry	dc_07282017_T19.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012998/dc_07282017_T19.raw	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=HCD;AC=PRIDE:0000590	25 NCE	4.5 ppm	20 ppm	high-grade serous carcinoma	NT=Q Exactive Plus;AC=MS:1002634
Sample 6	Homo sapiens	ovary	not applicable	not applicable	not available	ovarian carcinomas	not available	not available	not available	high-grade serous carcinoma	1	HGSC-6	tissue	run 26	proteomic profiling by mass spectrometry	dc_07282017_T20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012998/dc_07282017_T20.raw	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=HCD;AC=PRIDE:0000590	25 NCE	4.5 ppm	20 ppm	high-grade serous carcinoma	NT=Q Exactive Plus;AC=MS:1002634
Sample 7	Homo sapiens	ovary	not applicable	not applicable	not available	ovarian carcinomas	not available	not available	not available	high-grade serous carcinoma	1	HGSC-7	tissue	run 27	proteomic profiling by mass spectrometry	dc_07282017_T21.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012998/dc_07282017_T21.raw	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=HCD;AC=PRIDE:0000590	25 NCE	4.5 ppm	20 ppm	high-grade serous carcinoma	NT=Q Exactive Plus;AC=MS:1002634
Sample 8	Homo sapiens	ovary	not applicable	not applicable	not available	ovarian carcinomas	not available	not available	not available	high-grade serous carcinoma	1	HGSC-8	tissue	run 28	proteomic profiling by mass spectrometry	dc_08252017_T21_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012998/dc_08252017_T21_2.raw	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=HCD;AC=PRIDE:0000590	25 NCE	4.5 ppm	20 ppm	high-grade serous carcinoma	NT=Q Exactive Plus;AC=MS:1002634
Sample 9	Homo sapiens	ovary	not applicable	not applicable	not available	ovarian carcinomas	not available	not available	not available	high-grade serous carcinoma	1	HGSC-9	tissue	run 29	proteomic profiling by mass spectrometry	dc_07282017_T22.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012998/dc_07282017_T22.raw	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=HCD;AC=PRIDE:0000590	25 NCE	4.5 ppm	20 ppm	high-grade serous carcinoma	NT=Q Exactive Plus;AC=MS:1002634
Sample 10	Homo sapiens	ovary	not applicable	not applicable	not available	ovarian carcinomas	not available	not available	not available	high-grade serous carcinoma	1	HGSC-10	tissue	run 30	proteomic profiling by mass spectrometry	dc_07282017_T23.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012998/dc_07282017_T23.raw	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=HCD;AC=PRIDE:0000590	25 NCE	4.5 ppm	20 ppm	high-grade serous carcinoma	NT=Q Exactive Plus;AC=MS:1002634
Sample 11	Homo sapiens	ovary	not applicable	not applicable	not available	ovarian carcinomas	not available	not available	not available	endometrioid carcinoma	1	EC-1	tissue	run 31	proteomic profiling by mass spectrometry	dc_08252017_T23_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD012998/dc_08252017_T23_2.raw	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=HCD;AC=PRIDE:0000590	25 NCE	4.5 ppm	20 ppm	endometrioid carcinoma	NT=Q Exactive Plus;AC=MS:1002634
