source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[cell type]	characteristics[developmental stage]	Material Type	assay name	Technology Type	comment[file uri]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[fractionation method]	comment[instrument]	comment[separation]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters].2	comment[modification parameters].3	comment[modification parameters].4	comment[modification parameters].5	comment[modification parameters].6	comment[dissociation method]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[data file]	factor value[cell line]
Sample 5	Homo sapiens	cervix	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	cell line	run 151	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150708_QE3_UPLC8_DBJ_QC_HELA_39frac_Chymotrypsin_11.raw	11	AC=MS:1002038;NT=label free sample	NT=Chymotrypsin;AC=MS:1001306	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20150708_QE3_UPLC8_DBJ_QC_HELA_39frac_Chymotrypsin_11.raw	HeLa
Sample 5	Homo sapiens	cervix	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	cell line	run 152	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150708_QE3_UPLC8_DBJ_QC_HELA_39frac_Chymotrypsin_12.raw	12	AC=MS:1002038;NT=label free sample	NT=Chymotrypsin;AC=MS:1001306	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20150708_QE3_UPLC8_DBJ_QC_HELA_39frac_Chymotrypsin_12.raw	HeLa
Sample 5	Homo sapiens	cervix	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	cell line	run 153	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150708_QE3_UPLC8_DBJ_QC_HELA_39frac_Chymotrypsin_13.raw	13	AC=MS:1002038;NT=label free sample	NT=Chymotrypsin;AC=MS:1001306	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20150708_QE3_UPLC8_DBJ_QC_HELA_39frac_Chymotrypsin_13.raw	HeLa
Sample 5	Homo sapiens	cervix	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	cell line	run 154	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150708_QE3_UPLC8_DBJ_QC_HELA_39frac_Chymotrypsin_14.raw	14	AC=MS:1002038;NT=label free sample	NT=Chymotrypsin;AC=MS:1001306	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20150708_QE3_UPLC8_DBJ_QC_HELA_39frac_Chymotrypsin_14.raw	HeLa
Sample 5	Homo sapiens	cervix	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	cell line	run 155	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150708_QE3_UPLC8_DBJ_QC_HELA_39frac_Chymotrypsin_15.raw	15	AC=MS:1002038;NT=label free sample	NT=Chymotrypsin;AC=MS:1001306	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20150708_QE3_UPLC8_DBJ_QC_HELA_39frac_Chymotrypsin_15.raw	HeLa
Sample 5	Homo sapiens	cervix	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	cell line	run 156	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150708_QE3_UPLC8_DBJ_QC_HELA_39frac_Chymotrypsin_16.raw	16	AC=MS:1002038;NT=label free sample	NT=Chymotrypsin;AC=MS:1001306	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20150708_QE3_UPLC8_DBJ_QC_HELA_39frac_Chymotrypsin_16.raw	HeLa
Sample 5	Homo sapiens	cervix	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	cell line	run 157	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150708_QE3_UPLC8_DBJ_QC_HELA_39frac_Chymotrypsin_17.raw	17	AC=MS:1002038;NT=label free sample	NT=Chymotrypsin;AC=MS:1001306	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20150708_QE3_UPLC8_DBJ_QC_HELA_39frac_Chymotrypsin_17.raw	HeLa
Sample 5	Homo sapiens	cervix	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	cell line	run 158	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150708_QE3_UPLC8_DBJ_QC_HELA_39frac_Chymotrypsin_18.raw	18	AC=MS:1002038;NT=label free sample	NT=Chymotrypsin;AC=MS:1001306	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20150708_QE3_UPLC8_DBJ_QC_HELA_39frac_Chymotrypsin_18.raw	HeLa
Sample 5	Homo sapiens	cervix	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	cell line	run 159	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150708_QE3_UPLC8_DBJ_QC_HELA_39frac_Chymotrypsin_19.raw	19	AC=MS:1002038;NT=label free sample	NT=Chymotrypsin;AC=MS:1001306	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20150708_QE3_UPLC8_DBJ_QC_HELA_39frac_Chymotrypsin_19.raw	HeLa
Sample 5	Homo sapiens	cervix	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	cell line	run 160	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150708_QE3_UPLC8_DBJ_QC_HELA_39frac_Chymotrypsin_20.raw	20	AC=MS:1002038;NT=label free sample	NT=Chymotrypsin;AC=MS:1001306	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20150708_QE3_UPLC8_DBJ_QC_HELA_39frac_Chymotrypsin_20.raw	HeLa
Sample 5	Homo sapiens	cervix	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	cell line	run 161	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150708_QE3_UPLC8_DBJ_QC_HELA_39frac_Chymotrypsin_21_2.raw	21	AC=MS:1002038;NT=label free sample	NT=Chymotrypsin;AC=MS:1001306	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20150708_QE3_UPLC8_DBJ_QC_HELA_39frac_Chymotrypsin_21_2.raw	HeLa
