Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[ancestry category]	Characteristics[sex]	Characteristics[age]	Characteristics[individual]	Characteristics[biological replicate]	Characteristics[time]	Material Type	assay name	technology type	comment[file uri]	comment[data file]	comment[technical replicate]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[collision energy]	comment[fragment mass tolerance]	factor value[time]
PXD018588-Sample-4	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	186	1	Day 1	cell	run 11	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02373_KS__X113_M53_col3_200nlMin_2.raw	LUM_02373_KS__X113_M53_col3_200nlMin_2.raw	2	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day 1
PXD018588-Sample-4	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	187	1	Day 1	cell	run 12	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02374_KS__X113_M53_col3_200nlMin_3.raw	LUM_02374_KS__X113_M53_col3_200nlMin_3.raw	3	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day 1
PXD018588-Sample-5	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	188	1	Day-1	cell	run 13	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02375_KS__X116_M56_col3_200nlMin_1.raw	LUM_02375_KS__X116_M56_col3_200nlMin_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day-1
PXD018588-Sample-5	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	189	1	Day-1	cell	run 14	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02376_KS__X116_M56_col3_200nlMin_2.raw	LUM_02376_KS__X116_M56_col3_200nlMin_2.raw	2	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day-1
PXD018588-Sample-5	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	190	1	Day-1	cell	run 15	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02377_KS__X116_M56_col3_200nlMin_3.raw	LUM_02377_KS__X116_M56_col3_200nlMin_3.raw	3	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day-1
PXD018588-Sample-6	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	191	2	Day 1	cell	run 16	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02379_KS__X103_M43_col3_200nlMin_1.raw	LUM_02379_KS__X103_M43_col3_200nlMin_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day 1
PXD018588-Sample-6	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	192	2	Day 1	cell	run 17	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02380_KS__X103_M43_col3_200nlMin_2.raw	LUM_02380_KS__X103_M43_col3_200nlMin_2.raw	2	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day 1
PXD018588-Sample-6	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	193	2	Day 1	cell	run 18	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02381_KS__X103_M43_col3_200nlMin_3.raw	LUM_02381_KS__X103_M43_col3_200nlMin_3.raw	3	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day 1
PXD018588-Sample-7	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	194	2	Day-1	cell	run 19	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02382_KS__X108_M48_col3_200nlMin_1.raw	LUM_02382_KS__X108_M48_col3_200nlMin_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day-1
PXD018588-Sample-7	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	195	2	Day-1	cell	run 20	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02383_KS__X108_M48_col3_200nlMin_2.raw	LUM_02383_KS__X108_M48_col3_200nlMin_2.raw	2	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day-1
PXD018588-Sample-7	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	196	2	Day-1	cell	run 21	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02384_KS__X108_M48_col3_200nlMin_3.raw	LUM_02384_KS__X108_M48_col3_200nlMin_3.raw	3	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day-1
PXD018588-Sample-8	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	197	3	Day 1	cell	run 22	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02385_KS__X102_M42_col3_200nlMin_1.raw	LUM_02385_KS__X102_M42_col3_200nlMin_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day 1
PXD018588-Sample-8	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	198	3	Day 1	cell	run 23	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02386_KS__X102_M42_col3_200nlMin_2.raw	LUM_02386_KS__X102_M42_col3_200nlMin_2.raw	2	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day 1
PXD018588-Sample-8	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	199	3	Day 1	cell	run 24	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02387_KS__X102_M42_col3_200nlMin_3.raw	LUM_02387_KS__X102_M42_col3_200nlMin_3.raw	3	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day 1
PXD018588-Sample-9	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	200	3	Day-1	cell	run 25	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02389_KS__X115_M55_col3_200nlMin_1.raw	LUM_02389_KS__X115_M55_col3_200nlMin_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day-1
PXD018588-Sample-9	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	201	3	Day-1	cell	run 26	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02390_KS__X115_M55_col3_200nlMin_2.raw	LUM_02390_KS__X115_M55_col3_200nlMin_2.raw	2	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day-1
PXD018588-Sample-9	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	202	3	Day-1	cell	run 27	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02391_KS__X115_M55_col3_200nlMin_3.raw	LUM_02391_KS__X115_M55_col3_200nlMin_3.raw	3	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day-1
PXD018588-Sample-10	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	203	1	Day 2	cell	run 28	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02392_KS__X101_M41_col3_200nlMin_1.raw	LUM_02392_KS__X101_M41_col3_200nlMin_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day 2
PXD018588-Sample-10	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	204	1	Day 2	cell	run 29	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02393_KS__X101_M41_col3_200nlMin_2.raw	LUM_02393_KS__X101_M41_col3_200nlMin_2.raw	2	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day 2
PXD018588-Sample-10	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	205	1	Day 2	cell	run 30	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02394_KS__X101_M41_col3_200nlMin_3.raw	LUM_02394_KS__X101_M41_col3_200nlMin_3.raw	3	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day 2
PXD018588-Sample-11	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	206	2	Day 2	cell	run 31	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02395_KS__X106_M46_col3_200nlMin_1.raw	LUM_02395_KS__X106_M46_col3_200nlMin_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day 2
PXD018588-Sample-11	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	207	2	Day 2	cell	run 32	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02396_KS__X106_M46_col3_200nlMin_2.raw	LUM_02396_KS__X106_M46_col3_200nlMin_2.raw	2	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day 2
