source name	characteristics[organism]	characteristics[phenotype]	characteristics[age]	characteristics[developmental stage]	characteristics[cell type]	characteristics[sex]	characteristics[ancestry category]	characteristics[disease]	characteristics[individual]	technology type	assay name	comment[label]	comment[instrument]	comment[fraction identifier]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[file uri]	comment[data file]	material type	factor value[organism part]
PXD009737-Sample-1	Homo sapiens	testis	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 15	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	15	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2018/10/PXD009737/Trypsin15.raw	Trypsin15.raw	tissue	testis
PXD009737-Sample-1	Homo sapiens	testis	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 16	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	16	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2018/10/PXD009737/Trypsin16.raw	Trypsin16.raw	tissue	testis
PXD009737-Sample-1	Homo sapiens	testis	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 17	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	17	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2018/10/PXD009737/Trypsin17.raw	Trypsin17.raw	tissue	testis
PXD009737-Sample-1	Homo sapiens	testis	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 18	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	18	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2018/10/PXD009737/Trypsin18.raw	Trypsin18.raw	tissue	testis
PXD009737-Sample-1	Homo sapiens	testis	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 19	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	19	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2018/10/PXD009737/Trypsin19.raw	Trypsin19.raw	tissue	testis
PXD009737-Sample-1	Homo sapiens	testis	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 20	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	20	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2018/10/PXD009737/Trypsin20.raw	Trypsin20.raw	tissue	testis
PXD009737-Sample-1	Homo sapiens	testis	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 21	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	21	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2018/10/PXD009737/Trypsin21.raw	Trypsin21.raw	tissue	testis
PXD009737-Sample-1	Homo sapiens	testis	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 22	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	22	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2018/10/PXD009737/Trypsin22.raw	Trypsin22.raw	tissue	testis
PXD009737-Sample-1	Homo sapiens	testis	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 23	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	23	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2018/10/PXD009737/Trypsin23.raw	Trypsin23.raw	tissue	testis
PXD009737-Sample-1	Homo sapiens	testis	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 24	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	24	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2018/10/PXD009737/Trypsin24.raw	Trypsin24.raw	tissue	testis
PXD009737-Sample-1	Homo sapiens	testis	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 25	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	25	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2018/10/PXD009737/Trypsin25.raw	Trypsin25.raw	tissue	testis
PXD009737-Sample-1	Homo sapiens	testis	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 26	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	26	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2018/10/PXD009737/Trypsin26.raw	Trypsin26.raw	tissue	testis
PXD009737-Sample-1	Homo sapiens	testis	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 27	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	27	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2018/10/PXD009737/Trypsin27.raw	Trypsin27.raw	tissue	testis
PXD009737-Sample-1	Homo sapiens	testis	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 28	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	28	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2018/10/PXD009737/Trypsin28.raw	Trypsin28.raw	tissue	testis
PXD009737-Sample-1	Homo sapiens	testis	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 29	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	29	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2018/10/PXD009737/Trypsin29.raw	Trypsin29.raw	tissue	testis
PXD009737-Sample-1	Homo sapiens	testis	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 30	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	30	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2018/10/PXD009737/Trypsin30.raw	Trypsin30.raw	tissue	testis
PXD009737-Sample-1	Homo sapiens	testis	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 31	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	31	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2018/10/PXD009737/Trypsin31.raw	Trypsin31.raw	tissue	testis
PXD009737-Sample-1	Homo sapiens	testis	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 32	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	32	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2018/10/PXD009737/Trypsin32.raw	Trypsin32.raw	tissue	testis
PXD009737-Sample-1	Homo sapiens	testis	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 33	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	33	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2018/10/PXD009737/Trypsin33.raw	Trypsin33.raw	tissue	testis
PXD009737-Sample-1	Homo sapiens	testis	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 34	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	34	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2018/10/PXD009737/Trypsin34.raw	Trypsin34.raw	tissue	testis
PXD009737-Sample-1	Homo sapiens	testis	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 35	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	35	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2018/10/PXD009737/Trypsin35.raw	Trypsin35.raw	tissue	testis
PXD009737-Sample-1	Homo sapiens	testis	not available	not available	not available	not available	not available	control	not available	proteomic profiling by mass spectrometry	run 36	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	36	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2018/10/PXD009737/Trypsin36.raw	Trypsin36.raw	tissue	testis
