source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[chemical treatment]	characteristics[developmental stage]	characteristics[disease]	characteristics[ancestry category]	characteristics[sex]	characteristics[age]	characteristics[biological replicate]	Material Type	assay name	technology type	comment[fraction identifier]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[chemical treatment]
PXD019347-Sample-1	Homo sapiens	Bone marrow	not applicable	HAP1-SHMT22	formate	not applicable	chronic myelogenous leukemia	not applicable	male	40Y	1	cell	run 21	proteomic profiling by mass spectrometry	6	201912161_KEH_LU_SA_JAT_R25_250719_phospho1_6F_006.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD019347/201912161_KEH_LU_SA_JAT_R25_250719_phospho1_6F_006.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Trypsin/P; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;AC=UNIMOD:21;TA=T,Y,S;MT=Variable"	10 ppm	0.06 Da	
PXD019347-Sample-5	Homo sapiens	Bone marrow	not applicable	HAP1-SHMT34	formate	not applicable	chronic myelogenous leukemia	not applicable	male	40Y	1	cell	run 33	proteomic profiling by mass spectrometry	6	201912161_KEH_LU_SA_JAT_R25_250719_phospho2_6F_018.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD019347/201912161_KEH_LU_SA_JAT_R25_250719_phospho2_6F_018.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Trypsin/P; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;AC=UNIMOD:21;TA=T,Y,S;MT=Variable"	10 ppm	0.06 Da	
PXD019347-Sample-2	Homo sapiens	Bone marrow	not applicable	HAP1-SHMT23	formate	not applicable	chronic myelogenous leukemia	not applicable	male	40Y	1	cell	run 22	proteomic profiling by mass spectrometry	7	201912161_KEH_LU_SA_JAT_R25_250719_phospho1_7F_007.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD019347/201912161_KEH_LU_SA_JAT_R25_250719_phospho1_7F_007.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Trypsin/P; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;AC=UNIMOD:21;TA=T,Y,S;MT=Variable"	10 ppm	0.06 Da	
PXD019347-Sample-6	Homo sapiens	Bone marrow	not applicable	HAP1-SHMT35	formate	not applicable	chronic myelogenous leukemia	not applicable	male	40Y	1	cell	run 34	proteomic profiling by mass spectrometry	7	201912161_KEH_LU_SA_JAT_R25_250719_phospho2_7F_019.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD019347/201912161_KEH_LU_SA_JAT_R25_250719_phospho2_7F_019.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Trypsin/P; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;AC=UNIMOD:21;TA=T,Y,S;MT=Variable"	10 ppm	0.06 Da	
PXD019347-Sample-2	Homo sapiens	Bone marrow	not applicable	HAP1-SHMT24	formate	not applicable	chronic myelogenous leukemia	not applicable	male	40Y	1	cell	run 23	proteomic profiling by mass spectrometry	8	201912161_KEH_LU_SA_JAT_R25_250719_phospho1_8F_008.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD019347/201912161_KEH_LU_SA_JAT_R25_250719_phospho1_8F_008.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Trypsin/P; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;AC=UNIMOD:21;TA=T,Y,S;MT=Variable"	10 ppm	0.06 Da	
PXD019347-Sample-6	Homo sapiens	Bone marrow	not applicable	HAP1-SHMT36	formate	not applicable	chronic myelogenous leukemia	not applicable	male	40Y	1	cell	run 35	proteomic profiling by mass spectrometry	8	201912161_KEH_LU_SA_JAT_R25_250719_phospho2_8F_020.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD019347/201912161_KEH_LU_SA_JAT_R25_250719_phospho2_8F_020.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Trypsin/P; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;AC=UNIMOD:21;TA=T,Y,S;MT=Variable"	10 ppm	0.06 Da	
PXD019347-Sample-2	Homo sapiens	Bone marrow	not applicable	HAP1-SHMT25	formate	not applicable	chronic myelogenous leukemia	not applicable	male	40Y	1	cell	run 24	proteomic profiling by mass spectrometry	9	201912161_KEH_LU_SA_JAT_R25_250719_phospho1_9RplusF_009.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD019347/201912161_KEH_LU_SA_JAT_R25_250719_phospho1_9RplusF_009.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Trypsin/P; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;AC=UNIMOD:21;TA=T,Y,S;MT=Variable"	10 ppm	0.06 Da	
PXD019347-Sample-6	Homo sapiens	Bone marrow	not applicable	HAP1-SHMT37	formate	not applicable	chronic myelogenous leukemia	not applicable	male	40Y	1	cell	run 36	proteomic profiling by mass spectrometry	9	201912161_KEH_LU_SA_JAT_R25_250719_phospho2_9RplusF_021.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD019347/201912161_KEH_LU_SA_JAT_R25_250719_phospho2_9RplusF_021.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Trypsin/P; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;AC=UNIMOD:21;TA=T,Y,S;MT=Variable"	10 ppm	0.06 Da	
PXD019347-Sample-5	Homo sapiens	Bone marrow	not applicable	HAP1-SHMT14	formate	not applicable	chronic myelogenous leukemia	not applicable	male	40Y	1	cell	run 13	proteomic profiling by mass spectrometry	10	201912161_KEH_LU_SA_JAT_R25_250719_phospho1_10RplusF_010.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD019347/201912161_KEH_LU_SA_JAT_R25_250719_phospho1_10RplusF_010.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Trypsin/P; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;AC=UNIMOD:21;TA=T,Y,S;MT=Variable"	10 ppm	0.06 Da	
PXD019347-Sample-3	Homo sapiens	Bone marrow	not applicable	HAP1-SHMT26	formate	not applicable	chronic myelogenous leukemia	not applicable	male	40Y	1	cell	run 25	proteomic profiling by mass spectrometry	10	201912161_KEH_LU_SA_JAT_R25_250719_phospho2_10RplusF_022.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD019347/201912161_KEH_LU_SA_JAT_R25_250719_phospho2_10RplusF_022.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Trypsin/P; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;AC=UNIMOD:21;TA=T,Y,S;MT=Variable"	10 ppm	0.06 Da	
PXD019347-Sample-5	Homo sapiens	Bone marrow	not applicable	HAP1-SHMT15	formate	not applicable	chronic myelogenous leukemia	not applicable	male	40Y	1	cell	run 14	proteomic profiling by mass spectrometry	11	201912161_KEH_LU_SA_JAT_R25_250719_phospho1_11RplusF_011.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD019347/201912161_KEH_LU_SA_JAT_R25_250719_phospho1_11RplusF_011.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Trypsin/P; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;AC=UNIMOD:21;TA=T,Y,S;MT=Variable"	10 ppm	0.06 Da	
PXD019347-Sample-3	Homo sapiens	Bone marrow	not applicable	HAP1-SHMT27	formate	not applicable	chronic myelogenous leukemia	not applicable	male	40Y	1	cell	run 26	proteomic profiling by mass spectrometry	11	201912161_KEH_LU_SA_JAT_R25_250719_phospho2_11RplusF_023.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD019347/201912161_KEH_LU_SA_JAT_R25_250719_phospho2_11RplusF_023.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Trypsin/P; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;AC=UNIMOD:21;TA=T,Y,S;MT=Variable"	10 ppm	0.06 Da	
PXD019347-Sample-5	Homo sapiens	Bone marrow	not applicable	HAP1-SHMT16	formate	not applicable	chronic myelogenous leukemia	not applicable	male	40Y	1	cell	run 15	proteomic profiling by mass spectrometry	12	201912161_KEH_LU_SA_JAT_R25_250719_phospho1_12RplusF_012.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD019347/201912161_KEH_LU_SA_JAT_R25_250719_phospho1_12RplusF_012.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Trypsin/P; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;AC=UNIMOD:21;TA=T,Y,S;MT=Variable"	10 ppm	0.06 Da	
PXD019347-Sample-3	Homo sapiens	Bone marrow	not applicable	HAP1-SHMT28	formate	not applicable	chronic myelogenous leukemia	not applicable	male	40Y	1	cell	run 27	proteomic profiling by mass spectrometry	12	201912161_KEH_LU_SA_JAT_R25_250719_phospho2_12RplusF_024.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD019347/201912161_KEH_LU_SA_JAT_R25_250719_phospho2_12RplusF_024.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Trypsin/P; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Phospho;AC=UNIMOD:21;TA=T,Y,S;MT=Variable"	10 ppm	0.06 Da	
