Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[cell line]	Characteristics[cell type]	Characteristics[sex]	Characteristics[ancestry category]	Characteristics[disease]	Characteristics[mass]	Characteristics[spiked compound]	Characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[spiked compound]
Sample 1	Homo sapiens	colon	not available	adult	HCT116	epithelial cell	male	not available	colorectal carcinoma	30 ug	Control	1	cell	run 11	proteomic profiling by mass spectrometry	a11859_human_90min_hrMS2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2019/09/PXD014415/a11859_human_90min_hrMS2.raw	11	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	Control
Sample 1	Homo sapiens	colon	not available	adult	HCT116	epithelial cell	male	not available	colorectal carcinoma	30 ug	Control	1	cell	run 12	proteomic profiling by mass spectrometry	a11860_human_90min_hrMS2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2019/09/PXD014415/a11860_human_90min_hrMS2.raw	12	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	Control
Sample 1	Homo sapiens	colon	not available	adult	HCT116	epithelial cell	male	not available	colorectal carcinoma	30 ug	Control	1	cell	run 13	proteomic profiling by mass spectrometry	a11861_human_90min_hrMS2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2019/09/PXD014415/a11861_human_90min_hrMS2.raw	13	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	Control
Sample 1	Homo sapiens	colon	not available	adult	HCT116	epithelial cell	male	not available	colorectal carcinoma	30 ug	Control	1	cell	run 14	proteomic profiling by mass spectrometry	a11862_human_90min_hrMS2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2019/09/PXD014415/a11862_human_90min_hrMS2.raw	14	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	Control
Sample 1	Homo sapiens	colon	not available	adult	HCT116	epithelial cell	male	not available	colorectal carcinoma	30 ug	Control	1	cell	run 15	proteomic profiling by mass spectrometry	a11863_human_90min_hrMS2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2019/09/PXD014415/a11863_human_90min_hrMS2.raw	15	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	Control
Sample 1	Homo sapiens	colon	not available	adult	HCT116	epithelial cell	male	not available	colorectal carcinoma	30 ug	Control	1	cell	run 16	proteomic profiling by mass spectrometry	a11864_human_90min_hrMS2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2019/09/PXD014415/a11864_human_90min_hrMS2.raw	16	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	Control
Sample 1	Homo sapiens	colon	not available	adult	HCT116	epithelial cell	male	not available	colorectal carcinoma	30 ug	Control	1	cell	run 17	proteomic profiling by mass spectrometry	a11865_human_90min_hrMS2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2019/09/PXD014415/a11865_human_90min_hrMS2.raw	17	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	Control
Sample 1	Homo sapiens	colon	not available	adult	HCT116	epithelial cell	male	not available	colorectal carcinoma	30 ug	Control	1	cell	run 18	proteomic profiling by mass spectrometry	a11866_human_90min_hrMS2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2019/09/PXD014415/a11866_human_90min_hrMS2.raw	18	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	Control
Sample 1	Homo sapiens	colon	not available	adult	HCT116	epithelial cell	male	not available	colorectal carcinoma	30 ug	Control	1	cell	run 19	proteomic profiling by mass spectrometry	a11867_human_90min_hrMS2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2019/09/PXD014415/a11867_human_90min_hrMS2.raw	19	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	Control
Sample 1	Homo sapiens	colon	not available	adult	HCT116	epithelial cell	male	not available	colorectal carcinoma	30 ug	Control	1	cell	run 20	proteomic profiling by mass spectrometry	a11868_human_90min_hrMS2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2019/09/PXD014415/a11868_human_90min_hrMS2.raw	20	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	Control
Sample 2	Homo sapiens	colon	not available	adult	HCT116	epithelial cell	male	not available	colorectal carcinoma	30 ug	SP=Saccharomyces cerevisiae;CT=Mixture;QY=3 ug;CV=in-house	1	cell	run 21	proteomic profiling by mass spectrometry	a11869_human_yaeast_90min_hrMS2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2019/09/PXD014415/a11869_human_yaeast_90min_hrMS2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	SP=Saccharomyces cerevisiae;CT=Mixture;QY=3 ug;CV=in-house
Sample 2	Homo sapiens	colon	not available	adult	HCT116	epithelial cell	male	not available	colorectal carcinoma	30 ug	SP=Saccharomyces cerevisiae;CT=Mixture;QY=3 ug;CV=in-house	1	cell	run 22	proteomic profiling by mass spectrometry	a11870_human_yaeast_90min_hrMS2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2019/09/PXD014415/a11870_human_yaeast_90min_hrMS2.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	SP=Saccharomyces cerevisiae;CT=Mixture;QY=3 ug;CV=in-house
Sample 2	Homo sapiens	colon	not available	adult	HCT116	epithelial cell	male	not available	colorectal carcinoma	30 ug	SP=Saccharomyces cerevisiae;CT=Mixture;QY=3 ug;CV=in-house	1	cell	run 23	proteomic profiling by mass spectrometry	a11871_human_yaeast_90min_hrMS2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2019/09/PXD014415/a11871_human_yaeast_90min_hrMS2.raw	3	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	SP=Saccharomyces cerevisiae;CT=Mixture;QY=3 ug;CV=in-house
Sample 2	Homo sapiens	colon	not available	adult	HCT116	epithelial cell	male	not available	colorectal carcinoma	30 ug	SP=Saccharomyces cerevisiae;CT=Mixture;QY=3 ug;CV=in-house	1	cell	run 24	proteomic profiling by mass spectrometry	a11872_human_yaeast_90min_hrMS2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2019/09/PXD014415/a11872_human_yaeast_90min_hrMS2.raw	4	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	SP=Saccharomyces cerevisiae;CT=Mixture;QY=3 ug;CV=in-house
Sample 2	Homo sapiens	colon	not available	adult	HCT116	epithelial cell	male	not available	colorectal carcinoma	30 ug	SP=Saccharomyces cerevisiae;CT=Mixture;QY=3 ug;CV=in-house	1	cell	run 25	proteomic profiling by mass spectrometry	a11873_human_yaeast_90min_hrMS2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2019/09/PXD014415/a11873_human_yaeast_90min_hrMS2.raw	5	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	SP=Saccharomyces cerevisiae;CT=Mixture;QY=3 ug;CV=in-house
Sample 2	Homo sapiens	colon	not available	adult	HCT116	epithelial cell	male	not available	colorectal carcinoma	30 ug	SP=Saccharomyces cerevisiae;CT=Mixture;QY=3 ug;CV=in-house	1	cell	run 26	proteomic profiling by mass spectrometry	a11874_human_yaeast_90min_hrMS2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2019/09/PXD014415/a11874_human_yaeast_90min_hrMS2.raw	6	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	SP=Saccharomyces cerevisiae;CT=Mixture;QY=3 ug;CV=in-house
Sample 2	Homo sapiens	colon	not available	adult	HCT116	epithelial cell	male	not available	colorectal carcinoma	30 ug	SP=Saccharomyces cerevisiae;CT=Mixture;QY=3 ug;CV=in-house	1	cell	run 27	proteomic profiling by mass spectrometry	a11875_human_yaeast_90min_hrMS2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2019/09/PXD014415/a11875_human_yaeast_90min_hrMS2.raw	7	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	SP=Saccharomyces cerevisiae;CT=Mixture;QY=3 ug;CV=in-house
Sample 2	Homo sapiens	colon	not available	adult	HCT116	epithelial cell	male	not available	colorectal carcinoma	30 ug	SP=Saccharomyces cerevisiae;CT=Mixture;QY=3 ug;CV=in-house	1	cell	run 28	proteomic profiling by mass spectrometry	a11876_human_yaeast_90min_hrMS2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2019/09/PXD014415/a11876_human_yaeast_90min_hrMS2.raw	8	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	SP=Saccharomyces cerevisiae;CT=Mixture;QY=3 ug;CV=in-house
Sample 2	Homo sapiens	colon	not available	adult	HCT116	epithelial cell	male	not available	colorectal carcinoma	30 ug	SP=Saccharomyces cerevisiae;CT=Mixture;QY=3 ug;CV=in-house	1	cell	run 29	proteomic profiling by mass spectrometry	a11877_human_yaeast_90min_hrMS2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2019/09/PXD014415/a11877_human_yaeast_90min_hrMS2.raw	9	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	SP=Saccharomyces cerevisiae;CT=Mixture;QY=3 ug;CV=in-house
Sample 2	Homo sapiens	colon	not available	adult	HCT116	epithelial cell	male	not available	colorectal carcinoma	30 ug	SP=Saccharomyces cerevisiae;CT=Mixture;QY=3 ug;CV=in-house	1	cell	run 30	proteomic profiling by mass spectrometry	a11878_human_yaeast_90min_hrMS2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2019/09/PXD014415/a11878_human_yaeast_90min_hrMS2.raw	10	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	SP=Saccharomyces cerevisiae;CT=Mixture;QY=3 ug;CV=in-house
Sample 2	Homo sapiens	colon	not available	adult	HCT116	epithelial cell	male	not available	colorectal carcinoma	30 ug	SP=Saccharomyces cerevisiae;CT=Mixture;QY=3 ug;CV=in-house	1	cell	run 31	proteomic profiling by mass spectrometry	a11879_human_yaeast_90min_hrMS2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2019/09/PXD014415/a11879_human_yaeast_90min_hrMS2.raw	11	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	SP=Saccharomyces cerevisiae;CT=Mixture;QY=3 ug;CV=in-house
Sample 2	Homo sapiens	colon	not available	adult	HCT116	epithelial cell	male	not available	colorectal carcinoma	30 ug	SP=Saccharomyces cerevisiae;CT=Mixture;QY=3 ug;CV=in-house	1	cell	run 32	proteomic profiling by mass spectrometry	a11880_human_yaeast_90min_hrMS2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2019/09/PXD014415/a11880_human_yaeast_90min_hrMS2.raw	12	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	SP=Saccharomyces cerevisiae;CT=Mixture;QY=3 ug;CV=in-house
Sample 2	Homo sapiens	colon	not available	adult	HCT116	epithelial cell	male	not available	colorectal carcinoma	30 ug	SP=Saccharomyces cerevisiae;CT=Mixture;QY=3 ug;CV=in-house	1	cell	run 33	proteomic profiling by mass spectrometry	a11881_human_yaeast_90min_hrMS2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2019/09/PXD014415/a11881_human_yaeast_90min_hrMS2.raw	13	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	SP=Saccharomyces cerevisiae;CT=Mixture;QY=3 ug;CV=in-house
Sample 2	Homo sapiens	colon	not available	adult	HCT116	epithelial cell	male	not available	colorectal carcinoma	30 ug	SP=Saccharomyces cerevisiae;CT=Mixture;QY=3 ug;CV=in-house	1	cell	run 34	proteomic profiling by mass spectrometry	a11882_human_yaeast_90min_hrMS2.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2019/09/PXD014415/a11882_human_yaeast_90min_hrMS2.raw	14	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	20 ppm	0.5 Da	SP=Saccharomyces cerevisiae;CT=Mixture;QY=3 ug;CV=in-house
