source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[developmental stage]	characteristics[disease]	characteristics[sex]	characteristics[ancestry category]	characteristics[age]	characteristics[cultured cell]	characteristics[cell line]	characteristics[cell type]	characteristics[individual]	characteristics[biological replicate]	Material Type	assay name	Technology Type	comment[data file]	comment[label]	comment[fractionation method]	comment[technical replicate]	comment[fraction identifier]	comment[ms2 mass analyzer]	comment[instrument]	comment[separation]	comment[file uri]	comment[dissociation method]	comment[collision energy]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[data file]	factor value[organism part]
PXD011839-Sample-79	homo sapiens	blood plasma	not available	not available	normal	not available	not available	not available	not available	not available	not available	not available	1	not available	run 14	proteomic profiling by mass spectrometry	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Beads_24Frc_Frc23.raw	AC=MS:1002038;NT=label free sample	AC=PRIDE:0000564;NT=High-pH reversed-phase chromatography (hpHRP)	1	23	AC=MS:1000484;NT=orbitrap	NT=Q Exactive HF-X;AC=MS:1002877	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	http://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD011839/20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Beads_24Frc_Frc23.raw	AC=PRIDE:0000590;NT=HCD	27 eV	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;TA=N-term;AC=UNIMOD:1;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	20 ppm	20 ppm		blood plasma
PXD011839-Sample-79	homo sapiens	blood plasma	not available	not available	normal	not available	not available	not available	not available	not available	not available	not available	1	not available	run 15	proteomic profiling by mass spectrometry	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Beads_24Frc_Frc24.raw	AC=MS:1002038;NT=label free sample	AC=PRIDE:0000564;NT=High-pH reversed-phase chromatography (hpHRP)	1	24	AC=MS:1000484;NT=orbitrap	NT=Q Exactive HF-X;AC=MS:1002877	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	http://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD011839/20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Beads_24Frc_Frc24.raw	AC=PRIDE:0000590;NT=HCD	27 eV	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;TA=N-term;AC=UNIMOD:1;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	20 ppm	20 ppm		blood plasma
PXD011839-Sample-79	homo sapiens	blood plasma	not available	not available	normal	not available	not available	not available	not available	not available	not available	not available	1	not available	run 16	proteomic profiling by mass spectrometry	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Beads_24Frc_Frc3 (2).raw	AC=MS:1002038;NT=label free sample	AC=PRIDE:0000564;NT=High-pH reversed-phase chromatography (hpHRP)	1	3	AC=MS:1000484;NT=orbitrap	NT=Q Exactive HF-X;AC=MS:1002877	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	http://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD011839/20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Beads_24Frc_Frc3 (2).raw	AC=PRIDE:0000590;NT=HCD	27 eV	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;TA=N-term;AC=UNIMOD:1;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	20 ppm	20 ppm		blood plasma
PXD011839-Sample-79	homo sapiens	blood plasma	not available	not available	normal	not available	not available	not available	not available	not available	not available	not available	1	not available	run 17	proteomic profiling by mass spectrometry	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Beads_24Frc_Frc4 (2).raw	AC=MS:1002038;NT=label free sample	AC=PRIDE:0000564;NT=High-pH reversed-phase chromatography (hpHRP)	1	4	AC=MS:1000484;NT=orbitrap	NT=Q Exactive HF-X;AC=MS:1002877	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	http://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD011839/20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Beads_24Frc_Frc4 (2).raw	AC=PRIDE:0000590;NT=HCD	27 eV	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;TA=N-term;AC=UNIMOD:1;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	20 ppm	20 ppm		blood plasma
PXD011839-Sample-79	homo sapiens	blood plasma	not available	not available	normal	not available	not available	not available	not available	not available	not available	not available	1	not available	run 18	proteomic profiling by mass spectrometry	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Beads_24Frc_Frc5 (2).raw	AC=MS:1002038;NT=label free sample	AC=PRIDE:0000564;NT=High-pH reversed-phase chromatography (hpHRP)	1	5	AC=MS:1000484;NT=orbitrap	NT=Q Exactive HF-X;AC=MS:1002877	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	http://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD011839/20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Beads_24Frc_Frc5 (2).raw	AC=PRIDE:0000590;NT=HCD	27 eV	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;TA=N-term;AC=UNIMOD:1;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	20 ppm	20 ppm		blood plasma
PXD011839-Sample-79	homo sapiens	blood plasma	not available	not available	normal	not available	not available	not available	not available	not available	not available	not available	1	not available	run 19	proteomic profiling by mass spectrometry	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Beads_24Frc_Frc6.raw	AC=MS:1002038;NT=label free sample	AC=PRIDE:0000564;NT=High-pH reversed-phase chromatography (hpHRP)	1	6	AC=MS:1000484;NT=orbitrap	NT=Q Exactive HF-X;AC=MS:1002877	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	http://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD011839/20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Beads_24Frc_Frc6.raw	AC=PRIDE:0000590;NT=HCD	27 eV	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;TA=N-term;AC=UNIMOD:1;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	20 ppm	20 ppm		blood plasma
PXD011839-Sample-79	homo sapiens	blood plasma	not available	not available	normal	not available	not available	not available	not available	not available	not available	not available	1	not available	run 20	proteomic profiling by mass spectrometry	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Beads_24Frc_Frc8.raw	AC=MS:1002038;NT=label free sample	AC=PRIDE:0000564;NT=High-pH reversed-phase chromatography (hpHRP)	1	8	AC=MS:1000484;NT=orbitrap	NT=Q Exactive HF-X;AC=MS:1002877	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	http://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD011839/20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Beads_24Frc_Frc8.raw	AC=PRIDE:0000590;NT=HCD	27 eV	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;TA=N-term;AC=UNIMOD:1;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	20 ppm	20 ppm		blood plasma
PXD011839-Sample-79	homo sapiens	blood plasma	not available	not available	normal	not available	not available	not available	not available	not available	not available	not available	1	not available	run 21	proteomic profiling by mass spectrometry	20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Beads_24Frc_Frc9.raw	AC=MS:1002038;NT=label free sample	AC=PRIDE:0000564;NT=High-pH reversed-phase chromatography (hpHRP)	1	9	AC=MS:1000484;NT=orbitrap	NT=Q Exactive HF-X;AC=MS:1002877	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	http://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD011839/20161006_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Beads_24Frc_Frc9.raw	AC=PRIDE:0000590;NT=HCD	27 eV	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;TA=N-term;AC=UNIMOD:1;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	20 ppm	20 ppm		blood plasma
PXD011839-Sample-79	homo sapiens	blood plasma	not available	not available	normal	not available	not available	not available	not available	not available	not available	not available	1	not available	run 70	proteomic profiling by mass spectrometry	20161008_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Beads_24Frc_Frc12.raw	AC=MS:1002038;NT=label free sample	AC=PRIDE:0000564;NT=High-pH reversed-phase chromatography (hpHRP)	1	12	AC=MS:1000484;NT=orbitrap	NT=Q Exactive HF-X;AC=MS:1002877	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	http://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD011839/20161008_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Beads_24Frc_Frc12.raw	AC=PRIDE:0000590;NT=HCD	27 eV	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;TA=N-term;AC=UNIMOD:1;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	20 ppm	20 ppm		blood plasma
PXD011839-Sample-79	homo sapiens	blood plasma	not available	not available	normal	not available	not available	not available	not available	not available	not available	not available	1	not available	run 71	proteomic profiling by mass spectrometry	20161008_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Beads_24Frc_Frc13.raw	AC=MS:1002038;NT=label free sample	AC=PRIDE:0000564;NT=High-pH reversed-phase chromatography (hpHRP)	1	13	AC=MS:1000484;NT=orbitrap	NT=Q Exactive HF-X;AC=MS:1002877	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	http://ftp.pride.ebi.ac.uk/pride/data/archive/2019/03/PXD011839/20161008_QEp1_PhGe_SA_LC12-14_Top14Top6Depl_Beads_24Frc_Frc13.raw	AC=PRIDE:0000590;NT=HCD	27 eV	NT=Trypsin/P;AC=MS:1001313	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;TA=N-term;AC=UNIMOD:1;MT=variable	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	20 ppm	20 ppm		blood plasma
