source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[cell type]	characteristics[developmental stage]	characteristics[enrichment process]	characteristics[synthetic peptide]	assay name	comment[file uri]	comment[fraction identifier]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[label]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[Enrichment method]	comment[data file]	factor value[Enrichment method]	factor value[synthetic peptide]
Sample 37	Homo sapiens	not applicable	HeLa	African American	31Y	Female	epithelial cervix carcinoma	epithelial	adult	enrichment of phosphorylated Protein	not synthetic	run 37	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/Hela_TiO2_01.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.4 Da	50 ppm	TiO2	Hela_TiO2_01.raw	TiO2	not synthetic
Sample 283	Homo sapiens	not applicable	HeLa	African American	31Y	Female	epithelial cervix carcinoma	epithelial	adult	enrichment of phosphorylated Protein	not synthetic	run 283	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/Hela_TiO2_02.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.4 Da	50 ppm	TiO2	Hela_TiO2_02.raw	TiO2	not synthetic
Sample 163	Homo sapiens	not applicable	HeLa	African American	31Y	Female	epithelial cervix carcinoma	epithelial	adult	enrichment of phosphorylated Protein	not synthetic	run 163	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/Hela_TiO2_03.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.4 Da	50 ppm	TiO2	Hela_TiO2_03.raw	TiO2	not synthetic
Sample 172	Homo sapiens	not applicable	HeLa	African American	31Y	Female	epithelial cervix carcinoma	epithelial	adult	enrichment of phosphorylated Protein	not synthetic	run 172	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/Hela_TiO2_04.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.4 Da	50 ppm	TiO2	Hela_TiO2_04.raw	TiO2	not synthetic
Sample 12	Homo sapiens	not applicable	HeLa	African American	31Y	Female	epithelial cervix carcinoma	epithelial	adult	enrichment of phosphorylated Protein	not synthetic	run 12	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/Hela_TiO2_05.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.4 Da	50 ppm	TiO2	Hela_TiO2_05.raw	TiO2	not synthetic
Sample 262	Homo sapiens	not applicable	HeLa	African American	31Y	Female	epithelial cervix carcinoma	epithelial	adult	enrichment of phosphorylated Protein	not synthetic	run 262	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/Hela_TiO2_06.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.4 Da	50 ppm	TiO2	Hela_TiO2_06.raw	TiO2	not synthetic
Sample 61	Homo sapiens	not applicable	HeLa	African American	31Y	Female	epithelial cervix carcinoma	epithelial	adult	enrichment of phosphorylated Protein	not synthetic	run 61	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/Hela_TiO2_07.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.4 Da	50 ppm	TiO2	Hela_TiO2_07.raw	TiO2	not synthetic
Sample 84	Homo sapiens	not applicable	HeLa	African American	31Y	Female	epithelial cervix carcinoma	epithelial	adult	enrichment of phosphorylated Protein	not synthetic	run 84	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/Hela_TiO2_08.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.4 Da	50 ppm	TiO2	Hela_TiO2_08.raw	TiO2	not synthetic
Sample 189	Homo sapiens	not applicable	HeLa	African American	31Y	Female	epithelial cervix carcinoma	epithelial	adult	enrichment of phosphorylated Protein	not synthetic	run 189	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/Hela_TiO2_09.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.4 Da	50 ppm	TiO2	Hela_TiO2_09.raw	TiO2	not synthetic
Sample 103	Homo sapiens	not applicable	HeLa	African American	31Y	Female	epithelial cervix carcinoma	epithelial	adult	enrichment of phosphorylated Protein	not synthetic	run 103	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/Hela_TiO2_10.raw	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.4 Da	50 ppm	TiO2	Hela_TiO2_10.raw	TiO2	not synthetic
