source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[developmental stage]	characteristics[disease]	characteristics[ancestry category]	characteristics[sex]	characteristics[age]	characteristics[sample amount]	characteristics[treatment]	characteristics[enrichment process]	characteristics[enrichment method]	Material Type	assay name	characteristics[technical replicate]	Technology Type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[cell line]
PXD005366-Sample-3	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	200 ug	none	enrichment of phosphorylated Protein	TiO2	cell	run 11	3	proteomic profiling by mass spectrometry	OR10_20151203_HP_LMR_HeLa_TiO2_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20151203_HP_LMR_HeLa_TiO2_3.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	20 ppm	0.5 Da	HeLa
PXD005366-Sample-3	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	200 ug	none	enrichment of phosphorylated Protein	TiO2	cell	run 12	4	proteomic profiling by mass spectrometry	OR10_20151203_HP_LMR_HeLa_TiO2_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20151203_HP_LMR_HeLa_TiO2_4.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	20 ppm	0.5 Da	HeLa
PXD005366-Sample-4	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	0.1 ug	none	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 13	1	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_0p1ug_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_0p1ug_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	20 ppm	0.5 Da	HeLa
PXD005366-Sample-4	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	0.1 ug	none	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 14	2	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_0p1ug_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_0p1ug_2.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	20 ppm	0.5 Da	HeLa
PXD005366-Sample-4	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	0.1 ug	none	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 15	3	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_0p1ug_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_0p1ug_3.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	20 ppm	0.5 Da	HeLa
PXD005366-Sample-5	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	0.25 ug	none	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 16	1	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_0p25ug_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_0p25ug_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	20 ppm	0.5 Da	HeLa
PXD005366-Sample-5	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	0.25 ug	none	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 17	2	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_0p25ug_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_0p25ug_2.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	20 ppm	0.5 Da	HeLa
PXD005366-Sample-5	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	0.25 ug	none	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 18	3	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_0p25ug_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_0p25ug_3.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	20 ppm	0.5 Da	HeLa
PXD005366-Sample-6	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	0.5 ug	none	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 19	1	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_0p5ug_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_0p5ug_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	20 ppm	0.5 Da	HeLa
PXD005366-Sample-6	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	0.5 ug	none	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 20	2	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_0p5ug_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_0p5ug_2.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	20 ppm	0.5 Da	HeLa
PXD005366-Sample-6	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	0.5 ug	none	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 21	3	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_0p5ug_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_0p5ug_3.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	20 ppm	0.5 Da	HeLa
PXD005366-Sample-7	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	100 ug	none	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 22	1	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_100ug_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_100ug_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	20 ppm	0.5 Da	HeLa
PXD005366-Sample-7	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	100 ug	none	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 23	2	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_100ug_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_100ug_2.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	20 ppm	0.5 Da	HeLa
PXD005366-Sample-7	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	100 ug	none	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 24	3	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_100ug_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_100ug_3.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	20 ppm	0.5 Da	HeLa
PXD005366-Sample-8	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	100 ug	none	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 25	1	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_10ug_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_10ug_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	20 ppm	0.5 Da	HeLa
PXD005366-Sample-8	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	100 ug	none	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 26	2	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_10ug_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_10ug_2.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	20 ppm	0.5 Da	HeLa
