source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[developmental stage]	characteristics[disease]	characteristics[ancestry category]	characteristics[sex]	characteristics[age]	characteristics[phenotype]	characteristics[biological replicate]	characteristics[cell line]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[phenotype]
PXD023505-Sample-4	Homo sapiens	breast	not applicable	not applicable	not applicable	breast cancer	not applicable	female	not applicable	normal	4	MCF 10A-derived cell	cell	run 11	proteomic profiling by mass spectrometry	MCF10_MV1_B.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD023505/MCF10_MV1_B.raw	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Trypsin; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	20 ppm	7 ppm	normal
PXD023505-Sample-4	Homo sapiens	breast	not applicable	not applicable	not applicable	breast cancer	not applicable	female	not applicable	normal	4	MCF 10A-derived cell	cell	run 12	proteomic profiling by mass spectrometry	MCF10_MV1_C.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD023505/MCF10_MV1_C.raw	3	1	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Trypsin; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	20 ppm	7 ppm	normal
PXD023505-Sample-5	Homo sapiens	breast	not applicable	not applicable	not applicable	breast cancer	not applicable	female	not applicable	normal	5	MCF 10A-derived cell	cell	run 13	proteomic profiling by mass spectrometry	MCF10_MV2_A.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD023505/MCF10_MV2_A.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Trypsin; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	20 ppm	7 ppm	normal
PXD023505-Sample-5	Homo sapiens	breast	not applicable	not applicable	not applicable	breast cancer	not applicable	female	not applicable	normal	5	MCF 10A-derived cell	cell	run 14	proteomic profiling by mass spectrometry	MCF10_MV2_B.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD023505/MCF10_MV2_B.raw	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Trypsin; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	20 ppm	7 ppm	normal
PXD023505-Sample-5	Homo sapiens	breast	not applicable	not applicable	not applicable	breast cancer	not applicable	female	not applicable	normal	5	MCF 10A-derived cell	cell	run 15	proteomic profiling by mass spectrometry	MCF10_MV2_C.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD023505/MCF10_MV2_C.raw	3	1	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Trypsin; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	20 ppm	7 ppm	normal
PXD023505-Sample-6	Homo sapiens	breast	not applicable	not applicable	not applicable	breast cancer	not applicable	female	not applicable	normal	6	MCF 10A-derived cell	cell	run 16	proteomic profiling by mass spectrometry	MCF10_MV3_A.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD023505/MCF10_MV3_A.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Trypsin; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	20 ppm	7 ppm	normal
PXD023505-Sample-6	Homo sapiens	breast	not applicable	not applicable	not applicable	breast cancer	not applicable	female	not applicable	normal	6	MCF 10A-derived cell	cell	run 17	proteomic profiling by mass spectrometry	MCF10_MV3_B.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD023505/MCF10_MV3_B.raw	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Trypsin; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	20 ppm	7 ppm	normal
PXD023505-Sample-6	Homo sapiens	breast	not applicable	not applicable	not applicable	breast cancer	not applicable	female	not applicable	normal	6	MCF 10A-derived cell	cell	run 18	proteomic profiling by mass spectrometry	MCF10_MV3_C.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD023505/MCF10_MV3_C.raw	3	1	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Trypsin; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	20 ppm	7 ppm	normal
PXD023505-Sample-7	Homo sapiens	breast	not applicable	not applicable	not applicable	breast cancer	not applicable	female	not applicable	metastatic breast cancer	1	MDA-MB-231 cell	cell	run 19	proteomic profiling by mass spectrometry	MDA_EXO_1_A.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD023505/MDA_EXO_1_A.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Trypsin; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	20 ppm	7 ppm	metastatic breast cancer
PXD023505-Sample-7	Homo sapiens	breast	not applicable	not applicable	not applicable	breast cancer	not applicable	female	not applicable	metastatic breast cancer	1	MDA-MB-231 cell	cell	run 20	proteomic profiling by mass spectrometry	MDA_EXO_1_B.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD023505/MDA_EXO_1_B.raw	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Trypsin; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	20 ppm	7 ppm	metastatic breast cancer
PXD023505-Sample-7	Homo sapiens	breast	not applicable	not applicable	not applicable	breast cancer	not applicable	female	not applicable	metastatic breast cancer	1	MDA-MB-231 cell	cell	run 21	proteomic profiling by mass spectrometry	MDA_EXO_1_C.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD023505/MDA_EXO_1_C.raw	3	1	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Trypsin; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	20 ppm	7 ppm	metastatic breast cancer
PXD023505-Sample-8	Homo sapiens	breast	not applicable	not applicable	not applicable	breast cancer	not applicable	female	not applicable	metastatic breast cancer	2	MDA-MB-231 cell	cell	run 22	proteomic profiling by mass spectrometry	MDA_EXO_2_A.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD023505/MDA_EXO_2_A.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Trypsin; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	20 ppm	7 ppm	metastatic breast cancer
PXD023505-Sample-8	Homo sapiens	breast	not applicable	not applicable	not applicable	breast cancer	not applicable	female	not applicable	metastatic breast cancer	2	MDA-MB-231 cell	cell	run 23	proteomic profiling by mass spectrometry	MDA_EXO_2_B.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD023505/MDA_EXO_2_B.raw	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Trypsin; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	20 ppm	7 ppm	metastatic breast cancer
PXD023505-Sample-8	Homo sapiens	breast	not applicable	not applicable	not applicable	breast cancer	not applicable	female	not applicable	metastatic breast cancer	2	MDA-MB-231 cell	cell	run 24	proteomic profiling by mass spectrometry	MDA_EXO_2_C.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD023505/MDA_EXO_2_C.raw	3	1	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Trypsin; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	20 ppm	7 ppm	metastatic breast cancer
PXD023505-Sample-9	Homo sapiens	breast	not applicable	not applicable	not applicable	breast cancer	not applicable	female	not applicable	metastatic breast cancer	3	MDA-MB-231 cell	cell	run 25	proteomic profiling by mass spectrometry	MDA_EXO_3_A.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD023505/MDA_EXO_3_A.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Trypsin; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	20 ppm	7 ppm	metastatic breast cancer
PXD023505-Sample-9	Homo sapiens	breast	not applicable	not applicable	not applicable	breast cancer	not applicable	female	not applicable	metastatic breast cancer	3	MDA-MB-231 cell	cell	run 26	proteomic profiling by mass spectrometry	MDA_EXO_3_B.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD023505/MDA_EXO_3_B.raw	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Trypsin; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	20 ppm	7 ppm	metastatic breast cancer
PXD023505-Sample-9	Homo sapiens	breast	not applicable	not applicable	not applicable	breast cancer	not applicable	female	not applicable	metastatic breast cancer	3	MDA-MB-231 cell	cell	run 27	proteomic profiling by mass spectrometry	MDA_EXO_3_C.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD023505/MDA_EXO_3_C.raw	3	1	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Trypsin; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	20 ppm	7 ppm	metastatic breast cancer
PXD023505-Sample-10	Homo sapiens	breast	not applicable	not applicable	not applicable	breast cancer	not applicable	female	not applicable	metastatic breast cancer	4	MDA-MB-231 cell	cell	run 28	proteomic profiling by mass spectrometry	MDA_MV_1_A.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD023505/MDA_MV_1_A.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Trypsin; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	20 ppm	7 ppm	metastatic breast cancer
PXD023505-Sample-10	Homo sapiens	breast	not applicable	not applicable	not applicable	breast cancer	not applicable	female	not applicable	metastatic breast cancer	4	MDA-MB-231 cell	cell	run 29	proteomic profiling by mass spectrometry	MDA_MV_1_B.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD023505/MDA_MV_1_B.raw	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Trypsin; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	20 ppm	7 ppm	metastatic breast cancer
PXD023505-Sample-10	Homo sapiens	breast	not applicable	not applicable	not applicable	breast cancer	not applicable	female	not applicable	metastatic breast cancer	4	MDA-MB-231 cell	cell	run 30	proteomic profiling by mass spectrometry	MDA_MV_1_C.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD023505/MDA_MV_1_C.raw	3	1	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Trypsin; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	20 ppm	7 ppm	metastatic breast cancer
PXD023505-Sample-11	Homo sapiens	breast	not applicable	not applicable	not applicable	breast cancer	not applicable	female	not applicable	metastatic breast cancer	5	MDA-MB-231 cell	cell	run 31	proteomic profiling by mass spectrometry	MDA_MV_2_A.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD023505/MDA_MV_2_A.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Trypsin; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	20 ppm	7 ppm	metastatic breast cancer
PXD023505-Sample-11	Homo sapiens	breast	not applicable	not applicable	not applicable	breast cancer	not applicable	female	not applicable	metastatic breast cancer	5	MDA-MB-231 cell	cell	run 32	proteomic profiling by mass spectrometry	MDA_MV_2_B.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD023505/MDA_MV_2_B.raw	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Trypsin; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	20 ppm	7 ppm	metastatic breast cancer
PXD023505-Sample-11	Homo sapiens	breast	not applicable	not applicable	not applicable	breast cancer	not applicable	female	not applicable	metastatic breast cancer	5	MDA-MB-231 cell	cell	run 33	proteomic profiling by mass spectrometry	MDA_MV_2_C.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD023505/MDA_MV_2_C.raw	3	1	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Trypsin; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	20 ppm	7 ppm	metastatic breast cancer
PXD023505-Sample-12	Homo sapiens	breast	not applicable	not applicable	not applicable	breast cancer	not applicable	female	not applicable	metastatic breast cancer	6	MDA-MB-231 cell	cell	run 34	proteomic profiling by mass spectrometry	MDA_MV_3_A.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD023505/MDA_MV_3_A.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Trypsin; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	20 ppm	7 ppm	metastatic breast cancer
PXD023505-Sample-12	Homo sapiens	breast	not applicable	not applicable	not applicable	breast cancer	not applicable	female	not applicable	metastatic breast cancer	6	MDA-MB-231 cell	cell	run 35	proteomic profiling by mass spectrometry	MDA_MV_3_B.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD023505/MDA_MV_3_B.raw	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Trypsin; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	20 ppm	7 ppm	metastatic breast cancer
PXD023505-Sample-12	Homo sapiens	breast	not applicable	not applicable	not applicable	breast cancer	not applicable	female	not applicable	metastatic breast cancer	6	MDA-MB-231 cell	cell	run 36	proteomic profiling by mass spectrometry	MDA_MV_3_C.raw	http://ftp.pride.ebi.ac.uk/pride/data/archive/2021/01/PXD023505/MDA_MV_3_C.raw	3	1	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Trypsin; AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	"NT=Oxidation;AC=UNIMOD:35;TA=M,P;MT=Variable"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	20 ppm	7 ppm	metastatic breast cancer
