Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[ancestry category]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[disease]	Characteristics[cell type]	Characteristics[biological replicate]	Assay Name	Comment[fraction identifier]	Comment[technical replicate]	Comment[file uri]	Comment[instrument]	Comment[MS2 analyzer type]	Comment[label]	Comment[cleavage agent details]	Comment[modification parameters]	Comment[modification parameters]	Comment[modification parameters]	Comment[collision energy]	Comment[precursor mass tolerance]	Comment[fragment mass tolerance]	Comment[instrument]	factor value[cell fraction]
PXD018230-Sample-11	Homo sapiens	intestines	not available	not available	not available	not available	colorectal cancer (CRC)	cell	1	run 11	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD018230/20191011_QE1_TM_TSC03_high_R1.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	not available	not available	not available	20191011_QE1_TM_TSC03_high_R1.raw	mitochondrial membrane potential (MMP) high
PXD018230-Sample-12	Homo sapiens	intestines	not available	not available	not available	not available	colorectal cancer (CRC)	cell	1	run 12	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD018230/20191011_QE1_TM_TSC03_high_R2.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	not available	not available	not available	20191011_QE1_TM_TSC03_high_R2.raw	mitochondrial membrane potential (MMP) high
PXD018230-Sample-13	Homo sapiens	intestines	not available	not available	not available	not available	colorectal cancer (CRC)	cell	1	run 13	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD018230/20191011_QE1_TM_TSC03_high_R3.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	not available	not available	not available	20191011_QE1_TM_TSC03_high_R3.raw	mitochondrial membrane potential (MMP) high
PXD018230-Sample-14	Homo sapiens	intestines	not available	not available	not available	not available	colorectal cancer (CRC)	cell	1	run 14	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD018230/20191011_QE1_TM_TSC03_low_R0.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	not available	not available	not available	20191011_QE1_TM_TSC03_low_R0.raw	mitochondrial membrane potential (MMP) low
PXD018230-Sample-15	Homo sapiens	intestines	not available	not available	not available	not available	colorectal cancer (CRC)	cell	1	run 15	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD018230/20191011_QE1_TM_TSC03_low_R1.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	not available	not available	not available	20191011_QE1_TM_TSC03_low_R1.raw	mitochondrial membrane potential (MMP) low
PXD018230-Sample-16	Homo sapiens	intestines	not available	not available	not available	not available	colorectal cancer (CRC)	cell	1	run 16	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD018230/20191011_QE1_TM_TSC03_low_R2.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	not available	not available	not available	20191011_QE1_TM_TSC03_low_R2.raw	mitochondrial membrane potential (MMP) low
PXD018230-Sample-17	Homo sapiens	intestines	not available	not available	not available	not available	colorectal cancer (CRC)	cell	1	run 17	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD018230/20191011_QE1_TM_TSC03_low_R3.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	not available	not available	not available	20191011_QE1_TM_TSC03_low_R3.raw	mitochondrial membrane potential (MMP) low
PXD018230-Sample-18	Homo sapiens	intestines	not available	not available	not available	not available	colorectal cancer (CRC)	cell	1	run 18	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD018230/20191011_QE1_TM_TSC08_high_R0.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	not available	not available	not available	20191011_QE1_TM_TSC08_high_R0.raw	mitochondrial membrane potential (MMP) high
PXD018230-Sample-19	Homo sapiens	intestines	not available	not available	not available	not available	colorectal cancer (CRC)	cell	1	run 19	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD018230/20191011_QE1_TM_TSC08_high_R1.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	not available	not available	not available	20191011_QE1_TM_TSC08_high_R1.raw	mitochondrial membrane potential (MMP) high
PXD018230-Sample-20	Homo sapiens	intestines	not available	not available	not available	not available	colorectal cancer (CRC)	cell	1	run 20	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD018230/20191011_QE1_TM_TSC08_high_R2.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	not available	not available	not available	20191011_QE1_TM_TSC08_high_R2.raw	mitochondrial membrane potential (MMP) high
PXD018230-Sample-21	Homo sapiens	intestines	not available	not available	not available	not available	colorectal cancer (CRC)	cell	1	run 21	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD018230/20191011_QE1_TM_TSC08_high_R3.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	not available	not available	not available	20191011_QE1_TM_TSC08_high_R3.raw	mitochondrial membrane potential (MMP) high
PXD018230-Sample-22	Homo sapiens	intestines	not available	not available	not available	not available	colorectal cancer (CRC)	cell	1	run 22	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD018230/20191011_QE1_TM_TSC08_low_R0.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	not available	not available	not available	20191011_QE1_TM_TSC08_low_R0.raw	mitochondrial membrane potential (MMP) low
PXD018230-Sample-23	Homo sapiens	intestines	not available	not available	not available	not available	colorectal cancer (CRC)	cell	1	run 23	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD018230/20191011_QE1_TM_TSC08_low_R1.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	not available	not available	not available	20191011_QE1_TM_TSC08_low_R1.raw	mitochondrial membrane potential (MMP) low
PXD018230-Sample-24	Homo sapiens	intestines	not available	not available	not available	not available	colorectal cancer (CRC)	cell	1	run 24	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD018230/20191011_QE1_TM_TSC08_low_R2.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	not available	not available	not available	20191011_QE1_TM_TSC08_low_R2.raw	mitochondrial membrane potential (MMP) low
PXD018230-Sample-25	Homo sapiens	intestines	not available	not available	not available	not available	colorectal cancer (CRC)	cell	1	run 25	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD018230/20191011_QE1_TM_TSC08_low_R3.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	not available	not available	not available	20191011_QE1_TM_TSC08_low_R3.raw	mitochondrial membrane potential (MMP) low
PXD018230-Sample-26	Homo sapiens	intestines	not available	not available	not available	not available	colorectal cancer (CRC)	cell	1	run 26	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD018230/20191011_QE1_TM_TSC23_high_R0.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	not available	not available	not available	20191011_QE1_TM_TSC23_high_R0.raw	mitochondrial membrane potential (MMP) high
PXD018230-Sample-27	Homo sapiens	intestines	not available	not available	not available	not available	colorectal cancer (CRC)	cell	1	run 27	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD018230/20191011_QE1_TM_TSC23_high_R1.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	not available	not available	not available	20191011_QE1_TM_TSC23_high_R1.raw	mitochondrial membrane potential (MMP) high
PXD018230-Sample-28	Homo sapiens	intestines	not available	not available	not available	not available	colorectal cancer (CRC)	cell	1	run 28	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD018230/20191011_QE1_TM_TSC23_high_R2.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	not available	not available	not available	20191011_QE1_TM_TSC23_high_R2.raw	mitochondrial membrane potential (MMP) high
PXD018230-Sample-29	Homo sapiens	intestines	not available	not available	not available	not available	colorectal cancer (CRC)	cell	1	run 29	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD018230/20191011_QE1_TM_TSC23_high_R3.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	not available	not available	not available	20191011_QE1_TM_TSC23_high_R3.raw	mitochondrial membrane potential (MMP) high
PXD018230-Sample-30	Homo sapiens	intestines	not available	not available	not available	not available	colorectal cancer (CRC)	cell	1	run 30	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD018230/20191011_QE1_TM_TSC23_low_R0.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	not available	not available	not available	20191011_QE1_TM_TSC23_low_R0.raw	mitochondrial membrane potential (MMP) low
PXD018230-Sample-31	Homo sapiens	intestines	not available	not available	not available	not available	colorectal cancer (CRC)	cell	1	run 31	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD018230/20191011_QE1_TM_TSC23_low_R1.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	not available	not available	not available	20191011_QE1_TM_TSC23_low_R1.raw	mitochondrial membrane potential (MMP) low
PXD018230-Sample-32	Homo sapiens	intestines	not available	not available	not available	not available	colorectal cancer (CRC)	cell	1	run 32	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD018230/20191011_QE1_TM_TSC23_low_R2.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	not available	not available	not available	20191011_QE1_TM_TSC23_low_R2.raw	mitochondrial membrane potential (MMP) low
PXD018230-Sample-33	Homo sapiens	intestines	not available	not available	not available	not available	colorectal cancer (CRC)	cell	1	run 33	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD018230/20191011_QE1_TM_TSC23_low_R3.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	not available	not available	not available	20191011_QE1_TM_TSC23_low_R3.raw	mitochondrial membrane potential (MMP) low
PXD018230-Sample-34	Homo sapiens	intestines	not available	not available	not available	not available	colorectal cancer (CRC)	cell	1	run 34	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD018230/20191011_QE1_TM_TSC54_high_R0.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	not available	not available	not available	20191011_QE1_TM_TSC54_high_R0.raw	mitochondrial membrane potential (MMP) high
PXD018230-Sample-35	Homo sapiens	intestines	not available	not available	not available	not available	colorectal cancer (CRC)	cell	1	run 35	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD018230/20191011_QE1_TM_TSC54_high_R1.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	not available	not available	not available	20191011_QE1_TM_TSC54_high_R1.raw	mitochondrial membrane potential (MMP) high
PXD018230-Sample-36	Homo sapiens	intestines	not available	not available	not available	not available	colorectal cancer (CRC)	cell	1	run 36	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD018230/20191011_QE1_TM_TSC54_high_R2.raw	NT=Q Exactive HF;AC=MS:1002523	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=Fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=Variable	not available	not available	not available	20191011_QE1_TM_TSC54_high_R2.raw	mitochondrial membrane potential (MMP) high
