source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	characteristics[cell line]	technology type	assay name	comment[technical replicate]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]
PXD014391-sample-20	Homo sapiens	not available	Epithelial cell	Breast cancer	1	MCF7 (ATCC Nr HTB-22)?	proteomic profiling by mass spectrometry	run20	1	HF394_MSQ1471_20180924_HannahScott_20	HF394_MSQ1471_20180924_HannahScott_20	10	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	 10 ppm	0.05 Da	not available
PXD014391-sample-21	Homo sapiens	not available	Epithelial cell	Breast cancer	1	MCF7 (ATCC Nr HTB-22)?	proteomic profiling by mass spectrometry	run21	1	HF394_MSQ1471_20180924_HannahScott_21	HF394_MSQ1471_20180924_HannahScott_21	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	 10 ppm	0.05 Da	not available
PXD014391-sample-22	Homo sapiens	not available	Epithelial cell	Breast cancer	1	MCF7 (ATCC Nr HTB-22)?	proteomic profiling by mass spectrometry	run22	1	HF394_MSQ1471_20180924_HannahScott_22	HF394_MSQ1471_20180924_HannahScott_22	2	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	 10 ppm	0.05 Da	not available
PXD014391-sample-23	Homo sapiens	not available	Epithelial cell	Breast cancer	1	MCF7 (ATCC Nr HTB-22)?	proteomic profiling by mass spectrometry	run23	1	HF394_MSQ1471_20180924_HannahScott_23	HF394_MSQ1471_20180924_HannahScott_23	3	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	 10 ppm	0.05 Da	not available
PXD014391-sample-24	Homo sapiens	not available	Epithelial cell	Breast cancer	1	MCF7 (ATCC Nr HTB-22)?	proteomic profiling by mass spectrometry	run24	1	HF394_MSQ1471_20180924_HannahScott_24	HF394_MSQ1471_20180924_HannahScott_24	4	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	 10 ppm	0.05 Da	not available
PXD014391-sample-25	Homo sapiens	not available	Epithelial cell	Breast cancer	1	MCF7 (ATCC Nr HTB-22)?	proteomic profiling by mass spectrometry	run25	1	HF394_MSQ1471_20180924_HannahScott_25	HF394_MSQ1471_20180924_HannahScott_25	5	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	 10 ppm	0.05 Da	not available
PXD014391-sample-26	Homo sapiens	not available	Epithelial cell	Breast cancer	1	MCF7 (ATCC Nr HTB-22)?	proteomic profiling by mass spectrometry	run26	1	HF394_MSQ1471_20180924_HannahScott_26	HF394_MSQ1471_20180924_HannahScott_26	6	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	 10 ppm	0.05 Da	not available
PXD014391-sample-27	Homo sapiens	not available	Epithelial cell	Breast cancer	1	MCF7 (ATCC Nr HTB-22)?	proteomic profiling by mass spectrometry	run27	1	HF394_MSQ1471_20180924_HannahScott_27	HF394_MSQ1471_20180924_HannahScott_27	7	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	 10 ppm	0.05 Da	not available
PXD014391-sample-28	Homo sapiens	not available	Epithelial cell	Breast cancer	1	MCF7 (ATCC Nr HTB-22)?	proteomic profiling by mass spectrometry	run28	1	HF394_MSQ1471_20180924_HannahScott_28	HF394_MSQ1471_20180924_HannahScott_28	8	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	 10 ppm	0.05 Da	not available
PXD014391-sample-29	Homo sapiens	not available	Epithelial cell	Breast cancer	1	MCF7 (ATCC Nr HTB-22)?	proteomic profiling by mass spectrometry	run29	1	HF394_MSQ1471_20180924_HannahScott_29	HF394_MSQ1471_20180924_HannahScott_29	9	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	 10 ppm	0.05 Da	not available
PXD014391-sample-30	Homo sapiens	not available	Epithelial cell	Breast cancer	1	MCF7 (ATCC Nr HTB-22)?	proteomic profiling by mass spectrometry	run30	1	HF394_MSQ1471_20180924_HannahScott_30	HF394_MSQ1471_20180924_HannahScott_30	10	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	 10 ppm	0.05 Da	not available
PXD014391-sample-31	Homo sapiens	not available	Epithelial cell	Breast cancer	1	MCF7 (ATCC Nr HTB-22)?	proteomic profiling by mass spectrometry	run31	1	HF394_MSQ1471_20180924_HannahScott_31	HF394_MSQ1471_20180924_HannahScott_31	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	 10 ppm	0.05 Da	not available
PXD014391-sample-32	Homo sapiens	not available	Epithelial cell	Breast cancer	1	MCF7 (ATCC Nr HTB-22)?	proteomic profiling by mass spectrometry	run32	1	HF394_MSQ1471_20180924_HannahScott_32	HF394_MSQ1471_20180924_HannahScott_32	2	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	 10 ppm	0.05 Da	not available
PXD014391-sample-33	Homo sapiens	not available	Epithelial cell	Breast cancer	1	MCF7 (ATCC Nr HTB-22)?	proteomic profiling by mass spectrometry	run33	1	HF394_MSQ1471_20180924_HannahScott_33	HF394_MSQ1471_20180924_HannahScott_33	3	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	 10 ppm	0.05 Da	not available
PXD014391-sample-34	Homo sapiens	not available	Epithelial cell	Breast cancer	1	MCF7 (ATCC Nr HTB-22)?	proteomic profiling by mass spectrometry	run34	1	HF394_MSQ1471_20180924_HannahScott_34	HF394_MSQ1471_20180924_HannahScott_34	4	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	 10 ppm	0.05 Da	not available
PXD014391-sample-35	Homo sapiens	not available	Epithelial cell	Breast cancer	1	MCF7 (ATCC Nr HTB-22)?	proteomic profiling by mass spectrometry	run35	1	HF394_MSQ1471_20180924_HannahScott_35	HF394_MSQ1471_20180924_HannahScott_35	5	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=Q,N;AC=UNIMOD:7"	NT=Carbamidomethyl;MT=Variable;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	 10 ppm	0.05 Da	not available
