Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[ancestry category]	Characteristics[sex]	Characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	Characteristics[biological replicate]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fragment mass tolerance]	factor value[time]
PXD001432-Sample-11	homo sapiens	T lymphocyte	T lymphocyte	not available	not available	not available	not available	not available	not available	organism part	run 11	proteomic profiling by mass spectrometry	SUK5556A14MA11__014-Spender3_6hT SUK5556A14MA11-40-215780.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001432/SUK5556A14MA11__014-Spender3_6hT SUK5556A14MA11-40-215780.raw	3	AC=MS:1002038;NT=label free sample	AC=BAO:0150067;NT=LTQ Orbitrap XL	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=Variable;AC=UNIMOD:7	NT=Oxidation;MT=Variable;TA=Variable;AC=Unimod:35	not availiable	10 ppm	0.6Da	not availiable	6 h
PXD001432-Sample-12	homo sapiens	T lymphocyte	T lymphocyte	not available	not available	not available	not available	not available	not available	organism part	run 12	proteomic profiling by mass spectrometry	SUK5556A15MA11__015-Spender4_6hT SUK5556A15MA11-40-215786.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001432/SUK5556A15MA11__015-Spender4_6hT SUK5556A15MA11-40-215786.raw	4	AC=MS:1002038;NT=label free sample	AC=BAO:0150067;NT=LTQ Orbitrap XL	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=Variable;AC=UNIMOD:7	NT=Oxidation;MT=Variable;TA=Variable;AC=Unimod:35	not availiable	10 ppm	0.6Da	not availiable	6 h
PXD001432-Sample-13	homo sapiens	T lymphocyte	T lymphocyte	not available	not available	not available	not available	not available	not available	organism part	run 13	proteomic profiling by mass spectrometry	SUK5556A17MA12__017-Spender1_12hT SUK5556A17MA12-40-215935.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001432/SUK5556A17MA12__017-Spender1_12hT SUK5556A17MA12-40-215935.raw	1	AC=MS:1002038;NT=label free sample	AC=BAO:0150067;NT=LTQ Orbitrap XL	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=Variable;AC=UNIMOD:7	NT=Oxidation;MT=Variable;TA=Variable;AC=Unimod:35	not availiable	10 ppm	0.6Da	not availiable	12 h
PXD001432-Sample-14	homo sapiens	T lymphocyte	T lymphocyte	not available	not available	not available	not available	not available	not available	organism part	run 14	proteomic profiling by mass spectrometry	SUK5556A18MA12__018-Spender2_12hT SUK5556A18MA12-40-215939.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001432/SUK5556A18MA12__018-Spender2_12hT SUK5556A18MA12-40-215939.raw	2	AC=MS:1002038;NT=label free sample	AC=BAO:0150067;NT=LTQ Orbitrap XL	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=Variable;AC=UNIMOD:7	NT=Oxidation;MT=Variable;TA=Variable;AC=Unimod:35	not availiable	10 ppm	0.6Da	not availiable	12 h
PXD001432-Sample-15	homo sapiens	T lymphocyte	T lymphocyte	not available	not available	not available	not available	not available	not available	organism part	run 15	proteomic profiling by mass spectrometry	SUK5556A19MA12__019-Spender3_12hT SUK5556A19MA12-40-215943.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001432/SUK5556A19MA12__019-Spender3_12hT SUK5556A19MA12-40-215943.raw	3	AC=MS:1002038;NT=label free sample	AC=BAO:0150067;NT=LTQ Orbitrap XL	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=Variable;AC=UNIMOD:7	NT=Oxidation;MT=Variable;TA=Variable;AC=Unimod:35	not availiable	10 ppm	0.6Da	not availiable	12 h
PXD001432-Sample-16	homo sapiens	T lymphocyte	T lymphocyte	not available	not available	not available	not available	not available	not available	organism part	run 16	proteomic profiling by mass spectrometry	SUK5556A20MA12__020-Spender4_12hT SUK5556A20MA12-40-215949.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001432/SUK5556A20MA12__020-Spender4_12hT SUK5556A20MA12-40-215949.raw	4	AC=MS:1002038;NT=label free sample	AC=BAO:0150067;NT=LTQ Orbitrap XL	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=Variable;AC=UNIMOD:7	NT=Oxidation;MT=Variable;TA=Variable;AC=Unimod:35	not availiable	10 ppm	0.6Da	not availiable	12 h
PXD001432-Sample-17	homo sapiens	T lymphocyte	T lymphocyte	not available	not available	not available	not available	not available	not available	organism part	run 17	proteomic profiling by mass spectrometry	SUK5556A22MA20__022-Spender1_24hT SUK5556A22MA20-40-215912.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001432/SUK5556A22MA20__022-Spender1_24hT SUK5556A22MA20-40-215912.raw	1	AC=MS:1002038;NT=label free sample	AC=BAO:0150067;NT=LTQ Orbitrap XL	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=Variable;AC=UNIMOD:7	NT=Oxidation;MT=Variable;TA=Variable;AC=Unimod:35	not availiable	10 ppm	0.6Da	not availiable	24 h
PXD001432-Sample-18	homo sapiens	T lymphocyte	T lymphocyte	not available	not available	not available	not available	not available	not available	organism part	run 18	proteomic profiling by mass spectrometry	SUK5556A23MA12__023-Spender2_24hT SUK5556A23MA12-40-215916.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001432/SUK5556A23MA12__023-Spender2_24hT SUK5556A23MA12-40-215916.raw	2	AC=MS:1002038;NT=label free sample	AC=BAO:0150067;NT=LTQ Orbitrap XL	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=Variable;AC=UNIMOD:7	NT=Oxidation;MT=Variable;TA=Variable;AC=Unimod:35	not availiable	10 ppm	0.6Da	not availiable	24 h
PXD001432-Sample-19	homo sapiens	T lymphocyte	T lymphocyte	not available	not available	not available	not available	not available	not available	organism part	run 19	proteomic profiling by mass spectrometry	SUK5556A24MA12__024-Spender3_24hT SUK5556A24MA12-40-215923.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001432/SUK5556A24MA12__024-Spender3_24hT SUK5556A24MA12-40-215923.raw	3	AC=MS:1002038;NT=label free sample	AC=BAO:0150067;NT=LTQ Orbitrap XL	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=Variable;AC=UNIMOD:7	NT=Oxidation;MT=Variable;TA=Variable;AC=Unimod:35	not availiable	10 ppm	0.6Da	not availiable	24 h
PXD001432-Sample-20	homo sapiens	T lymphocyte	T lymphocyte	not available	not available	not available	not available	not available	not available	organism part	run 20	proteomic profiling by mass spectrometry	SUK5556A25MA12__025-Spender4_24hT SUK5556A25MA12-40-215926.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001432/SUK5556A25MA12__025-Spender4_24hT SUK5556A25MA12-40-215926.raw	4	AC=MS:1002038;NT=label free sample	AC=BAO:0150067;NT=LTQ Orbitrap XL	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=Variable;AC=UNIMOD:7	NT=Oxidation;MT=Variable;TA=Variable;AC=Unimod:35	not availiable	10 ppm	0.6Da	not availiable	24 h
PXD001432-Sample-21	homo sapiens	T lymphocyte	T lymphocyte	not available	not available	not available	not available	not available	not available	organism part	run 21	proteomic profiling by mass spectrometry	SUK5556A27MA13__027-Spender1_48hT SUK5556A27MA13-40-215891.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001432/SUK5556A27MA13__027-Spender1_48hT SUK5556A27MA13-40-215891.raw	1	AC=MS:1002038;NT=label free sample	AC=BAO:0150067;NT=LTQ Orbitrap XL	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=Variable;AC=UNIMOD:7	NT=Oxidation;MT=Variable;TA=Variable;AC=Unimod:35	not availiable	10 ppm	0.6Da	not availiable	48 h
PXD001432-Sample-22	homo sapiens	T lymphocyte	T lymphocyte	not available	not available	not available	not available	not available	not available	organism part	run 22	proteomic profiling by mass spectrometry	SUK5556A28MA13__028-Spender2_48hT SUK5556A28MA13-40-215895.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001432/SUK5556A28MA13__028-Spender2_48hT SUK5556A28MA13-40-215895.raw	2	AC=MS:1002038;NT=label free sample	AC=BAO:0150067;NT=LTQ Orbitrap XL	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=Variable;AC=UNIMOD:7	NT=Oxidation;MT=Variable;TA=Variable;AC=Unimod:35	not availiable	10 ppm	0.6Da	not availiable	48 h
PXD001432-Sample-23	homo sapiens	T lymphocyte	T lymphocyte	not available	not available	not available	not available	not available	not available	organism part	run 23	proteomic profiling by mass spectrometry	SUK5556A29MA9__029-Spender3_48hT SUK5556A29MA9-40-215900.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001432/SUK5556A29MA9__029-Spender3_48hT SUK5556A29MA9-40-215900.raw	3	AC=MS:1002038;NT=label free sample	AC=BAO:0150067;NT=LTQ Orbitrap XL	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=Variable;AC=UNIMOD:7	NT=Oxidation;MT=Variable;TA=Variable;AC=Unimod:35	not availiable	10 ppm	0.6Da	not availiable	48 h
PXD001432-Sample-24	homo sapiens	T lymphocyte	T lymphocyte	not available	not available	not available	not available	not available	not available	organism part	run 24	proteomic profiling by mass spectrometry	SUK5556A30MA8__030-Spender4_48hT SUK5556A30MA8-40-215901.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001432/SUK5556A30MA8__030-Spender4_48hT SUK5556A30MA8-40-215901.raw	4	AC=MS:1002038;NT=label free sample	AC=BAO:0150067;NT=LTQ Orbitrap XL	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=Variable;AC=UNIMOD:7	NT=Oxidation;MT=Variable;TA=Variable;AC=Unimod:35	not availiable	10 ppm	0.6Da	not availiable	48 h
PXD001432-Sample-25	homo sapiens	T lymphocyte	T lymphocyte	not available	not available	not available	not available	not available	not available	organism part	run 25	proteomic profiling by mass spectrometry	SUK5557A2MA2__002-Spender1_0hP SUK5557A2MA2-40-215291.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001432/SUK5557A2MA2__002-Spender1_0hP SUK5557A2MA2-40-215291.raw	1	AC=MS:1002038;NT=label free sample	AC=BAO:0150067;NT=LTQ Orbitrap XL	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=Variable;AC=UNIMOD:7	NT=Oxidation;MT=Variable;TA=Variable;AC=Unimod:35	not availiable	10 ppm	0.6Da	not availiable	0 h
PXD001432-Sample-26	homo sapiens	T lymphocyte	T lymphocyte	not available	not available	not available	not available	not available	not available	organism part	run 26	proteomic profiling by mass spectrometry	SUK5557A3MA2__003-Spender2_0hP SUK5557A3MA2-40-215292.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001432/SUK5557A3MA2__003-Spender2_0hP SUK5557A3MA2-40-215292.raw	2	AC=MS:1002038;NT=label free sample	AC=BAO:0150067;NT=LTQ Orbitrap XL	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=Variable;AC=UNIMOD:7	NT=Oxidation;MT=Variable;TA=Variable;AC=Unimod:35	not availiable	10 ppm	0.6Da	not availiable	0 h
PXD001432-Sample-27	homo sapiens	T lymphocyte	T lymphocyte	not available	not available	not available	not available	not available	not available	organism part	run 27	proteomic profiling by mass spectrometry	SUK5557A4MA2__004-Spender3_0hP SUK5557A4MA2-40-215293.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001432/SUK5557A4MA2__004-Spender3_0hP SUK5557A4MA2-40-215293.raw	3	AC=MS:1002038;NT=label free sample	AC=BAO:0150067;NT=LTQ Orbitrap XL	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=Variable;AC=UNIMOD:7	NT=Oxidation;MT=Variable;TA=Variable;AC=Unimod:35	not availiable	10 ppm	0.6Da	not availiable	0 h
PXD001432-Sample-28	homo sapiens	T lymphocyte	T lymphocyte	not available	not available	not available	not available	not available	not available	organism part	run 28	proteomic profiling by mass spectrometry	SUK5557A5MA2__005-Spender4_0hP SUK5557A5MA2-40-215294.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001432/SUK5557A5MA2__005-Spender4_0hP SUK5557A5MA2-40-215294.raw	4	AC=MS:1002038;NT=label free sample	AC=BAO:0150067;NT=LTQ Orbitrap XL	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=Variable;AC=UNIMOD:7	NT=Oxidation;MT=Variable;TA=Variable;AC=Unimod:35	not availiable	10 ppm	0.6Da	not availiable	0 h
PXD001432-Sample-29	homo sapiens	T lymphocyte	T lymphocyte	not available	not available	not available	not available	not available	not available	organism part	run 29	proteomic profiling by mass spectrometry	SUK5557A7MA2__007-Spender1_3hP SUK5557A7MA2-40-215296.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001432/SUK5557A7MA2__007-Spender1_3hP SUK5557A7MA2-40-215296.raw	1	AC=MS:1002038;NT=label free sample	AC=BAO:0150067;NT=LTQ Orbitrap XL	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=Variable;AC=UNIMOD:7	NT=Oxidation;MT=Variable;TA=Variable;AC=Unimod:35	not availiable	10 ppm	0.6Da	not availiable	3 h
PXD001432-Sample-30	homo sapiens	T lymphocyte	T lymphocyte	not available	not available	not available	not available	not available	not available	organism part	run 30	proteomic profiling by mass spectrometry	SUK5557A8MA2__008-Spender2_3hP SUK5557A8MA2-40-215297.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001432/SUK5557A8MA2__008-Spender2_3hP SUK5557A8MA2-40-215297.raw	2	AC=MS:1002038;NT=label free sample	AC=BAO:0150067;NT=LTQ Orbitrap XL	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=Variable;AC=UNIMOD:7	NT=Oxidation;MT=Variable;TA=Variable;AC=Unimod:35	not availiable	10 ppm	0.6Da	not availiable	3 h
PXD001432-Sample-31	homo sapiens	T lymphocyte	T lymphocyte	not available	not available	not available	not available	not available	not available	organism part	run 31	proteomic profiling by mass spectrometry	SUK5557A9MA2__009-Spender3_3hP SUK5557A9MA2-40-215387.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001432/SUK5557A9MA2__009-Spender3_3hP SUK5557A9MA2-40-215387.raw	3	AC=MS:1002038;NT=label free sample	AC=BAO:0150067;NT=LTQ Orbitrap XL	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=Variable;AC=UNIMOD:7	NT=Oxidation;MT=Variable;TA=Variable;AC=Unimod:35	not availiable	10 ppm	0.6Da	not availiable	3 h
PXD001432-Sample-32	homo sapiens	T lymphocyte	T lymphocyte	not available	not available	not available	not available	not available	not available	organism part	run 32	proteomic profiling by mass spectrometry	SUK5557A10MA2__010-Spender4_3hP SUK5557A10MA2-40-215402.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001432/SUK5557A10MA2__010-Spender4_3hP SUK5557A10MA2-40-215402.raw	4	AC=MS:1002038;NT=label free sample	AC=BAO:0150067;NT=LTQ Orbitrap XL	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=Variable;AC=UNIMOD:7	NT=Oxidation;MT=Variable;TA=Variable;AC=Unimod:35	not availiable	10 ppm	0.6Da	not availiable	3 h
PXD001432-Sample-33	homo sapiens	T lymphocyte	T lymphocyte	not available	not available	not available	not available	not available	not available	organism part	run 33	proteomic profiling by mass spectrometry	SUK5557A12MA2__012-Spender1_6hP SUK5557A12MA2-40-215404.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001432/SUK5557A12MA2__012-Spender1_6hP SUK5557A12MA2-40-215404.raw	1	AC=MS:1002038;NT=label free sample	AC=BAO:0150067;NT=LTQ Orbitrap XL	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=Variable;AC=UNIMOD:7	NT=Oxidation;MT=Variable;TA=Variable;AC=Unimod:35	not availiable	10 ppm	0.6Da	not availiable	6 h
PXD001432-Sample-34	homo sapiens	T lymphocyte	T lymphocyte	not available	not available	not available	not available	not available	not available	organism part	run 34	proteomic profiling by mass spectrometry	SUK5557A13MA2__013-Spender2_6hP SUK5557A13MA2-40-215403.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001432/SUK5557A13MA2__013-Spender2_6hP SUK5557A13MA2-40-215403.raw	2	AC=MS:1002038;NT=label free sample	AC=BAO:0150067;NT=LTQ Orbitrap XL	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=Variable;AC=UNIMOD:7	NT=Oxidation;MT=Variable;TA=Variable;AC=Unimod:35	not availiable	10 ppm	0.6Da	not availiable	6 h
