Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[ancestry category]	Characteristics[sex]	Characteristics[age]	Characteristics[biological replicate]	Material Type	assay name	technology type	comment[uri]	comment[data file]	comment[technical replicate]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[collision energy]	comment[fragment mass tolerance]
PXD022469-sample-14	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	1	organism part	run 14	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_21.raw	AP051018_Gurjeet_LA_Hu14_21.raw	2	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00438	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-15	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	1	organism part	run 15	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_22.raw	AP051018_Gurjeet_LA_Hu14_22.raw	3	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00439	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-16	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	2	organism part	run 16	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_23.raw	AP051018_Gurjeet_LA_Hu14_23.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00440	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-17	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	2	organism part	run 17	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_24.raw	AP051018_Gurjeet_LA_Hu14_24.raw	2	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00441	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-18	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	2	organism part	run 18	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_3.raw	AP051018_Gurjeet_LA_Hu14_3.raw	3	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00442	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-19	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	2	organism part	run 19	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_4.raw	AP051018_Gurjeet_LA_Hu14_4.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00443	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-20	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	2	organism part	run 20	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_5.raw	AP051018_Gurjeet_LA_Hu14_5.raw	2	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00444	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-21	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	2	organism part	run 21	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_6.raw	AP051018_Gurjeet_LA_Hu14_6.raw	3	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00445	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-22	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	3	organism part	run 22	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_7.raw	AP051018_Gurjeet_LA_Hu14_7.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00446	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-23	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	3	organism part	run 23	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_8.raw	AP051018_Gurjeet_LA_Hu14_8.raw	2	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00447	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-24	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	3	organism part	run 24	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051018_Gurjeet_LA_Hu14_9.raw	AP051018_Gurjeet_LA_Hu14_9.raw	3	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00448	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-25	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	3	organism part	run 25	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051118_Gurjeet_Hu14_LA_C18_1.raw	AP051118_Gurjeet_Hu14_LA_C18_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00449	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-26	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	3	organism part	run 26	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051118_Gurjeet_Hu14_LA_C18_10.raw	AP051118_Gurjeet_Hu14_LA_C18_10.raw	2	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00450	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-27	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	3	organism part	run 27	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051118_Gurjeet_Hu14_LA_C18_11.raw	AP051118_Gurjeet_Hu14_LA_C18_11.raw	3	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00451	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-28	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	1	organism part	run 28	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051118_Gurjeet_Hu14_LA_C18_12.raw	AP051118_Gurjeet_Hu14_LA_C18_12.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00452	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-29	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	1	organism part	run 29	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051118_Gurjeet_Hu14_LA_C18_13.raw	AP051118_Gurjeet_Hu14_LA_C18_13.raw	2	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00453	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-30	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	1	organism part	run 30	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051118_Gurjeet_Hu14_LA_C18_14.raw	AP051118_Gurjeet_Hu14_LA_C18_14.raw	3	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00454	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
