source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[disease]
PXD023734-Sample-3	Homo sapiens	breast	not applicable	NGB-KO	breast cancer	1	run 11	proteomic profiling by mass spectrometry	190712_LFQ_n1-2_MaCA_KOE2H2O2-3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD023734/190712_LFQ_n1-2_MaCA_KOE2H2O2-3.raw	3	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	not available	not available	breast cancer
PXD023734-Sample-3	Homo sapiens	breast	not applicable	NGB-KO	breast cancer	1	run 12	proteomic profiling by mass spectrometry	190712_LFQ_n1-2_MaCA_KOE2H2O2-4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD023734/190712_LFQ_n1-2_MaCA_KOE2H2O2-4.raw	4	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	not available	not available	breast cancer
PXD023734-Sample-4	Homo sapiens	breast	not applicable	NGB-KO	breast cancer	1	run 13	proteomic profiling by mass spectrometry	190712_LFQ_n1-2_MaCA_KOH2O2-1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD023734/190712_LFQ_n1-2_MaCA_KOH2O2-1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	not available	not available	breast cancer
PXD023734-Sample-4	Homo sapiens	breast	not applicable	NGB-KO	breast cancer	1	run 14	proteomic profiling by mass spectrometry	190712_LFQ_n1-2_MaCA_KOH2O2-2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD023734/190712_LFQ_n1-2_MaCA_KOH2O2-2.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	not available	not available	breast cancer
PXD023734-Sample-4	Homo sapiens	breast	not applicable	NGB-KO	breast cancer	1	run 15	proteomic profiling by mass spectrometry	190712_LFQ_n1-2_MaCA_KOH2O2-3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD023734/190712_LFQ_n1-2_MaCA_KOH2O2-3.raw	3	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	not available	not available	breast cancer
PXD023734-Sample-4	Homo sapiens	breast	not applicable	NGB-KO	breast cancer	1	run 16	proteomic profiling by mass spectrometry	190712_LFQ_n1-2_MaCA_KOH2O2-4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD023734/190712_LFQ_n1-2_MaCA_KOH2O2-4.raw	4	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	not available	not available	breast cancer
PXD023734-Sample-5	Homo sapiens	breast	not applicable	Neg MCF-7	breast cancer	2	run 17	proteomic profiling by mass spectrometry	190712_LFQ_n1-2_MaCA_Neg-1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD023734/190712_LFQ_n1-2_MaCA_Neg-1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	not available	not available	breast cancer
PXD023734-Sample-5	Homo sapiens	breast	not applicable	Neg MCF-7	breast cancer	2	run 18	proteomic profiling by mass spectrometry	190712_LFQ_n1-2_MaCA_Neg-2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD023734/190712_LFQ_n1-2_MaCA_Neg-2.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	not available	not available	breast cancer
PXD023734-Sample-5	Homo sapiens	breast	not applicable	Neg MCF-7	breast cancer	2	run 19	proteomic profiling by mass spectrometry	190712_LFQ_n1-2_MaCA_Neg-3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD023734/190712_LFQ_n1-2_MaCA_Neg-3.raw	3	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	not available	not available	breast cancer
PXD023734-Sample-5	Homo sapiens	breast	not applicable	Neg MCF-7	breast cancer	2	run 20	proteomic profiling by mass spectrometry	190712_LFQ_n1-2_MaCA_Neg-4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD023734/190712_LFQ_n1-2_MaCA_Neg-4.raw	4	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	not available	not available	breast cancer
PXD023734-Sample-6	Homo sapiens	breast	not applicable	Neg MCF-7	breast cancer	2	run 21	proteomic profiling by mass spectrometry	190712_LFQ_n1-2_MaCA_NegE2-1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD023734/190712_LFQ_n1-2_MaCA_NegE2-1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	not available	not available	breast cancer
PXD023734-Sample-6	Homo sapiens	breast	not applicable	Neg MCF-7	breast cancer	2	run 22	proteomic profiling by mass spectrometry	190712_LFQ_n1-2_MaCA_NegE2-2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD023734/190712_LFQ_n1-2_MaCA_NegE2-2.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	not available	not available	breast cancer
PXD023734-Sample-6	Homo sapiens	breast	not applicable	Neg MCF-7	breast cancer	2	run 23	proteomic profiling by mass spectrometry	190712_LFQ_n1-2_MaCA_NegE2-3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD023734/190712_LFQ_n1-2_MaCA_NegE2-3.raw	3	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	not available	not available	breast cancer
PXD023734-Sample-6	Homo sapiens	breast	not applicable	Neg MCF-7	breast cancer	2	run 24	proteomic profiling by mass spectrometry	190712_LFQ_n1-2_MaCA_NegE2-4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD023734/190712_LFQ_n1-2_MaCA_NegE2-4.raw	4	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	not available	not available	breast cancer
PXD023734-Sample-7	Homo sapiens	breast	not applicable	Neg MCF-7	breast cancer	2	run 25	proteomic profiling by mass spectrometry	190712_LFQ_n1-2_MaCA_NegE2H2O2-1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD023734/190712_LFQ_n1-2_MaCA_NegE2H2O2-1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	not available	not available	breast cancer
PXD023734-Sample-7	Homo sapiens	breast	not applicable	Neg MCF-7	breast cancer	2	run 26	proteomic profiling by mass spectrometry	190712_LFQ_n1-2_MaCA_NegE2H2O2-2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD023734/190712_LFQ_n1-2_MaCA_NegE2H2O2-2.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	not available	not available	breast cancer
PXD023734-Sample-7	Homo sapiens	breast	not applicable	Neg MCF-7	breast cancer	2	run 27	proteomic profiling by mass spectrometry	190712_LFQ_n1-2_MaCA_NegE2H2O2-3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD023734/190712_LFQ_n1-2_MaCA_NegE2H2O2-3.raw	3	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	not available	not available	breast cancer
PXD023734-Sample-7	Homo sapiens	breast	not applicable	Neg MCF-7	breast cancer	2	run 28	proteomic profiling by mass spectrometry	190712_LFQ_n1-2_MaCA_NegE2H2O2-4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD023734/190712_LFQ_n1-2_MaCA_NegE2H2O2-4.raw	4	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	not available	not available	breast cancer
PXD023734-Sample-8	Homo sapiens	breast	not applicable	Neg MCF-7	breast cancer	2	run 29	proteomic profiling by mass spectrometry	190712_LFQ_n1-2_MaCA_NegH2O2-1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD023734/190712_LFQ_n1-2_MaCA_NegH2O2-1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	not available	not available	breast cancer
PXD023734-Sample-8	Homo sapiens	breast	not applicable	Neg MCF-7	breast cancer	2	run 30	proteomic profiling by mass spectrometry	190712_LFQ_n1-2_MaCA_NegH2O2-2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD023734/190712_LFQ_n1-2_MaCA_NegH2O2-2.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	not available	not available	breast cancer
PXD023734-Sample-8	Homo sapiens	breast	not applicable	Neg MCF-7	breast cancer	2	run 31	proteomic profiling by mass spectrometry	190712_LFQ_n1-2_MaCA_NegH2O2-3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD023734/190712_LFQ_n1-2_MaCA_NegH2O2-3.raw	3	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	not available	not available	breast cancer
PXD023734-Sample-8	Homo sapiens	breast	not applicable	Neg MCF-7	breast cancer	2	run 32	proteomic profiling by mass spectrometry	190712_LFQ_n1-2_MaCA_NegH2O2-4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD023734/190712_LFQ_n1-2_MaCA_NegH2O2-4.raw	4	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	HCD	not available	not available	breast cancer
