Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[culture medium]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[ancestry category]	Characteristics[sex]	Characteristics[age]	Characteristics[biological replicate]	Material Type	technology type	assay name	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[disease]	Factor Value[culture medium]
Sample 11	Homo sapiens	skin	fibroblast	Hs68	melanoma conditioned medium	neonate	normal	White	female	not available	2	cell	proteomic profiling by mass spectrometer	run 11	OB_AZP_HS68_5_20180127_05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD020426/OB_AZP_HS68_5_20180127_05.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin; AC=MS:1001251	7 ppm	0.5 Da	normal	melanoma conditioned medium
Sample 12	Homo sapiens	skin	fibroblast	Hs68	melanoma conditioned medium	neonate	normal	White	female	not available	3	cell	proteomic profiling by mass spectrometer	run 12	OB_AZP_HS68_6_20180127_06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD020426/OB_AZP_HS68_6_20180127_06.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin; AC=MS:1001251	7 ppm	0.5 Da	normal	melanoma conditioned medium
Sample 13	Homo sapiens	skin	epithelial	A375	FBS-free DEMEM with no stimulus	adult	Malignant Melanoma	not available	female	54Y	1	cell	proteomic profiling by mass spectrometer	run 13	OB_DAS_A_1_R1_20190524_05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD020426/OB_DAS_A_1_R1_20190524_05.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin; AC=MS:1001251	7 ppm	0.5 Da	Malignant Melanoma	FBS-free DEMEM with no stimulus
Sample 13	Homo sapiens	skin	epithelial	A375	FBS-free DEMEM with no stimulus	adult	Malignant Melanoma	not available	female	54Y	1	cell	proteomic profiling by mass spectrometer	run 14	OB_DAS_A_1_R2_20190524_12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD020426/OB_DAS_A_1_R2_20190524_12.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin; AC=MS:1001251	7 ppm	0.5 Da	Malignant Melanoma	FBS-free DEMEM with no stimulus
Sample 13	Homo sapiens	skin	epithelial	A375	FBS-free DEMEM with no stimulus	adult	Malignant Melanoma	not available	female	54Y	1	cell	proteomic profiling by mass spectrometer	run 15	OB_DAS_A_1_R3_20190524_18.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD020426/OB_DAS_A_1_R3_20190524_18.raw	3	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin; AC=MS:1001251	7 ppm	0.5 Da	Malignant Melanoma	FBS-free DEMEM with no stimulus
Sample 13	Homo sapiens	skin	epithelial	A375	FBS-free DEMEM with no stimulus	adult	Malignant Melanoma	not available	female	54Y	1	cell	proteomic profiling by mass spectrometer	run 16	OB_DAS_A_1_R4_20190524_18.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD020426/OB_DAS_A_1_R4_20190524_18.raw	4	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin; AC=MS:1001251	7 ppm	0.5 Da	Malignant Melanoma	FBS-free DEMEM with no stimulus
Sample 14	Homo sapiens	skin	epithelial	A375	FBS-free DEMEM with no stimulus	adult	Malignant Melanoma	not available	female	54Y	2	cell	proteomic profiling by mass spectrometer	run 17	OB_DAS_A_2_R1_20190524_09.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD020426/OB_DAS_A_2_R1_20190524_09.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin; AC=MS:1001251	7 ppm	0.5 Da	Malignant Melanoma	FBS-free DEMEM with no stimulus
Sample 14	Homo sapiens	skin	epithelial	A375	FBS-free DEMEM with no stimulus	adult	Malignant Melanoma	not available	female	54Y	2	cell	proteomic profiling by mass spectrometer	run 18	OB_DAS_A_2_R2_20190524_14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD020426/OB_DAS_A_2_R2_20190524_14.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin; AC=MS:1001251	7 ppm	0.5 Da	Malignant Melanoma	FBS-free DEMEM with no stimulus
Sample 14	Homo sapiens	skin	epithelial	A375	FBS-free DEMEM with no stimulus	adult	Malignant Melanoma	not available	female	54Y	2	cell	proteomic profiling by mass spectrometer	run 19	OB_DAS_A_2_R3_20190524_20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD020426/OB_DAS_A_2_R3_20190524_20.raw	3	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin; AC=MS:1001251	7 ppm	0.5 Da	Malignant Melanoma	FBS-free DEMEM with no stimulus
Sample 14	Homo sapiens	skin	epithelial	A375	FBS-free DEMEM with no stimulus	adult	Malignant Melanoma	not available	female	54Y	2	cell	proteomic profiling by mass spectrometer	run 20	OB_DAS_A_2_R4_20190524_20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD020426/OB_DAS_A_2_R4_20190524_20.raw	4	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin; AC=MS:1001251	7 ppm	0.5 Da	Malignant Melanoma	FBS-free DEMEM with no stimulus
Sample 15	Homo sapiens	skin	epithelial	A375	FBS-free DEMEM with no stimulus	adult	Malignant Melanoma	not available	female	54Y	3	cell	proteomic profiling by mass spectrometer	run 21	OB_DAS_A_3_R1_20190524_06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD020426/OB_DAS_A_3_R1_20190524_06.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin; AC=MS:1001251	7 ppm	0.5 Da	Malignant Melanoma	FBS-free DEMEM with no stimulus
Sample 15	Homo sapiens	skin	epithelial	A375	FBS-free DEMEM with no stimulus	adult	Malignant Melanoma	not available	female	54Y	3	cell	proteomic profiling by mass spectrometer	run 22	OB_DAS_A_3_R2_20190524_16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD020426/OB_DAS_A_3_R2_20190524_16.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin; AC=MS:1001251	7 ppm	0.5 Da	Malignant Melanoma	FBS-free DEMEM with no stimulus
Sample 15	Homo sapiens	skin	epithelial	A375	FBS-free DEMEM with no stimulus	adult	Malignant Melanoma	not available	female	54Y	3	cell	proteomic profiling by mass spectrometer	run 23	OB_DAS_A_3_R3_20190524_17.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD020426/OB_DAS_A_3_R3_20190524_17.raw	3	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin; AC=MS:1001251	7 ppm	0.5 Da	Malignant Melanoma	FBS-free DEMEM with no stimulus
Sample 15	Homo sapiens	skin	epithelial	A375	FBS-free DEMEM with no stimulus	adult	Malignant Melanoma	not available	female	54Y	3	cell	proteomic profiling by mass spectrometer	run 24	OB_DAS_A_3_R4_20190524_17.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD020426/OB_DAS_A_3_R4_20190524_17.raw	4	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin; AC=MS:1001251	7 ppm	0.5 Da	Malignant Melanoma	FBS-free DEMEM with no stimulus
Sample 16	Homo sapiens	skin	epithelial	A375	stimulated fibroblast conditioned medium	adult	Malignant Melanoma	not available	female	54Y	1	cell	proteomic profiling by mass spectrometer	run 25	OB_DAS_A_4_R1_20190524_08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD020426/OB_DAS_A_4_R1_20190524_08.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin; AC=MS:1001251	7 ppm	0.5 Da	Malignant Melanoma	stimulated fibroblast conditioned medium
Sample 16	Homo sapiens	skin	epithelial	A375	stimulated fibroblast conditioned medium	adult	Malignant Melanoma	not available	female	54Y	1	cell	proteomic profiling by mass spectrometer	run 26	OB_DAS_A_4_R2_20190524_13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD020426/OB_DAS_A_4_R2_20190524_13.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin; AC=MS:1001251	7 ppm	0.5 Da	Malignant Melanoma	stimulated fibroblast conditioned medium
Sample 16	Homo sapiens	skin	epithelial	A375	stimulated fibroblast conditioned medium	adult	Malignant Melanoma	not available	female	54Y	1	cell	proteomic profiling by mass spectrometer	run 27	OB_DAS_A_4_R3_20190524_22.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD020426/OB_DAS_A_4_R3_20190524_22.raw	3	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin; AC=MS:1001251	7 ppm	0.5 Da	Malignant Melanoma	stimulated fibroblast conditioned medium
Sample 16	Homo sapiens	skin	epithelial	A375	stimulated fibroblast conditioned medium	adult	Malignant Melanoma	not available	female	54Y	1	cell	proteomic profiling by mass spectrometer	run 28	OB_DAS_A_4_R4_20190524_22.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD020426/OB_DAS_A_4_R4_20190524_22.raw	4	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin; AC=MS:1001251	7 ppm	0.5 Da	Malignant Melanoma	stimulated fibroblast conditioned medium
Sample 17	Homo sapiens	skin	epithelial	A375	stimulated fibroblast conditioned medium	adult	Malignant Melanoma	not available	female	54Y	2	cell	proteomic profiling by mass spectrometer	run 29	OB_DAS_A_5_R1_20190524_07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD020426/OB_DAS_A_5_R1_20190524_07.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin; AC=MS:1001251	7 ppm	0.5 Da	Malignant Melanoma	stimulated fibroblast conditioned medium
Sample 17	Homo sapiens	skin	epithelial	A375	stimulated fibroblast conditioned medium	adult	Malignant Melanoma	not available	female	54Y	2	cell	proteomic profiling by mass spectrometer	run 30	OB_DAS_A_5_R2_20190524_15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD020426/OB_DAS_A_5_R2_20190524_15.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin; AC=MS:1001251	7 ppm	0.5 Da	Malignant Melanoma	stimulated fibroblast conditioned medium
Sample 17	Homo sapiens	skin	epithelial	A375	stimulated fibroblast conditioned medium	adult	Malignant Melanoma	not available	female	54Y	2	cell	proteomic profiling by mass spectrometer	run 31	OB_DAS_A_5_R3_20190524_19.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD020426/OB_DAS_A_5_R3_20190524_19.raw	3	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin; AC=MS:1001251	7 ppm	0.5 Da	Malignant Melanoma	stimulated fibroblast conditioned medium
Sample 17	Homo sapiens	skin	epithelial	A375	stimulated fibroblast conditioned medium	adult	Malignant Melanoma	not available	female	54Y	2	cell	proteomic profiling by mass spectrometer	run 32	OB_DAS_A_5_R3_20190524_19_190527022045.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD020426/OB_DAS_A_5_R3_20190524_19_190527022045.raw	4	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	"NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable"	NT=Trypsin; AC=MS:1001251	7 ppm	0.5 Da	Malignant Melanoma	stimulated fibroblast conditioned medium
